name	term	lev	seq	value
"VCP-NPL4-UFD1 AAA ATPase complex"	GO:0034098	2	Mcavernosa05835	0.268041054281741
"VCP-NPL4-UFD1 AAA ATPase complex"	GO:0034098	2	Mcavernosa13213	0.165921590968785
"VCP-NPL4-UFD1 AAA ATPase complex"	GO:0034098	2	Mcavernosa15423	0
"VCP-NPL4-UFD1 AAA ATPase complex"	GO:0034098	2	Mcavernosa21773	0
"VCP-NPL4-UFD1 AAA ATPase complex"	GO:0034098	2	Mcavernosa35076	0
"nuclear lamina"	GO:0005652	4	Mcavernosa28457	0
"nuclear lamina"	GO:0005652	4	Mcavernosa11917	0
"nuclear lamina"	GO:0005652	4	Mcavernosa18616	0
"nuclear lamina"	GO:0005652	4	Mcavernosa18681	0.507371721262189
"nuclear lamina"	GO:0005652	4	Mcavernosa10904	0
"nuclear lamina"	GO:0005652	4	Mcavernosa26225	0.477624489787674
"nuclear lamina"	GO:0005652	4	Mcavernosa25338	0
"nuclear lamina"	GO:0005652	4	Mcavernosa02406	0
"nuclear lamina"	GO:0005652	4	Mcavernosa31287	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa05499	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa12219	0.0696661707218228
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa12553	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa12742	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa13608	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa13725	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa28121	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa28736	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa08323	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa08397	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa08835	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa09143	0.27083019269991
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa14433	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa14547	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa14548	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa11277	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa11401	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa31727	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa18658	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa18655	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa06799	0.0487877913051745
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa06816	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa06818	0
"peroxisome"	GO:0005777;GO:0042579	2	Mcavernosa06926	0
