name	term	lev	seq	value
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa04498	0.250621699075226
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa04519	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa04742	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa04952	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa04954	0.0115510397621367
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa05077	0.172531849720129
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa05354	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa05617	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa05619	0.376229238662246
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa05783	0.669575050992218
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06090	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06104	-0.0175383134270769
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06108	0.0528507548405794
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa12217	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa12536	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa12551	0.633757013009419
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa12908	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa13398	0.289941579116517
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa13538	0.633631124177183
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa13541	0.243165839926552
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa13607	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa13683	0.480999036529048
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa27879	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa27900	0.529469376574925
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa27923	0.719598275771327
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa28254	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa28396	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa28527	0.14182560912587
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa28711	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa08742	0.396009354703667
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa08789	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa14394	0.322161214372788
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa14799	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa15167	0.672685167119819
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa11346	0.206090342578744
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa11493	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa11633	0.176834402300356
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa11894	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa32397	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa18283	0.585896050558052
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa18368	0.358508737219306
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa18517	0.178663065695426
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06763	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06793	0.655207575596663
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa06854	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa22430	0.288850471288999
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa22444	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa22555	0.0234027926291637
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa22666	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa16023	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa10381	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa10539	0.463578570697806
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa10960	0.669106242578951
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa11183	0.0485404750890078
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa09432	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa21167	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa21473	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa21508	0.64120593571722
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa21587	0.628635576769626
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa26321	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa27002	0.0562877683291575
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa20302	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa20819	0.660542854411328
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa17698	0.220586384388839
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa22925	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00099	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00115	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00260	0.468494712830493
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00263	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00451	0.0735399604643242
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00695	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa00921	0.468244023912979
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa01052	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa29479	0.0793754201427502
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa30144	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa25635	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa23625	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa23876	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa23885	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa27377	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa01159	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa01162	0
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa01215	0.348737108844499
"coated vesicle"	GO:0030135;GO:0030136	2	Mcavernosa01274	0
