name	term	lev	seq	value
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa13977	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa14638	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa16335	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa26881	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa23492	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa28863	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa03688	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa24413	0
"mitochondrial proton-transporting ATP synthase complex"	GO:0005753;GO:0045259	2	Mcavernosa24412	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa16023	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa10673	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa21473	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa20779	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa03316	0
"cis-Golgi network membrane"	GO:0033106	3	Mcavernosa31558	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa04952	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa04954	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa12551	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa12908	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa13538	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa13541	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa13751	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa27923	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa28254	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa28396	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa08337	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa08789	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa18283	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa18368	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa18517	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa06763	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa22430	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa16023	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa10381	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa10960	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa20819	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa17559	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa17830	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa00260	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa00263	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa03334	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa03363	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa03580	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa03912	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa17171	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa17278	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa02218	0
"membrane coat"	GO:0030117;GO:0048475	2	Mcavernosa02297	0
"extracellular region"	GO:0005576	1	Mcavernosa04355	0
"extracellular region"	GO:0005576	1	Mcavernosa04384	0
"extracellular region"	GO:0005576	1	Mcavernosa04445	0
"extracellular region"	GO:0005576	1	Mcavernosa04481	0.363961286293801
"extracellular region"	GO:0005576	1	Mcavernosa04499	0
"extracellular region"	GO:0005576	1	Mcavernosa04496	0.373967653213842
"extracellular region"	GO:0005576	1	Mcavernosa04492	0
"extracellular region"	GO:0005576	1	Mcavernosa04552	0
"extracellular region"	GO:0005576	1	Mcavernosa04842	0
"extracellular region"	GO:0005576	1	Mcavernosa04921	0
"extracellular region"	GO:0005576	1	Mcavernosa04952	0
"extracellular region"	GO:0005576	1	Mcavernosa04954	0
"extracellular region"	GO:0005576	1	Mcavernosa05212	0
"extracellular region"	GO:0005576	1	Mcavernosa05304	0
"extracellular region"	GO:0005576	1	Mcavernosa05329	0.352771358826773
"extracellular region"	GO:0005576	1	Mcavernosa05444	0
"extracellular region"	GO:0005576	1	Mcavernosa05565	0
"extracellular region"	GO:0005576	1	Mcavernosa05736	0
"extracellular region"	GO:0005576	1	Mcavernosa05781	0
"extracellular region"	GO:0005576	1	Mcavernosa05808	0.602820024256659
"extracellular region"	GO:0005576	1	Mcavernosa05922	0
"extracellular region"	GO:0005576	1	Mcavernosa06002	0
"extracellular region"	GO:0005576	1	Mcavernosa06112	0
"extracellular region"	GO:0005576	1	Mcavernosa06121	0
"extracellular region"	GO:0005576	1	Mcavernosa06124	0
"extracellular region"	GO:0005576	1	Mcavernosa06183	0.438428281793127
"extracellular region"	GO:0005576	1	Mcavernosa12307	0.510455082161514
"extracellular region"	GO:0005576	1	Mcavernosa12309	0
"extracellular region"	GO:0005576	1	Mcavernosa12308	0.495236879608475
"extracellular region"	GO:0005576	1	Mcavernosa12340	0
"extracellular region"	GO:0005576	1	Mcavernosa12375	0
"extracellular region"	GO:0005576	1	Mcavernosa12513	0
"extracellular region"	GO:0005576	1	Mcavernosa12542	0
"extracellular region"	GO:0005576	1	Mcavernosa12627	0
"extracellular region"	GO:0005576	1	Mcavernosa12652	0
"extracellular region"	GO:0005576	1	Mcavernosa12659	0.613574780737046
"extracellular region"	GO:0005576	1	Mcavernosa12742	0
"extracellular region"	GO:0005576	1	Mcavernosa12821	0
"extracellular region"	GO:0005576	1	Mcavernosa12994	0
"extracellular region"	GO:0005576	1	Mcavernosa13026	0
"extracellular region"	GO:0005576	1	Mcavernosa13025	0
"extracellular region"	GO:0005576	1	Mcavernosa13156	0
"extracellular region"	GO:0005576	1	Mcavernosa13193	0
"extracellular region"	GO:0005576	1	Mcavernosa13194	0
"extracellular region"	GO:0005576	1	Mcavernosa13270	0
"extracellular region"	GO:0005576	1	Mcavernosa13420	0
"extracellular region"	GO:0005576	1	Mcavernosa13537	0
"extracellular region"	GO:0005576	1	Mcavernosa13540	0
"extracellular region"	GO:0005576	1	Mcavernosa13671	0
"extracellular region"	GO:0005576	1	Mcavernosa13739	0
"extracellular region"	GO:0005576	1	Mcavernosa13771	0
"extracellular region"	GO:0005576	1	Mcavernosa13789	0
"extracellular region"	GO:0005576	1	Mcavernosa13818	0
"extracellular region"	GO:0005576	1	Mcavernosa13828	0
"extracellular region"	GO:0005576	1	Mcavernosa13899	0
"extracellular region"	GO:0005576	1	Mcavernosa14207	0
"extracellular region"	GO:0005576	1	Mcavernosa14291	0
"extracellular region"	GO:0005576	1	Mcavernosa14294	0
"extracellular region"	GO:0005576	1	Mcavernosa27973	0
"extracellular region"	GO:0005576	1	Mcavernosa27976	0.287938739428484
"extracellular region"	GO:0005576	1	Mcavernosa27987	0
"extracellular region"	GO:0005576	1	Mcavernosa28048	0
"extracellular region"	GO:0005576	1	Mcavernosa28110	0
"extracellular region"	GO:0005576	1	Mcavernosa28365	0
"extracellular region"	GO:0005576	1	Mcavernosa28398	0
"extracellular region"	GO:0005576	1	Mcavernosa28440	0
"extracellular region"	GO:0005576	1	Mcavernosa28804	0
"extracellular region"	GO:0005576	1	Mcavernosa28827	0
"extracellular region"	GO:0005576	1	Mcavernosa28829	0
"extracellular region"	GO:0005576	1	Mcavernosa28831	0
