name	term	lev	seq	value
"estrogen receptor binding"	GO:0030331	2	Mcavernosa08498	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa08502	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa31931	0.391151788519067
"estrogen receptor binding"	GO:0030331	2	Mcavernosa18611	0.222628365758423
"estrogen receptor binding"	GO:0030331	2	Mcavernosa21916	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa21915	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa15645	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa23674	0
"estrogen receptor binding"	GO:0030331	2	Mcavernosa04106	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa32140	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa06504	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa24067	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa07247	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa07249	0
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa07254	0.39771059519105
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa07253	0.650445651029683
"guanylate cyclase activity"	GO:0004383	2	Mcavernosa08156	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa14175	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa08397	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa12206	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa06504	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa16307	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa00974	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa25737	0.662100905187091
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa30162	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa34817	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa08156	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa25230	0.27604807722976
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa16967	0.210516360498616
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa16977	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa26825	0
"tetrapyrrole binding"	GO:0020037;GO:0046906	2	Mcavernosa26828	-0.0232127140036999
