name	term	lev	seq	value
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa05262	0.522731951518855
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa12603	2.32304930562969
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa26417	-1.10306161121984
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa20543	-0.599163747756626
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa20819	0.0191638557897351
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa22974	0.163445434006652
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa23463	-0.430850708354606
"phosphoric ester hydrolase activity"	GO:0042578;GO:0016791	4	Mcavernosa27270	0.673811688773883
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa05180	0.673917421470048
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa06045	3.63297316502377
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa28254	0.0541101250994746
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa14781	-0.256613942938293
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa11909	0.0280737616928119
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa18494	0.429402161603429
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa18576	5.80344925688899
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa24154	-0.097375879571784
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa01527	-0.172004214181967
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa07504	-0.672201145071351
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa31100	-0.0685195971525766
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa15167	0.0333040173608385
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa10510	0.718094058442981
"tubulin binding"	GO:0008017;GO:0015631	2	Mcavernosa30913	0.250552878907586
"actin filament binding"	GO:0051015	3	Mcavernosa04816	-0.0670500502245522
"actin filament binding"	GO:0051015	3	Mcavernosa14884	-0.498363375320034
"actin filament binding"	GO:0051015	3	Mcavernosa22769	-0.0617633547711772
"actin filament binding"	GO:0051015	3	Mcavernosa02165	-1.05865497645643
"actin filament binding"	GO:0051015	3	Mcavernosa16568	0.116770398226089
"acetyltransferase activity"	GO:0016407	2	Mcavernosa04802	0.472010769236991
"acetyltransferase activity"	GO:0016407	2	Mcavernosa09078	-0.948114914000184
"acetyltransferase activity"	GO:0016407	2	Mcavernosa18494	0.429402161603429
"acetyltransferase activity"	GO:0016407	2	Mcavernosa00562	0.77646277496146
"acetyltransferase activity"	GO:0016407	2	Mcavernosa03676	-0.24881206133562
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa05816	-0.760069472640234
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa14122	0.231792385828952
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa09170	0.366787195976221
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa06671	1.14550013860001
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa19924	-0.368300848060483
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa15612	-0.539804277966065
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa23808	0.249215346536184
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa03729	0.0922103417562317
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa17245	1.24291486841466
"catalytic activity, acting on RNA"	GO:0140098	2	Mcavernosa03173	1.05713828962951
"magnesium ion binding"	GO:0000287	4	Mcavernosa06175	0.121088496567171
"magnesium ion binding"	GO:0000287	4	Mcavernosa13397	-0.786174282487517
"magnesium ion binding"	GO:0000287	4	Mcavernosa14751	-0.123619317319729
"magnesium ion binding"	GO:0000287	4	Mcavernosa07051	-1.850643412202
"magnesium ion binding"	GO:0000287	4	Mcavernosa15703	0.282400392778105
"magnesium ion binding"	GO:0000287	4	Mcavernosa27270	0.673811688773883
"magnesium ion binding"	GO:0000287	4	Mcavernosa34528	-0.612932245838887
"magnesium ion binding"	GO:0000287	4	Mcavernosa30802	-0.194300469766652
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa07051	-1.850643412202
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa16263	2.10425852194976
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa17803	-0.434968401979785
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa03456	0.171156162763934
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa03676	-0.24881206133562
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa25310	0.0804512557101142
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa25737	-0.0709725441164587
"cofactor binding"	GO:0050662;GO:0048037	3	Mcavernosa08156	-0.577835983015791
