name	term	lev	seq	value
"RNA binding"	GO:0003723	3	Mcavernosa04400	0
"RNA binding"	GO:0003723	3	Mcavernosa04557	0
"RNA binding"	GO:0003723	3	Mcavernosa04683	0
"RNA binding"	GO:0003723	3	Mcavernosa04726	0
"RNA binding"	GO:0003723	3	Mcavernosa04869	0
"RNA binding"	GO:0003723	3	Mcavernosa04936	0
"RNA binding"	GO:0003723	3	Mcavernosa05093	0
"RNA binding"	GO:0003723	3	Mcavernosa05394	0
"RNA binding"	GO:0003723	3	Mcavernosa05403	0
"RNA binding"	GO:0003723	3	Mcavernosa05455	0
"RNA binding"	GO:0003723	3	Mcavernosa05631	0
"RNA binding"	GO:0003723	3	Mcavernosa05680	0
"RNA binding"	GO:0003723	3	Mcavernosa05792	0
"RNA binding"	GO:0003723	3	Mcavernosa05790	0
"RNA binding"	GO:0003723	3	Mcavernosa05816	0.586636415650505
"RNA binding"	GO:0003723	3	Mcavernosa05869	0
"RNA binding"	GO:0003723	3	Mcavernosa06184	0
"RNA binding"	GO:0003723	3	Mcavernosa12554	0
"RNA binding"	GO:0003723	3	Mcavernosa12585	0
"RNA binding"	GO:0003723	3	Mcavernosa12667	0
"RNA binding"	GO:0003723	3	Mcavernosa12748	0
"RNA binding"	GO:0003723	3	Mcavernosa12746	0
"RNA binding"	GO:0003723	3	Mcavernosa13023	0
"RNA binding"	GO:0003723	3	Mcavernosa13093	0
"RNA binding"	GO:0003723	3	Mcavernosa13210	0
"RNA binding"	GO:0003723	3	Mcavernosa13331	0
"RNA binding"	GO:0003723	3	Mcavernosa13328	0
"RNA binding"	GO:0003723	3	Mcavernosa13479	0
"RNA binding"	GO:0003723	3	Mcavernosa13686	0
"RNA binding"	GO:0003723	3	Mcavernosa13691	0
"RNA binding"	GO:0003723	3	Mcavernosa13713	0
"RNA binding"	GO:0003723	3	Mcavernosa13874	0
"RNA binding"	GO:0003723	3	Mcavernosa14009	0
"RNA binding"	GO:0003723	3	Mcavernosa27814	0
"RNA binding"	GO:0003723	3	Mcavernosa27889	0
"RNA binding"	GO:0003723	3	Mcavernosa27911	0
"RNA binding"	GO:0003723	3	Mcavernosa28374	0
"RNA binding"	GO:0003723	3	Mcavernosa28398	0
"RNA binding"	GO:0003723	3	Mcavernosa28415	0
"RNA binding"	GO:0003723	3	Mcavernosa28521	0
"RNA binding"	GO:0003723	3	Mcavernosa28555	0
"RNA binding"	GO:0003723	3	Mcavernosa28842	0
