name	term	lev	seq	value
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa04310	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa28155	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa31788	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa32346	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa19912	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa17698	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa17981	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa00672	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa25623	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa07239	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa17109	0
"voltage-gated potassium channel activity"	GO:0005249	4	Mcavernosa31559	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa05358	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa06063	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa13675	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa13682	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa08760	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa22752	0
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"	GO:0016814	3	Mcavernosa10801	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa13580	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa14291	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa14294	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa31887	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa31886	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa33929	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa03502	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa08156	0
"neurotransmitter binding"	GO:0042165	2	Mcavernosa02641	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa04266	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa13246	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa08490	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa08491	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa18374	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa18563	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa18568	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa21422	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa21425	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa21429	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa21427	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa20634	0.544883525042551
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa20727	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa00722	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa00724	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa03450	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa03865	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa24753	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa24822	0
"organic hydroxy compound transmembrane transporter activity"	GO:1901618	2	Mcavernosa16475	0
"protein tyrosine kinase activity"	GO:0004713	3	Mcavernosa04398	0
"protein tyrosine kinase activity"	GO:0004713	3	Mcavernosa05296	0
"protein tyrosine kinase activity"	GO:0004713	3	Mcavernosa12308	0
"protein tyrosine kinase activity"	GO:0004713	3	Mcavernosa12821	0
