"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.251125995344729 4 58 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.0202005387044434 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.39141233625548 2 51 "GO:0000041" "transition metal ion transport" 1
0 0.197407241048619 5 37 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.196229031831864 2 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 1
0 0.21951015979656 2 54 "GO:0000084;GO:0051320" "S phase" 1
0 0.440367952262274 2 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.254915592185608 2 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 1
0 0.452571653962699 3 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.60569095294755 3 75 "GO:0000209" "protein polyubiquitination" 1
0 0.0438647335360711 2 18 "GO:0000212" "meiotic spindle organization" 1
0 0.219473812955212 2 360 "GO:0000226;GO:0007017" "microtubule-based process" 1
0 0.0486348364997465 3 23 "GO:0000245" "spliceosomal complex assembly" 1
0 0.220786740854225 5 8 "GO:0000271;GO:0005978;GO:0009250;GO:0033692" "polysaccharide biosynthetic process" 1
0 0.197531243812125 5 186 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.266746698777159 4 12 "GO:0000281" "mitotic cytokinesis" 1
0 0.0246455276882328 2 76 "GO:0000302" "response to reactive oxygen species" 1
0 0.329612027766085 2 216 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.126468023029805 2 46 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 1
0 0.0374460936813099 3 11 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.0127646964837868 3 7 "GO:0000422;GO:0061726;GO:1903008" "organelle disassembly" 1
0 0.194195167207506 2 8 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.17262244220933 6 7 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0000466" "cleavage involved in rRNA processing" 1
0 0.69997779468 2 82 "GO:0000578;GO:0007351;GO:0008595;GO:0009948" "anterior/posterior axis specification" 1
0 0.199811549881906 6 13 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.329978155143282 5 26 "GO:0000723;GO:0032200" "telomere maintenance" 1
0 0.266843958045716 7 19 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.085807206628374 2 35 "GO:0000768;GO:0006949;GO:0140253;GO:0007520;GO:0014902" "myotube differentiation" 1
0 0.408868152240033 5 402 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.079857922654703 2 119 "GO:0000910" "cytokinesis" 1
0 0.0227250115407014 2 8 "GO:0000912;GO:0000915;GO:0044837" "actomyosin contractile ring organization" 1
0 0.168224991502471 3 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.610393553564733 2 102 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 0.374650225296294 3 111 "GO:0001101" "response to acid chemical" 1
0 0.0173361413730283 2 138 "GO:0001501" "skeletal system development" 1
0 0.130361867752611 3 143 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.0506651636726369 2 65 "GO:0001508" "action potential" 1
0 0.211071343774063 2 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 1
0 0.276204930098624 2 76 "GO:0001525" "angiogenesis" 1
0 0.827141718437774 2 129 "GO:0001558" "regulation of cell growth" 1
0 0.325202757725814 3 130 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.81526192475559 2 353 "GO:0001654;GO:0007423" "sensory organ development" 1
0 0.323001998432114 2 136 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.184130943972047 5 25 "GO:0001657;GO:0072164;GO:0072163" "ureteric bud development" 1
0 0.127956406826309 5 15 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.0358543366864073 2 127 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.340892723968987 3 141 "GO:0001667" "ameboidal-type cell migration" 1
0 0.0276799634083633 2 9 "GO:0001672;GO:0010847" "regulation of chromatin assembly or disassembly" 1
0 0.0195398783740996 2 27 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.237163251024007 2 10 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular glucose homeostasis" 1
0 0.744694907631734 2 84 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.409152983686979 2 136 "GO:0001701" "in utero embryonic development" 1
0 0.107157394193543 2 12 "GO:0001755" "neural crest cell migration" 1
0 0.0938530998466531 2 86 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.408708851498767 2 41 "GO:0001764" "neuron migration" 1
0 0.887907718890162 2 149 "GO:0001775" "cell activation" 1
0 0.351567780499461 3 18 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.869398555092014 4 103 "GO:0001817" "regulation of cytokine production" 1
0 0.676014511189311 2 42 "GO:0001818" "negative regulation of cytokine production" 1
0 0.754353128967668 2 55 "GO:0001819" "positive regulation of cytokine production" 1
0 0.308022246088561 2 86 "GO:0001822" "kidney development" 1
0 0.184130943972047 2 25 "GO:0001824" "blastocyst development" 1
0 0.0997545437979551 2 11 "GO:0001825" "blastocyst formation" 1
0 0.0498311549337497 2 5 "GO:0001829" "trophectodermal cell differentiation" 1
0 0.0486804061994329 5 27 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.18207508831212 3 8 "GO:0001845" "phagolysosome assembly" 1
0 0.00758943906331641 2 7 "GO:0001885" "endothelial cell development" 0.949
0 0.462115431413738 4 54 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.2430065685022 3 41 "GO:0001890" "placenta development" 1
0 0.174329699750431 3 23 "GO:0001892" "embryonic placenta development" 1
0 0.762796577490668 2 111 "GO:0001894;GO:0048871" "multicellular organismal homeostasis" 1
0 0.928406057057966 2 343 "GO:0001932;GO:0042325" "regulation of phosphorylation" 1
0 0.787930100010898 2 97 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.366453781730178 4 237 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphorus metabolic process" 1
0 0.0441040968518242 3 31 "GO:0001942;GO:0022405;GO:0022404;GO:0042633" "hair cycle" 1
0 0.26934777952345 3 16 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.135389188169563 3 7 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 1
0 0.11366051941557 3 7 "GO:0001967" "suckling behavior" 1
0 0.035559024803806 2 31 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.393076455078426 7 17 "GO:0002028" "regulation of sodium ion transport" 1
0 0.130874832788113 3 20 "GO:0002040" "sprouting angiogenesis" 1
0 0.296689820886307 3 15 "GO:0002062" "chondrocyte differentiation" 1
0 0.136457103953535 2 6 "GO:0002063" "chondrocyte development" 1
0 0.594668470017124 3 230 "GO:0002064" "epithelial cell development" 1
0 0.277615432305679 5 57 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 0.474893817524682 2 240 "GO:0002165;GO:0007552;GO:0009886;GO:0048707" "instar larval or pupal development" 1
0 0.47034286982348 2 36 "GO:0002168" "instar larval development" 1
0 0.370435146496571 2 15 "GO:0002200;GO:0016447;GO:0016445;GO:0002562;GO:0016444;GO:0002377" "somatic diversification of immune receptors" 1
0 0.676014511189311 2 42 "GO:0002224;GO:0002756;GO:0008063;GO:0034138;GO:0034142;GO:0035666" "toll-like receptor signaling pathway" 1
0 0.761064467543948 3 87 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 0.81950757272889 2 73 "GO:0002252" "immune effector process" 1
0 0.465385598201631 2 22 "GO:0002263;GO:0002366" "cell activation involved in immune response" 1
0 0.506511210829578 3 25 "GO:0002274" "myeloid leukocyte activation" 1
0 0.209130342883804 2 8 "GO:0002275" "myeloid cell activation involved in immune response" 1
0 0.407391656806145 2 17 "GO:0002440" "production of molecular mediator of immune response" 1
0 0.707566251471053 4 46 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 0.412839705266191 2 85 "GO:0002478;GO:0019884;GO:0048002;GO:0019882" "antigen processing and presentation" 1
0 0.630074590804588 3 36 "GO:0002479;GO:0042590" "antigen processing and presentation of exogenous peptide antigen via MHC class I" 1
0 0.095664707046966 4 45 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide antigen via MHC class II" 1
