"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.126412547388162 3 16 "GO:0000018" "regulation of DNA recombination" 1
0 0.659807525963753 2 58 "GO:0000022;GO:0051231" "spindle elongation" 0.974696444058977
0 0.448723491142706 2 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.995242966751918
0 0.31489725762737 2 51 "GO:0000041" "transition metal ion transport" 1
0 0.0451528507941081 5 13 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.106585653548986 3 37 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.0506532123934724 6 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.0529724706574012 4 14 "GO:0000080;GO:0051318" "mitotic G1 phase" 1
0 0.0123895762181348 3 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 1
0 0.0423540414338007 2 9 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.083057503806959 4 54 "GO:0000084;GO:0051320" "S phase" 1
0 0.120134667820728 2 57 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.263842328233579 4 11 "GO:0000090;GO:0051322" "anaphase" 1
0 0.529382749469316 4 28 "GO:0000096" "sulfur amino acid metabolic process" 0.986034971644612
0 0.00399699276599192 3 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.760024479191138 3 17 "GO:0000132" "establishment of mitotic spindle orientation" 0.969596001665972
0 0.689458003279903 4 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.972937152629329
0 0.8827977754015 5 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.964868154158215
0 0.284175083336688 2 24 "GO:0000186" "activation of MAPKK activity" 1
0 0.361097078108893 8 59 "GO:0000187" "activation of MAPK activity" 0.998540354894104
0 0.798905586064525 2 75 "GO:0000209" "protein polyubiquitination" 0.966358024691358
0 0.0181425560748688 6 18 "GO:0000212" "meiotic spindle organization" 1
0 0.337586616075604 2 360 "GO:0000226;GO:0007017" "microtubule-based process" 1
0 0.194298355285225 2 26 "GO:0000236" "mitotic prometaphase" 1
0 0.00695411626420119 6 23 "GO:0000245" "spliceosomal complex assembly" 1
0 0.0647035288108145 3 10 "GO:0000272;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 1
0 0.0139617189447459 3 23 "GO:0000279" "M phase" 1
0 0.0827572055023462 2 186 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.251994797618458 6 31 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.169393759506182 7 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.625753618446449 4 76 "GO:0000302" "response to reactive oxygen species" 0.977672261484099
0 0.00455470859556529 2 216 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.056952794925707 3 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.230481458026151 3 46 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 1
0 0.164226293072788 6 12 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.564071471643805 4 11 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.976840420667581
0 0.264161205523614 9 8 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.264161205523614 9 8 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 1
0 0.241168140012985 3 7 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0000466" "cleavage involved in rRNA processing" 1
0 0.608354252562063 2 82 "GO:0000578;GO:0007351;GO:0008595;GO:0009948" "anterior/posterior axis specification" 0.980196691998212
0 0.073940061594568 3 6 "GO:0000712;GO:0051307" "resolution of meiotic recombination intermediates" 1
0 0.0191588567932925 2 7 "GO:0000718;GO:0044349" "nucleotide-excision repair, DNA damage removal" 1
0 0.651997666801609 4 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.976438535309503
0 0.64267141899174 3 26 "GO:0000723;GO:0032200" "telomere maintenance" 0.976554290718038
0 0.597684083629421 2 19 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.981959459459459
0 0.180333764640583 6 9 "GO:0000726;GO:0006303" "double-strand break repair via nonhomologous end joining" 1
0 0.148053104396187 4 9 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.274754749392739 4 15 "GO:0000737;GO:0006309;GO:0030262" "apoptotic nuclear changes" 1
0 0.367938876906185 2 35 "GO:0000768;GO:0006949;GO:0140253;GO:0007520;GO:0014902" "myotube differentiation" 0.995873374788016
0 0.102538459036336 4 402 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.239152591377644 3 119 "GO:0000910" "cytokinesis" 1
0 0.311580277860347 4 8 "GO:0000912;GO:0000915;GO:0044837" "actomyosin contractile ring organization" 1
0 0.0245718254140092 2 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.413423540369104 2 102 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.99643237486688
0 0.293647823326303 3 111 "GO:0001101" "response to acid chemical" 1
0 0.238824187592458 3 5 "GO:0001302" "replicative cell aging" 1
0 0.227207956520287 2 138 "GO:0001501" "skeletal system development" 1
0 0.034888724377961 2 54 "GO:0001503" "ossification" 1
0 0.269424063736586 3 143 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.0220435139485462 3 65 "GO:0001508" "action potential" 1
0 0.0515631631499673 6 12 "GO:0001510" "RNA methylation" 1
0 0.542475090712524 2 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.980973451327434
0 0.378058914145857 2 76 "GO:0001525" "angiogenesis" 0.990631929046563
0 0.132377959787444 2 14 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.201851567536963 2 21 "GO:0001541" "ovarian follicle development" 1
0 0.203752889559914 3 129 "GO:0001558" "regulation of cell growth" 1
0 0.16642532712934 2 130 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.0370388853970965 2 18 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.0119315017615782 2 33 "GO:0001570" "vasculogenesis" 1
0 0.246736116024155 3 23 "GO:0001578" "microtubule bundle formation" 1
0 0.0101033969733154 4 27 "GO:0001649" "osteoblast differentiation" 1
0 0.749357807012584 2 353 "GO:0001654;GO:0007423" "sensory organ development" 0.970849017147637
0 0.133322169064376 3 136 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.106348736675441 2 25 "GO:0001656" "metanephros development" 1
0 0.106348736675441 5 25 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.0893739723305545 4 15 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.392505475274062 3 127 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.991884531590414
0 0.04914631547212 3 141 "GO:0001667" "ameboidal-type cell migration" 1
0 0.216957558975145 2 9 "GO:0001672;GO:0010847" "regulation of chromatin assembly or disassembly" 1
0 0.198363422721752 6 27 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.158192256611739 2 84 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.353656217005906 2 136 "GO:0001701" "in utero embryonic development" 1
0 0.0726635844822175 2 22 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.14329339544984 4 34 "GO:0001703" "gastrulation with mouth forming first" 1
0 0.184378593603506 3 58 "GO:0001704" "formation of primary germ layer" 1
0 0.158402388833881 4 20 "GO:0001706;GO:0001711;GO:0035987" "endoderm formation" 1
0 0.148520254124571 2 44 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 1
0 0.0814067132488545 3 58 "GO:0001708" "cell fate specification" 1
0 0.523322110605256 3 71 "GO:0001709" "cell fate determination" 0.987969567284831
0 0.655839605085692 5 12 "GO:0001710;GO:0048333" "mesodermal cell differentiation" 0.9767522855899
0 0.161593900566613 2 5 "GO:0001714" "endodermal cell fate specification" 1
0 0.85293951564859 2 55 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 0.965831295843521
0 0.3861401157345 2 139 "GO:0001745;GO:0048749" "compound eye development" 0.991895604395604
0 0.0678279548773515 5 9 "GO:0001746;GO:0055034" "Bolwig's organ morphogenesis" 1
0 0.0711422894625333 3 63 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.110333549332519 3 30 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 1
0 0.0163210715060154 2 111 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.0272446258804293 2 12 "GO:0001755" "neural crest cell migration" 1
0 0.398512076776717 2 55 "GO:0001756;GO:0061053" "somite development" 0.991220961642356
0 0.386447855358384 2 86 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.988882803943045
0 0.275741425685092 4 41 "GO:0001764" "neuron migration" 1
0 0.532518140852138 5 10 "GO:0001773;GO:0043011;GO:0097028" "dendritic cell differentiation" 0.983466603951082
0 0.50938307422114 2 149 "GO:0001775" "cell activation" 0.989538239538239
0 0.161162662699386 4 18 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.323251377507783 5 5 "GO:0001779" "natural killer cell differentiation" 1
0 0.0303933508628371 2 9 "GO:0001782" "B cell homeostasis" 1
0 0.57053800314923 2 24 "GO:0001816" "cytokine production" 0.977894257064722
0 0.712618506402043 4 103 "GO:0001817" "regulation of cytokine production" 0.970169133192389
0 0.130293031071755 2 42 "GO:0001818" "negative regulation of cytokine production" 1
0 0.901987626966471 2 55 "GO:0001819" "positive regulation of cytokine production" 0.964878542510122
0 0.267574405885449 2 86 "GO:0001822" "kidney development" 1
0 0.12268209361145 2 25 "GO:0001824" "blastocyst development" 1
0 0.0515956297499739 3 5 "GO:0001832" "blastocyst growth" 1
0 0.134734153628963 2 9 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.557071732349111 2 27 "GO:0001837" "epithelial to mesenchymal transition" 0.97921270718232
0 0.0447264134508655 2 5 "GO:0001839" "neural plate morphogenesis" 1
0 0.0801518909071433 3 12 "GO:0001840" "neural plate development" 1
0 0.154848088333675 2 49 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 1
0 0.329176924773112 5 54 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.423218723767511 2 41 "GO:0001890" "placenta development" 0.99736564805058
0 0.332269349230482 2 6 "GO:0001893" "maternal placenta development" 1
0 0.352093348522275 5 111 "GO:0001894;GO:0048871" "multicellular organismal homeostasis" 1
0 0.0259066032118497 2 34 "GO:0001895;GO:0045494" "retina homeostasis" 1
0 0.154288360636991 4 343 "GO:0001932;GO:0042325" "regulation of phosphorylation" 1
0 0.0125275485188184 2 97 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.369174225915176 2 237 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.996583850931677
0 0.60689100257073 3 23 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 0.980178970917226
0 0.110923564339212 3 31 "GO:0001942;GO:0022405;GO:0022404;GO:0042633" "hair cycle" 1
0 0.362496846875195 3 14 "GO:0001945" "lymph vessel development" 0.99777397260274
0 0.51667866919216 3 9 "GO:0001946;GO:0036303" "lymph vessel morphogenesis" 0.989617224880383
0 0.3366236151702 2 52 "GO:0001947;GO:0003143;GO:0061371" "embryonic heart tube morphogenesis" 1
0 0.752569638637483 5 23 "GO:0001952" "regulation of cell-matrix adhesion" 0.970831592143753
0 0.514529024368118 2 9 "GO:0001956;GO:0051590" "positive regulation of neurotransmitter secretion" 0.989698131288931
0 0.0206453606379799 3 7 "GO:0001957;GO:0036072;GO:0048099" "intramembranous ossification" 1
0 0.270628390697027 3 12 "GO:0001974" "blood vessel remodeling" 1
0 0.209171475652066 3 31 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 0.26285635545995 5 6 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.0499170729813963 2 22 "GO:0002027" "regulation of heart rate" 1
0 0.16743689505232 3 17 "GO:0002028" "regulation of sodium ion transport" 1
0 0.705372222662762 4 20 "GO:0002040" "sprouting angiogenesis" 0.971531607976241
0 0.0240740110100441 2 17 "GO:0002052;GO:2000179" "positive regulation of neural precursor cell proliferation" 1
0 0.168166875737995 6 20 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 1
0 0.053880667994859 4 15 "GO:0002062" "chondrocyte differentiation" 1
0 0.0385546628775821 2 6 "GO:0002063" "chondrocyte development" 1
0 0.113756816740357 2 230 "GO:0002064" "epithelial cell development" 1
0 0.887788899033275 3 57 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.964653425212809
0 0.594504942775337 6 16 "GO:0002067" "glandular epithelial cell differentiation" 0.98170951736581
0 0.00889343731375212 4 10 "GO:0002072;GO:0060900" "embryonic camera-type eye formation" 1
0 0.00663024325598883 2 7 "GO:0002076" "osteoblast development" 1
0 0.422566292482051 3 27 "GO:0002088" "lens development in camera-type eye" 0.998100263852243
0 0.333600435655491 3 6 "GO:0002090;GO:0002092" "regulation of receptor internalization" 1
0 0.0550704416616277 3 12 "GO:0002118;GO:0002121" "inter-male aggressive behavior" 1
0 0.374150611916103 3 240 "GO:0002165;GO:0007552;GO:0009886;GO:0048707" "instar larval or pupal development" 0.989643652561247
0 0.177775337442877 4 36 "GO:0002168" "instar larval development" 1
0 0.221362696349084 3 15 "GO:0002200;GO:0016447;GO:0016445;GO:0002562;GO:0016444;GO:0002377" "immunoglobulin production" 1
0 0.354487420582342 4 55 "GO:0002218;GO:0002221;GO:0002758" "activation of innate immune response" 1
0 0.460630452767044 2 42 "GO:0002224;GO:0002756;GO:0008063;GO:0034138;GO:0034142;GO:0035666" "toll-like receptor signaling pathway" 0.994525731584258
0 0.809759591159345 4 87 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 0.966091954022989
0 0.00425885419360299 4 17 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
