"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.107914153248516 5 8 "GO:0000002" "mitochondrial genome maintenance" 0.923018867924528
0 0.0297779486979709 2 16 "GO:0000018" "regulation of DNA recombination" 0.730694143167028
0 0.397565404758868 2 58 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.311548891056137 4 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.708269240153625 2 51 "GO:0000041" "transition metal ion transport" 1
0 0.16061370511608 5 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.95899333826795
0 0.0560142803553071 -1 5 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.838017118402283
0 0.000493236388178522 2 37 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.198717948717949
0 0.120439530086965 6 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.934554280670785
0 0.69081935870903 3 14 "GO:0000080;GO:0051318" "G1 phase" 1
0 0.657751453944349 3 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 1
0 0.576342258774283 6 9 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.490790206574435 4 54 "GO:0000084;GO:0051320" "S phase" 1
0 0.000131433362656116 3 57 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.178571428571429
0 0.0911206622651538 4 11 "GO:0000090;GO:0051322" "anaphase" 0.894120707596254
0 0.120738949737644 4 28 "GO:0000096" "sulfur amino acid metabolic process" 0.934757709251101
0 0.935700917746621 7 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.00602853650844904 2 17 "GO:0000132" "establishment of mitotic spindle orientation" 0.448648648648649
0 0.059081360034931 7 6 "GO:0000154" "rRNA modification" 0.85117728531856
0 0.385144016717006 2 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 1
0 0.164838999216578 2 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.964594001463058
0 0.447464005501692 2 24 "GO:0000186" "activation of MAPKK activity" 1
0 0.749015307994459 2 59 "GO:0000187" "activation of MAPK activity" 1
0 0.941576561792828 2 10 "GO:0000188" "inactivation of MAPK activity" 1
0 0.379387276640974 2 75 "GO:0000209" "protein polyubiquitination" 1
0 0.0123497896567596 2 18 "GO:0000212" "meiotic spindle organization" 0.551241134751773
0 0.000837077264929217 4 360 "GO:0000226;GO:0007017" "microtubule-based process" 0.225454545454545
0 0.000129445055400691 3 26 "GO:0000236" "mitotic prometaphase" 0.192307692307692
0 0.0138137804073123 4 23 "GO:0000245" "spliceosomal complex assembly" 0.582154882154882
0 0.768073913765414 2 8 "GO:0000266" "mitochondrial fission" 1
0 0.00490523310913533 3 8 "GO:0000271;GO:0005978;GO:0009250;GO:0033692" "polysaccharide biosynthetic process" 0.410365853658537
0 0.176008625257669 5 10 "GO:0000272;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 0.971358198451794
0 0.033798650827824 2 23 "GO:0000279" "M phase" 0.742277227722772
0 0.00489694106840639 2 186 "GO:0000280;GO:0048285" "organelle fission" 0.412883435582822
0 0.438700816250757 2 12 "GO:0000281" "mitotic cytokinesis" 1
0 0.0883944119347004 2 31 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.89171974522293
0 0.2844822556127 2 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.0362932604312143 4 11 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.758444022770398
0 0.00413518603858589 4 6 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.386
0 0.779354268470309 2 76 "GO:0000302" "response to reactive oxygen species" 1
0 0.152037594353221 3 7 "GO:0000303;GO:0000305" "response to oxygen radical" 0.950229007633588
0 0.0123215683026999 3 216 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.551423487544484
0 0.0057161977191025 4 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.432872928176796
0 0.000865402905053042 3 46 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.214166666666667
0 0.281679360386702 4 12 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.00498901094455017 5 11 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.408035714285714
0 0.0570674336049731 2 7 "GO:0000422;GO:0061726;GO:1903008" "organelle disassembly" 0.843776520509194
0 0.305823790115103 2 8 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.122003402615436 10 8 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.932838427947598
