"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.56096236235979 3 11 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.0203306302110265 2 6 "GO:0000041" "transition metal ion transport" 1
0 0.0830193941264992 5 12 "GO:0000075;GO:1901988;GO:1901987" "regulation of cell cycle phase transition" 1
0 0.193149377166671 6 9 "GO:0000077;GO:0031570;GO:0007093;GO:0044773;GO:0044774" "mitotic cell cycle checkpoint" 1
0 0.244481004044727 4 6 "GO:0000082;GO:0044843;GO:0006521;GO:0033238" "cell cycle G1/S phase transition" 1
0 0.167947283838485 3 6 "GO:0000084;GO:0051320" "S phase" 1
0 0.0976794589560533 2 6 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.507230739167937 4 29 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.781014855445853 5 13 "GO:0000165;GO:0023014" "MAPK cascade" 1
0 0.65888383009893 5 22 "GO:0000184;GO:0000956;GO:0006402;GO:0006401;GO:0006413" "translational initiation" 1
0 0.2105543299829 2 6 "GO:0000187" "activation of MAPK activity" 1
0 0.255751801591976 2 9 "GO:0000209" "protein polyubiquitination" 1
0 0.532481498491942 4 6 "GO:0000236" "mitotic prometaphase" 1
0 0.0825006166230552 3 21 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.367773370331841 2 6 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.884126305482906 2 11 "GO:0000302" "response to reactive oxygen species" 1
0 0.216186340806395 2 27 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.267760935053594 7 5 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 1
0 0.257908569013236 2 13 "GO:0000578;GO:0009948;GO:0007351;GO:0008595" "anterior/posterior axis specification" 1
0 0.460818765375839 2 35 "GO:0000904;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.103897357159837 3 16 "GO:0000910" "cytokinesis" 1
0 0.318986129307398 2 14 "GO:0001101" "response to acid chemical" 1
0 0.320699681311672 3 15 "GO:0001501" "skeletal system development" 1
0 0.721268247381353 3 5 "GO:0001503;GO:0001649" "osteoblast differentiation" 1
0 0.419018344118777 3 16 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.808305744122527 4 5 "GO:0001508" "action potential" 1
0 0.908925764354982 3 10 "GO:0001525" "angiogenesis" 1
0 0.241793667606947 2 12 "GO:0001558" "regulation of cell growth" 1
0 0.895129923203953 3 14 "GO:0001568;GO:0001944;GO:0048514" "blood vessel development" 1
0 0.45427679849374 4 34 "GO:0001654" "eye development" 1
0 0.768626552130846 4 18 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.553276849050753 3 5 "GO:0001657;GO:0072164;GO:0072163" "mesonephric tubule development" 1
0 0.747931951155201 3 17 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.741286369669416 4 16 "GO:0001667;GO:0010631;GO:0090130;GO:0090132" "ameboidal-type cell migration" 1
0 0.846329630030694 2 12 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.807590512627299 2 15 "GO:0001701" "in utero embryonic development" 1
0 0.700194929210527 2 5 "GO:0001703" "gastrulation with mouth forming first" 1
0 0.927708536681938 2 10 "GO:0001704;GO:0001707;GO:0048332" "formation of primary germ layer" 0.998495212038304
0 0.384001296841864 2 8 "GO:0001708" "cell fate specification" 1
0 0.720127105953857 2 9 "GO:0001709" "cell fate determination" 1
0 0.804759296340932 5 5 "GO:0001738" "morphogenesis of a polarized epithelium" 1
0 0.495719972518979 2 9 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.319159227860889 3 15 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.334700487503252 4 10 "GO:0001756;GO:0061053" "somite development" 1
0 0.766847826470189 2 6 "GO:0001764" "neuron migration" 1
0 0.230950498960968 2 16 "GO:0001775" "cell activation" 1
0 0.562797918044505 2 16 "GO:0001817" "regulation of cytokine production" 1
0 0.33659119963858 3 10 "GO:0001818;GO:0043433" "negative regulation of cytokine production" 1
0 0.814673424328725 3 7 "GO:0001819" "positive regulation of cytokine production" 1
0 0.59118882341902 4 10 "GO:0001822;GO:0072073" "kidney development" 1
0 0.201963229968136 3 11 "GO:0001838;GO:0072175;GO:0035148" "tube formation" 1
0 0.194410283494953 4 6 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 1
0 0.734962717568326 5 12 "GO:0001889;GO:0061008" "liver development" 1
0 0.517681583883037 5 12 "GO:0001894;GO:0048871" "tissue homeostasis" 1
0 0.311022615696356 2 5 "GO:0001895" "retina homeostasis" 1
0 0.850902447346831 3 38 "GO:0001932;GO:0042325" "regulation of phosphorylation" 1
0 0.423394726574265 4 13 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.950150286845416 5 28 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.997956403269755
0 0.0935241180565995 5 9 "GO:0001947;GO:0003143;GO:0007368;GO:0009855;GO:0009799;GO:0061371" "embryonic heart tube morphogenesis" 1
0 0.309248387465077 4 5 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.320367440122176 3 32 "GO:0002064" "epithelial cell development" 1
