"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0967377029612448 2 8 "GO:0000002" "mitochondrial genome maintenance" 0.723807599029911
0 0.343966035840342 3 16 "GO:0000018" "regulation of DNA recombination" 0.905719794344473
0 6.18114802673694e-13 2 58 "GO:0000022;GO:0051231" "spindle elongation" 0
0 1.02100725422158e-05 3 9 "GO:0000028" "ribosomal small subunit assembly" 0.00344827586206897
0 0.48719320676286 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.94973841554559
0 0.081544445852782 2 51 "GO:0000041" "transition metal ion transport" 0.699777975133215
0 0.802931657962932 2 13 "GO:0000045;GO:1905037" "autophagosome assembly" 0.999967689822294
0 0.111833316667973 4 6 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.746276991809382
0 0.67279064344927 2 37 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.989209726443769
0 0.358362859543267 3 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.911036225779276
0 0.0315558289547143 2 14 "GO:0000080;GO:0051318" "mitotic G1 phase" 0.584602649006623
0 0.164678914180655 2 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 0.810104102878138
0 0.347163298483385 2 9 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.907237403928266
0 0.195516217309832 2 54 "GO:0000084;GO:0051320" "S phase" 0.831515659955257
0 0.607470727305492 4 57 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.978981223922114
0 0.881785258554583 4 11 "GO:0000090;GO:0051322" "anaphase" 1
0 0.0370549291474036 4 28 "GO:0000096" "sulfur amino acid metabolic process" 0.596902654867257
0 0.0161311013926413 6 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.500634517766497
0 0.00879913834501074 7 17 "GO:0000132" "establishment of mitotic spindle orientation" 0.43984375
0 0.379445336782817 6 6 "GO:0000154" "rRNA modification" 0.92125464300454
0 0.04825190831021 5 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.625462392108508
0 6.42838507463104e-19 2 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0
0 0.124438486726304 3 24 "GO:0000186" "activation of MAPKK activity" 0.764577464788732
0 0.0230096465749891 3 59 "GO:0000187" "activation of MAPK activity" 0.540744466800805
0 0.063340233598665 2 10 "GO:0000188" "inactivation of MAPK activity" 0.654841997961264
0 0.274678540993416 5 75 "GO:0000209" "protein polyubiquitination" 0.87471671388102
0 0.114327317398665 4 18 "GO:0000212" "meiotic spindle organization" 0.748491537895511
0 5.51098331268056e-05 2 360 "GO:0000226;GO:0007017" "microtubule-based process" 0.0125
0 0.737836758422744 4 26 "GO:0000236" "mitotic prometaphase" 0.994742913645353
0 0.322162492579012 3 23 "GO:0000245" "spliceosomal complex assembly" 0.897087378640777
0 0.301064409280849 2 8 "GO:0000266" "mitochondrial fission" 0.883989145183175
0 0.714715586619038 2 8 "GO:0000271;GO:0005978;GO:0009250;GO:0033692" "polysaccharide biosynthetic process" 0.993222591362126
0 0.368057450677633 4 10 "GO:0000272;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 0.9148125
0 0.922657135861248 3 23 "GO:0000279" "M phase" 1
0 0.364412982353805 2 186 "GO:0000280;GO:0048285" "organelle fission" 0.9131589958159
0 0.125451339471602 4 12 "GO:0000281" "mitotic cytokinesis" 0.76172365666434
0 0.0718779409586558 2 31 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.677251184834123
0 0.313097126947534 2 19 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.891350869371378
0 0.0230765589071267 2 11 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.540763052208835
0 0.0418127011975347 3 76 "GO:0000302" "response to reactive oxygen species" 0.6055330634278
0 0.436651099891661 4 7 "GO:0000303;GO:0000305" "response to superoxide" 0.943720565149136
0 0.0611682456433791 3 5 "GO:0000338" "protein deneddylation" 0.651832460732984
0 0.831365407823702 2 216 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.749303942703894 9 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.993526712553261
0 0.527708779363657 2 46 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.960214467466376
0 0.202576397835835 3 12 "GO:0000387" "spliceosomal snRNP assembly" 0.83461117196057
0 0.421579363616469 3 11 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.938189757840413
0 0.755131135889768 4 7 "GO:0000422;GO:0061726;GO:1903008" "organelle disassembly" 0.994028141361257
0 0.277036147550609 3 8 "GO:0000460" "maturation of 5.8S rRNA" 0.873112986404126
0 0.00966413398612869 2 8 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.431052631578947
0 0.298945689058818 9 7 "GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0000466" "endonucleolytic cleavage involved in rRNA processing" 0.884879490677581
0 0.237609731239901 2 82 "GO:0000578;GO:0007351;GO:0008595;GO:0009948" "anterior/posterior axis specification" 0.86188900203666
0 0.664453098002247 3 6 "GO:0000712;GO:0051307" "meiotic chromosome separation" 0.987855691056911
0 0.866923080525672 3 7 "GO:0000718;GO:0044349" "nucleotide-excision repair, DNA damage removal" 1
0 0.533099538154609 4 13 "GO:0000722;GO:0006312" "mitotic recombination" 0.961213768115942
0 0.492416893201545 3 26 "GO:0000723;GO:0032200" "telomere maintenance" 0.950967261904762
0 0.226890722888653 7 19 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.854675324675325
0 0.201244117544277 3 9 "GO:0000726;GO:0006303" "non-recombinational repair" 0.835840220385675
0 0.0972071102847897 2 9 "GO:0000731" "DNA synthesis involved in DNA repair" 0.724133763094279
0 0.0863308922501953 5 15 "GO:0000737;GO:0006309;GO:0030262" "apoptotic nuclear changes" 0.703165098374679
0 0.659410955231843 2 35 "GO:0000768;GO:0006949;GO:0140253;GO:0007520;GO:0014902" "myotube differentiation" 0.987084181941616
0 0.0572239706706615 2 402 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 0.647406181015452
0 0.654288986592136 2 119 "GO:0000910" "cytokinesis" 0.986207482993197
0 0.0435934617633979 3 8 "GO:0000912;GO:0000915;GO:0044837" "actomyosin contractile ring organization" 0.61046052631579
0 0.133790057293125 3 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.76494983277592
0 2.96238207781491e-15 6 102 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0
0 0.0943201602380856 2 111 "GO:0001101" "response to acid chemical" 0.72002457002457
0 0.0217692193761667 3 5 "GO:0001302" "replicative cell aging" 0.532016632016632
0 0.279867604598959 2 138 "GO:0001501" "skeletal system development" 0.875479195885928
0 0.508507550528581 2 54 "GO:0001503" "ossification" 0.956335174953959
0 0.00151286005540068 4 16 "GO:0001504" "neurotransmitter uptake" 0.226288659793814
0 0.0192824417954525 2 143 "GO:0001505" "regulation of neurotransmitter levels" 0.523863636363636
0 0.28852173371996 3 65 "GO:0001508" "action potential" 0.882114761684405
0 0.69325712594999 2 12 "GO:0001510" "RNA methylation" 0.993185632762672
0 0.0354333113971075 2 5 "GO:0001522" "pseudouridine synthesis" 0.592998477929985
0 0.220982432306008 3 19 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.852106371774618
0 0.0800582697122826 3 76 "GO:0001525" "angiogenesis" 0.696367713004484
0 0.649741233987058 2 14 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.986335721596725
0 0.0113359019507025 2 21 "GO:0001541" "ovarian follicle development" 0.44421875
0 0.855678833947681 2 6 "GO:0001553" "luteinization" 1
0 0.174127256612112 2 6 "GO:0001556" "oocyte maturation" 0.815192878338279
0 0.332395876020529 2 129 "GO:0001558" "regulation of cell growth" 0.901523726599913
0 0.265970515705464 3 130 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.868220946915352
0 0.487401070970293 3 18 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.949234503360717
0 0.583515924896141 4 33 "GO:0001570" "vasculogenesis" 0.974144620811287
0 0.293528932241158 3 23 "GO:0001578" "microtubule bundle formation" 0.882966529115085
0 0.299812563351534 6 6 "GO:0001580;GO:0050913;GO:0050955;GO:0050966" "detection of chemical stimulus involved in sensory perception of bitter taste" 0.885217983651226
0 0.0456879228121952 2 27 "GO:0001649" "osteoblast differentiation" 0.619551282051282
0 0.0104044189397352 2 353 "GO:0001654;GO:0007423" "sensory organ development" 0.444237288135593
0 0.171682894690967 2 136 "GO:0001655;GO:0072001" "urogenital system development" 0.81507793764988
0 0.154205070317634 2 25 "GO:0001656" "metanephros development" 0.793027638190955
0 0.0206833231122869 3 25 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.537582417582418
0 0.268595013171824 4 15 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.87141154029566
0 0.0385616680425158 2 7 "GO:0001659" "temperature homeostasis" 0.602521613832853
0 0.0329227149692899 2 127 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.58368
0 0.222153112695381 3 141 "GO:0001667" "ameboidal-type cell migration" 0.853732912723449
