"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.655086472944433 2 58 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.465022927232185 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.963441860465116
0 0.220695025254143 2 51 "GO:0000041" "transition metal ion transport" 0.86997463538364
0 0.386309427996033 3 6 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.93195134061569
0 0.0334089996854999 -1 5 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.577970749542962
0 0.10603468928885 2 37 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.78198900091659
0 0.874644954456322 3 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.386751395685535 5 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 0.931448412698413
0 0.373053445587839 4 54 "GO:0000084;GO:0051320" "S phase" 0.927531486146096
0 0.152864740403398 5 57 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.839493865030675
0 0.0598542957314329 3 28 "GO:0000096" "sulfur amino acid metabolic process" 0.689185750636132
0 0.123357954116271 2 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.810485933503836
0 0.0966401211994553 2 17 "GO:0000132" "establishment of mitotic spindle orientation" 0.765399422521655
0 0.0120805353890385 2 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.434219858156028
0 0.0377554431482093 8 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.602457627118644
0 0.248998296762547 3 24 "GO:0000186" "activation of MAPKK activity" 0.887786489746683
0 0.29788922369507 3 59 "GO:0000187" "activation of MAPK activity" 0.904908485856905
0 0.0771528705045232 2 10 "GO:0000188" "inactivation of MAPK activity" 0.739128035320088
0 0.599024662847133 2 75 "GO:0000209" "protein polyubiquitination" 0.999611063094209
0 0.0382985952279291 3 18 "GO:0000212" "meiotic spindle organization" 0.606060606060606
0 0.0367380114359295 4 360 "GO:0000226;GO:0007017" "microtubule-based process" 0.596724137931035
0 0.251722785940679 4 26 "GO:0000236" "mitotic prometaphase" 0.889189189189189
0 0.100763192857368 2 23 "GO:0000245" "spliceosomal complex assembly" 0.771193609022556
0 0.46513180069892 2 8 "GO:0000266" "mitochondrial fission" 0.963156671315667
0 0.187503171908241 2 186 "GO:0000280;GO:0048285" "organelle fission" 0.850034129692833
0 0.323181947539905 2 12 "GO:0000281" "mitotic cytokinesis" 0.914412238325282
0 0.00826511008208785 3 31 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.391814159292035
