"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.615029402159122 2 58 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.258053295199596 2 51 "GO:0000041" "transition metal ion transport" 1
0 0.16571898747128 4 13 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.121050678741035 -1 5 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.0261875257635742 2 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.0255919233572667 4 89 "GO:0000082;GO:0044843;GO:0051325;GO:0051329" "interphase" 1
0 0.0161865511561037 2 54 "GO:0000084;GO:0051320" "S phase" 1
0 0.116802801051877 3 57 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 1
0 0.00955186879284029 4 11 "GO:0000090;GO:0051322" "anaphase" 1
0 0.161526161825977 3 28 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.192162866652696 3 209 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.18504409833766 5 113 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 1
0 0.640662120333132 5 65 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.0514035958878315 3 24 "GO:0000186" "activation of MAPKK activity" 1
0 0.657122051586194 3 59 "GO:0000187" "activation of MAPK activity" 1
0 0.241887004259746 5 10 "GO:0000188" "inactivation of MAPK activity" 1
0 0.0469059437827605 3 75 "GO:0000209" "protein polyubiquitination" 1
0 0.935964850943477 4 360 "GO:0000226;GO:0007017" "microtubule-based process" 1
0 0.0352473963375831 3 23 "GO:0000279" "M phase" 1
0 0.17604230635596 5 186 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.163032904947984 2 76 "GO:0000302" "response to reactive oxygen species" 1
0 0.0874964105116152 2 5 "GO:0000338" "protein deneddylation" 1
0 0.869234793561146 2 216 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 1
0 0.660521000776537 8 46 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 1
0 0.193941312668553 2 12 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.248493345031573 4 15 "GO:0000737;GO:0006309;GO:0030262" "apoptotic nuclear changes" 1
0 0.317835070722909 2 402 "GO:0000904;GO:0048812;GO:0120039;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.627778552322261 3 119 "GO:0000910" "cytokinesis" 1
0 0.360892776444541 3 102 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 1
0 0.0824665626426503 3 111 "GO:0001101" "response to acid chemical" 1
0 0.117186085986043 2 138 "GO:0001501" "skeletal system development" 1
0 0.174670043261619 2 54 "GO:0001503" "ossification" 1
0 0.293784816725031 2 143 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.523513100508581 3 76 "GO:0001525" "angiogenesis" 1
0 0.195592746403103 4 21 "GO:0001541" "ovarian follicle development" 1
0 0.0684657936729181 2 6 "GO:0001553" "luteinization" 1
0 0.0897850503163116 2 129 "GO:0001558" "regulation of cell growth" 1
0 0.722118179254563 2 130 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.174388928500412 4 18 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.264117817513175 2 33 "GO:0001570" "vasculogenesis" 1
0 0.0367617329149447 3 6 "GO:0001580;GO:0050913;GO:0050955;GO:0050966" "detection of chemical stimulus involved in sensory perception of bitter taste" 1
0 0.119962688304537 4 27 "GO:0001649" "osteoblast differentiation" 1
0 0.798562690047938 2 353 "GO:0001654;GO:0007423" "sensory organ development" 1
0 0.00628368118844397 3 136 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.221137513402597 3 25 "GO:0001656" "metanephros development" 1
0 0.3632993133352 4 25 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.248493345031573 4 15 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.41650300001939 3 127 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.633648468695869 2 141 "GO:0001667" "ameboidal-type cell migration" 1
0 0.0375781522569056 2 27 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.135349540817194 3 84 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.125164330835312 2 136 "GO:0001701" "in utero embryonic development" 1
0 0.742915494544423 2 58 "GO:0001708" "cell fate specification" 1
0 0.438691446961921 3 55 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 1
0 0.759263849341049 4 139 "GO:0001745;GO:0048749" "compound eye development" 1
0 0.765671086853312 3 63 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.752635067100756 2 111 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.00701622429196359 2 86 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.163869242938461 2 41 "GO:0001764" "neuron migration" 1
0 0.243512961440811 2 149 "GO:0001775" "cell activation" 1
0 0.406058631745474 2 103 "GO:0001817" "regulation of cytokine production" 1
0 0.341566294152085 3 55 "GO:0001819" "positive regulation of cytokine production" 1
0 0.00121352098588403 2 86 "GO:0001822" "kidney development" 1
0 0.161809415902838 2 9 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.703472324667396 2 49 "GO:0001841;GO:0001843;GO:0060606;GO:0014020" "neural tube formation" 1
