"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0271522323716819 5 20 "GO:0000118" "histone deacetylase complex" 1
0 0.195011094148981 5 7 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 1
0 0.631489461324209 2 200 "GO:0000139" "Golgi membrane" 1
0 0.538246451108187 4 134 "GO:0000228" "nuclear chromosome" 1
0 0.339000799075994 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.0622403397290713 4 19 "GO:0000313;GO:0005761" "mitochondrial ribosome" 1
0 0.0312288233706253 4 8 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 1
0 0.666204028291172 4 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.285926326332 2 128 "GO:0000785" "chromatin" 1
0 0.27440929232967 5 70 "GO:0000790" "nuclear chromatin" 1
0 0.261054993657908 5 70 "GO:0000793" "condensed chromosome" 1
0 0.149908428656012 2 5 "GO:0000974" "Prp19 complex" 1
0 0.0592116151785991 2 29 "GO:0001669" "acrosomal vesicle" 1
0 0.151953923986665 3 23 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 1
0 0.605150272100999 2 56 "GO:0001726" "ruffle" 1
0 0.163459291343764 3 7 "GO:0001891" "phagocytic cup" 1
0 0.0175223622570204 5 6 "GO:0002080" "acrosomal membrane" 1
0 0.000115334094330691 1 407 "GO:0005576" "extracellular region" 0.03125
0 7.70276511939702e-08 2 15 "GO:0005581" "collagen trimer" 0
0 2.92622927071826e-10 2 6 "GO:0005583" "fibrillar collagen trimer" 0
0 0.135502613526735 4 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.00627602548804725 2 169 "GO:0005615" "extracellular space" 0.622727272727273
0 0.427869724783732 2 149 "GO:0005635" "nuclear envelope" 1
0 0.292192234095145 2 21 "GO:0005657" "replication fork" 1
0 0.549063506607572 2 115 "GO:0005667" "transcription factor complex" 1
0 0.178797358669368 4 121 "GO:0005681" "spliceosomal complex" 1
0 0.0528145395937366 2 7 "GO:0005682" "U5 snRNP" 1
0 0.607816359047299 2 292 "GO:0005694;GO:0044427" "chromosome" 1
0 0.518537752770678 2 59 "GO:0005700" "polytene chromosome" 1
0 0.234409780820852 3 305 "GO:0005730" "nucleolus" 1
0 0.048576447233108 3 9 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 0.291219951559794 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.327160046064235 2 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.146245448595143 2 166 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.100407808234193 3 27 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 1
0 0.0703138419660668 2 16 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 1
0 0.144376337393986 4 129 "GO:0005759" "mitochondrial matrix" 1
0 0.471208656542263 6 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 0.323578983883633 3 253 "GO:0005768" "endosome" 1
0 0.276805813807722 2 98 "GO:0005769" "early endosome" 1
0 0.122300241397915 2 81 "GO:0005770" "late endosome" 1
0 0.0580371479777514 2 193 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 1
0 0.0219154219531293 3 42 "GO:0005775;GO:0043202" "vacuolar lumen" 1
0 0.357987791952719 2 63 "GO:0005777;GO:0042579" "peroxisome" 1
0 0.305018207986342 5 24 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 0.116276560230639 3 7 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 1
0 0.143122384664672 4 5 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 1
0 3.91576216569148e-05 2 67 "GO:0005788" "endoplasmic reticulum lumen" 0.02
0 0.0704523670619425 2 27 "GO:0005791" "rough endoplasmic reticulum" 1
0 0.796336373469323 3 418 "GO:0005794" "Golgi apparatus" 1
0 0.515369510549023 2 30 "GO:0005801" "cis-Golgi network" 1
0 0.270618880392394 5 84 "GO:0005802" "trans-Golgi network" 1
0 0.177114177963686 4 131 "GO:0005811" "lipid droplet" 1
0 0.202726945217168 2 205 "GO:0005813;GO:0005815" "microtubule organizing center" 1
0 0.447627853673067 3 23 "GO:0005814" "centriole" 1
0 0.794833950186729 2 109 "GO:0005819" "spindle" 1
0 3.9208660386314e-05 2 5 "GO:0005832;GO:0101031" "chaperonin-containing T-complex" 0.0166666666666667
0 0.260084138748213 2 10 "GO:0005839" "proteasome core complex" 1
0 0.215749179452509 2 85 "GO:0005840;GO:0044391" "ribosome" 1
0 0.15909271389126 3 7 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 1
0 0.216352833962801 2 10 "GO:0005849" "mRNA cleavage factor complex" 1
0 0.0308709290346856 2 11 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 1
0 0.0886209002604778 2 8 "GO:0005868" "cytoplasmic dynein complex" 1
0 0.114131891739045 5 5 "GO:0005869" "dynactin complex" 1
0 0.0908973074892282 5 83 "GO:0005874" "microtubule" 1
0 0.183959955425127 4 185 "GO:0005875" "microtubule associated complex" 1
0 0.530835377422578 6 31 "GO:0005876" "spindle microtubule" 1
