"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0280617168004063 2 20 "GO:0000118" "histone deacetylase complex" 1
0 0.0160568614899393 4 46 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.852083333333333
0 0.00282681533147708 3 8 "GO:0000124" "SAGA complex" 0.444444444444444
0 0.103136171082844 2 7 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 1
0 0.541144113060779 2 200 "GO:0000139" "Golgi membrane" 1
0 0.00129868723492592 2 6 "GO:0000145" "exocyst" 0.43
0 0.438217683943684 3 57 "GO:0000151" "ubiquitin ligase complex" 1
0 0.404519585322004 4 17 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.476815115144926 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 0.0954828405991755 2 5 "GO:0000164" "protein phosphatase type 1 complex" 1
0 0.0495136052820297 4 134 "GO:0000228" "nuclear chromosome" 1
0 0.186010044856029 2 12 "GO:0000242" "pericentriolar material" 1
0 0.270173581526906 3 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.356359390145069 4 19 "GO:0000313;GO:0005761" "organellar ribosome" 1
0 0.198945191189002 4 12 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 0.210573480449811 4 5 "GO:0000346" "transcription export complex" 1
0 0.0314955290471395 2 8 "GO:0000407;GO:0034045" "phagophore assembly site" 1
0 0.00415222319492714 3 7 "GO:0000421" "autophagosome membrane" 0.520833333333333
0 0.0480232805896331 6 58 "GO:0000428;GO:0030880;GO:0055029;GO:0016591" "nuclear DNA-directed RNA polymerase complex" 1
0 0.109987790722179 4 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.505621614611753 3 46 "GO:0000775" "chromosome, centromeric region" 1
0 0.47140790873187 2 31 "GO:0000776" "kinetochore" 1
0 0.318318022078683 4 24 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 1
0 0.0984044402939156 2 128 "GO:0000785" "chromatin" 1
0 0.130866149228433 5 70 "GO:0000790" "nuclear chromatin" 1
0 0.102927595076725 2 19 "GO:0000792" "heterochromatin" 1
0 0.304306579408205 2 70 "GO:0000793" "condensed chromosome" 1
0 0.0424537411263632 2 33 "GO:0000794" "condensed nuclear chromosome" 1
0 0.371204990764581 2 16 "GO:0000803" "sex chromosome" 1
0 0.270201226884173 4 9 "GO:0000805" "X chromosome" 1
0 0.287673629223058 2 5 "GO:0000815" "ESCRT III complex" 1
0 0.00572692971520432 4 40 "GO:0000922" "spindle pole" 0.630769230769231
0 0.318752377120465 2 6 "GO:0000930" "gamma-tubulin complex" 1
0 0.247614825520766 3 31 "GO:0000932" "P-body" 1
0 0.198074688790305 2 5 "GO:0000974" "Prp19 complex" 1
0 0.253268620278215 6 29 "GO:0001669" "acrosomal vesicle" 1
0 0.139086464797833 2 5 "GO:0001673" "male germ cell nucleus" 1
0 0.000577119569546275 2 5 "GO:0001674" "female germ cell nucleus" 0.425
0 0.0987300138431893 2 23 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 1
0 0.0654480227930966 2 56 "GO:0001726" "ruffle" 1
0 0.307086704810125 4 6 "GO:0002080" "acrosomal membrane" 1
0 0.569999216918073 1 407 "GO:0005576" "extracellular region" 1
0 0.130053133874934 3 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.165779918857685 2 169 "GO:0005615" "extracellular space" 1
0 0.107064397763532 2 149 "GO:0005635" "nuclear envelope" 1
0 0.0474768500280663 2 9 "GO:0005637" "nuclear inner membrane" 1
0 0.207020397046597 2 5 "GO:0005641" "nuclear envelope lumen" 1
0 0.122276630897548 4 31 "GO:0005643;GO:0046930" "pore complex" 1
0 0.188186220435064 2 21 "GO:0005657" "replication fork" 1
0 0.529869530756527 2 9 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.0323886570684339 2 115 "GO:0005667" "transcription factor complex" 1
0 0.0650939262382528 3 9 "GO:0005669" "transcription factor TFIID complex" 1
0 0.0039937988351566 2 9 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.527272727272727
0 0.0781516727814657 3 6 "GO:0005675" "transcription factor TFIIH holo complex" 1
0 0.0013445277890653 2 121 "GO:0005681" "spliceosomal complex" 0.366666666666667
0 0.448451413740932 3 7 "GO:0005682" "U5 snRNP" 1
0 0.067250685662443 3 9 "GO:0005686" "U2 snRNP" 1
0 0.0680532474451988 2 292 "GO:0005694;GO:0044427" "chromosome" 1
0 0.257626803470672 5 59 "GO:0005700" "polytene chromosome" 1
0 0.747329471285722 3 17 "GO:0005703" "polytene chromosome puff" 1
0 0.0589650005116744 3 14 "GO:0005705" "polytene chromosome interband" 1
0 0.259147823621231 2 9 "GO:0005720" "nuclear heterochromatin" 1
0 0.167398476675611 3 5 "GO:0005721" "pericentric heterochromatin" 1
0 0.490186601288872 2 305 "GO:0005730" "nucleolus" 1
0 0.286787171612934 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.11910883607216 3 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.151759097965439 3 166 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.681383445761404 2 27 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 1
0 0.722868406729395 4 16 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 0.259147823621231 3 9 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 1
0 0.179744509453422 2 129 "GO:0005759" "mitochondrial matrix" 1
0 0.254066002091527 4 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
