"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.309772925602362 5 20 "GO:0000118" "histone deacetylase complex" 0.947460317460317
0 0.034648128530543 2 46 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.451145038167939
0 0.0186549432165739 2 7 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 0.347058823529412
0 0.0801403992755391 2 5 "GO:0000137" "Golgi cis cisterna" 0.626881720430107
0 0.00326636905408719 3 5 "GO:0000138" "Golgi trans cisterna" 0.145744680851064
0 2.26474329144475e-06 4 200 "GO:0000139" "Golgi membrane" 0.0166666666666667
0 0.853016898010282 4 6 "GO:0000145" "exocyst" 1
0 0.571494410392172 2 57 "GO:0000151" "ubiquitin ligase complex" 1
0 0.6994194259665 3 17 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0826368973297326 4 8 "GO:0000159" "protein phosphatase type 2A complex" 0.627105263157895
0 0.221590776162972 3 5 "GO:0000176" "nuclear exosome (RNase complex)" 0.895588235294118
0 0.480387022355831 3 8 "GO:0000178;GO:1905354;GO:0000177" "exoribonuclease complex" 1
0 0.00336423837937096 3 134 "GO:0000228" "nuclear chromosome" 0.144791666666667
0 0.00213247880946808 5 12 "GO:0000242" "pericentriolar material" 0.102439024390244
0 0.0410789032420606 2 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.475177304964539
0 0.205605439936734 3 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.883206106870229
0 0.861329018827453 5 19 "GO:0000313;GO:0005761" "mitochondrial ribosome" 1
0 0.520333740753169 3 8 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 1
0 0.921473050288943 3 12 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 0.138780365944292 2 5 "GO:0000346" "transcription export complex" 0.784734513274336
0 0.520665163794873 4 8 "GO:0000407;GO:0034045" "phagophore assembly site" 1
0 0.345780053433469 4 58 "GO:0000428;GO:0030880;GO:0055029;GO:0016591" "DNA-directed RNA polymerase complex" 0.959667673716012
0 0.410114478158956 4 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.997277936962751
0 2.60628401380499e-05 3 46 "GO:0000775" "chromosome, centromeric region" 0.01
0 0.000112802850986359 3 31 "GO:0000776" "kinetochore" 0.0222222222222222
0 0.00023342018223606 4 24 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.0264705882352941
0 0.000559666864840062 4 17 "GO:0000781" "chromosome, telomeric region" 0.0458333333333333
0 0.0187376542698773 2 5 "GO:0000784" "nuclear chromosome, telomeric region" 0.343689320388349
0 0.102895276841407 4 128 "GO:0000785" "chromatin" 0.690291262135922
0 0.500117052749677 5 70 "GO:0000790" "nuclear chromatin" 1
0 0.511960031936339 2 10 "GO:0000791" "euchromatin" 1
0 0.20083336251098 2 19 "GO:0000792" "heterochromatin" 0.881274131274131
0 9.71839915299742e-07 4 70 "GO:0000793" "condensed chromosome" 0
0 0.00010149783036369 4 33 "GO:0000794" "condensed nuclear chromosome" 0.025
0 0.00598445289251277 2 8 "GO:0000795;GO:0099086" "synaptonemal complex" 0.198387096774194
0 0.118132192930144 2 16 "GO:0000803" "sex chromosome" 0.729493087557604
0 0.17670433802992 5 9 "GO:0000805" "X chromosome" 0.848577235772358
0 0.0317844510921487 4 5 "GO:0000815" "ESCRT III complex" 0.4328125
0 0.00735755898518148 4 40 "GO:0000922" "spindle pole" 0.230147058823529
0 0.283601748369112 2 6 "GO:0000930" "gamma-tubulin complex" 0.940562913907285
0 0.0168135278996214 2 31 "GO:0000932" "P-body" 0.343085106382979
0 0.467858304557866 6 29 "GO:0001669" "acrosomal vesicle" 1
0 0.204339434659223 2 5 "GO:0001673" "male germ cell nucleus" 0.886538461538461
0 0.831335927650505 2 5 "GO:0001674" "female germ cell nucleus" 1
0 0.000757571529085825 2 23 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.064
0 0.0038498292698937 2 56 "GO:0001726" "ruffle" 0.151923076923077
0 0.531083536382448 2 17 "GO:0001750" "photoreceptor outer segment" 0.998477157360406
0 0.306835144405102 2 7 "GO:0001891" "phagocytic cup" 0.945063694267516
0 0.869892170192916 2 14 "GO:0001917" "photoreceptor inner segment" 1
0 0.290921781758428 5 6 "GO:0002080" "acrosomal membrane" 0.943627450980392
0 0.757415506720629 1 407 "GO:0005576" "extracellular region" 1
0 0.181557742241559 2 15 "GO:0005581" "collagen trimer" 0.856024096385542
0 0.316834902727143 3 6 "GO:0005583" "fibrillar collagen trimer" 0.948119122257053
0 0.145725425382184 3 5 "GO:0005593;GO:0030934" "anchoring collagen complex" 0.794347826086956
0 0.299006870580372 4 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.942443729903537
0 0.79159296023318 2 169 "GO:0005615" "extracellular space" 1
0 0.0852321989682536 2 149 "GO:0005635" "nuclear envelope" 0.633419689119171
0 0.0174255621930578 3 9 "GO:0005637" "nuclear inner membrane" 0.338265306122449
0 0.631230162243975 3 5 "GO:0005641" "nuclear envelope lumen" 1
0 0.416560827344505 3 31 "GO:0005643;GO:0046930" "pore complex" 0.996022727272727
0 0.176951058385078 4 9 "GO:0005652" "nuclear lamina" 0.846356275303644
0 0.02742280173672 2 21 "GO:0005657" "replication fork" 0.407438016528926
0 0.755470915826303 7 9 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.176641629132174 2 115 "GO:0005667" "transcription factor complex" 0.851632653061224
0 0.797827980548885 2 9 "GO:0005669" "transcription factor TFIID complex" 1
0 0.407651931117217 2 9 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 1
0 0.248703020550423 2 6 "GO:0005675" "transcription factor TFIIH holo complex" 0.915505226480836
0 0.518090978522981 2 5 "GO:0005680" "anaphase-promoting complex" 1
0 0.00360334071972349 4 121 "GO:0005681" "spliceosomal complex" 0.148979591836735
0 0.0908156785281291 2 7 "GO:0005682" "U5 snRNP" 0.656122448979592
0 0.418512637753825 6 9 "GO:0005686" "U2 snRNP" 0.995467422096317
0 0.101401880417835 2 9 "GO:0005689" "U12-type spliceosomal complex" 0.691176470588235
0 0.000271702219943488 3 292 "GO:0005694;GO:0044427" "chromosome" 0.0277777777777778
0 0.0110218033381926 2 59 "GO:0005700" "polytene chromosome" 0.282098765432099
0 0.0103998486156227 5 17 "GO:0005703" "polytene chromosome puff" 0.275641025641026
0 0.0225554928056249 3 14 "GO:0005705" "polytene chromosome interband" 0.371428571428571
0 0.412948695695009 6 6 "GO:0005719" "nuclear euchromatin" 0.997285714285714
0 0.334661753379553 2 9 "GO:0005720" "nuclear heterochromatin" 0.950609756097561
0 0.0305167728895003 6 5 "GO:0005721" "pericentric heterochromatin" 0.435483870967742
0 0.00812877540586609 3 305 "GO:0005730" "nucleolus" 0.25
0 0.565072919602175 2 9 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 0.692420382278686 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.782796083892991 3 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.327035138767865 2 166 "GO:0005743;GO:0019866" "organelle inner membrane" 0.947538461538462
0 0.81840420279584 5 27 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 1
0 0.350134601234493 2 16 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.958083832335329
0 0.0458518873865451 2 9 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.463375796178344
0 0.425374918710175 3 12 "GO:0005758" "mitochondrial intermembrane space" 0.99887323943662
0 0.818332160970186 2 129 "GO:0005759" "mitochondrial matrix" 1
0 0.920197539058992 2 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 0.0892850917798301 2 253 "GO:0005768" "endosome" 0.651538461538462
0 0.127171025608577 3 98 "GO:0005769" "early endosome" 0.751345291479821
0 0.206067459450972 3 81 "GO:0005770" "late endosome" 0.88212927756654
0 0.0435859592013183 2 12 "GO:0005771" "multivesicular body" 0.462913907284768
0 0.987982931863925 3 193 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 1
0 0.994940350123349 2 42 "GO:0005775;GO:0043202" "vacuolar lumen" 1
0 0.456044008692257 2 18 "GO:0005776" "autophagosome" 1
0 0.991411051926553 2 63 "GO:0005777;GO:0042579" "peroxisome" 1
0 0.946696000509663 5 24 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 0.883262935385754 2 15 "GO:0005782;GO:0031907" "peroxisomal matrix" 1
0 0.125789310080528 4 5 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.74527027027027
0 0.00273960310912414 2 67 "GO:0005788" "endoplasmic reticulum lumen" 0.128409090909091
0 0.00318743140796482 4 10 "GO:0005790" "smooth endoplasmic reticulum" 0.144565217391304
0 0.708162547556974 2 27 "GO:0005791" "rough endoplasmic reticulum" 1
0 0.0134833225157137 3 25 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.308426966292135
0 0.000170499408806975 3 418 "GO:0005794" "Golgi apparatus" 0.0230769230769231
0 0.00122296844732386 2 57 "GO:0005795" "Golgi stack" 0.0787878787878788
0 0.605427544809041 2 13 "GO:0005796" "Golgi lumen" 0.999280575539568
0 0.0346017153749736 2 8 "GO:0005797" "Golgi medial cisterna" 0.453846153846154
0 0.0200145864936803 5 54 "GO:0005798" "Golgi-associated vesicle" 0.352857142857143
0 0.0269676843320519 3 30 "GO:0005801" "cis-Golgi network" 0.40625
0 0.0228095311647264 2 84 "GO:0005802" "trans-Golgi network" 0.369911504424779
0 0.114594748244687 3 131 "GO:0005811" "lipid droplet" 0.723598130841121
0 0.0141423240728883 2 205 "GO:0005813;GO:0005815" "microtubule organizing center" 0.308064516129032
0 0.0521651965645573 3 23 "GO:0005814" "centriole" 0.501234567901235
0 0.000179862493533723 2 109 "GO:0005819" "spindle" 0.0214285714285714
0 0.000776654777786463 2 9 "GO:0005826;GO:0070938" "contractile ring" 0.0615384615384615
0 0.0199582202346801 4 5 "GO:0005828" "kinetochore microtubule" 0.354807692307692
0 0.278400271557642 2 7 "GO:0005834;GO:1905360" "heterotrimeric G-protein complex" 0.94
0 0.104437709318737 2 16 "GO:0005838;GO:0022624" "proteasome regulatory particle" 0.688038277511962
0 0.540683215510983 2 10 "GO:0005839" "proteasome core complex" 1
0 0.239437911750901 3 85 "GO:0005840;GO:0044391" "ribosome" 0.909219858156028
0 0.366563998455062 3 12 "GO:0005844" "polysome" 0.955539358600583
0 0.032488807285138 2 6 "GO:0005845;GO:0034518" "mRNA cap binding complex" 0.436821705426357
0 0.279154863510862 2 7 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 0.937873754152824
