"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0879715007951497 4 25 "GO:0000139" "Golgi membrane" 1
0 0.233703291130266 2 17 "GO:0000228" "nuclear chromosome" 1
0 0.169977885364743 4 14 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 1
0 0.07652369790617 4 8 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.766348042040561 3 10 "GO:0000775;GO:0098687" "chromosomal region" 1
0 0.564555633662148 2 7 "GO:0000776" "kinetochore" 1
0 0.108083956115366 4 13 "GO:0000785" "chromatin" 1
0 0.0693752572175008 2 7 "GO:0000790" "nuclear chromatin" 1
0 0.184263014783561 4 6 "GO:0000922" "spindle pole" 1
0 0.108368981780011 2 7 "GO:0001726" "ruffle" 1
0 0.513859898418586 2 20 "GO:0005615" "extracellular space" 1
0 0.506114165034426 2 19 "GO:0005635;GO:0031965" "nuclear envelope" 1
0 0.66138931777364 2 5 "GO:0005643;GO:0046930" "nuclear pore" 1
0 0.246145678166415 2 18 "GO:0005667" "transcription factor complex" 1
0 0.066806870694802 2 16 "GO:0005681" "spliceosomal complex" 1
0 0.179276196039569 4 30 "GO:0005694;GO:0044427" "chromosome" 1
0 0.012393529922826 3 34 "GO:0005730" "nucleolus" 1
0 0.667367255621588 3 35 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.337988373833942 3 28 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.688794073086189 4 13 "GO:0005759" "mitochondrial matrix" 1
0 0.488697988866139 5 8 "GO:0005765;GO:0098852;GO:0005774;GO:0044437" "vacuolar part" 1
0 0.109069915949752 5 28 "GO:0005768" "endosome" 1
0 0.0967433458051631 2 14 "GO:0005769" "early endosome" 1
0 0.0570779786058606 2 10 "GO:0005770" "late endosome" 1
0 0.0269705223063231 3 6 "GO:0005777;GO:0042579" "microbody" 1
0 0.429597945826786 3 27 "GO:0005789;GO:0044432;GO:0042175" "endoplasmic reticulum part" 1
0 0.127162406422415 2 5 "GO:0005795;GO:0031985" "Golgi stack" 0.983333333333333
0 0.265729493883825 2 17 "GO:0005802;GO:0098791;GO:0031984" "organelle subcompartment" 1
0 0.644001071151505 4 14 "GO:0005811" "lipid droplet" 1
