"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.697622880640745 2 20 "GO:0000118" "histone deacetylase complex" 1
0 0.1266848599759 2 46 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.839130434782609
0 0.145171584992894 6 8 "GO:0000124" "SAGA complex" 0.849257425742574
0 0.417046417416722 2 7 "GO:0000127;GO:0090576" "RNA polymerase III transcription factor complex" 1
0 0.852462937703112 4 5 "GO:0000137" "Golgi cis cisterna" 1
0 0.148667787969704 2 5 "GO:0000138" "Golgi trans cisterna" 0.858128078817734
0 0.581932052810722 3 200 "GO:0000139" "Golgi membrane" 1
0 0.179906667399182 3 57 "GO:0000151" "ubiquitin ligase complex" 0.902242152466368
0 0.427736090294947 2 17 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0170152832762327 4 8 "GO:0000159" "protein phosphatase type 2A complex" 0.426865671641791
0 0.543166945285265 3 5 "GO:0000164" "protein phosphatase type 1 complex" 1
0 0.016039888363064 4 5 "GO:0000176" "nuclear exosome (RNase complex)" 0.422307692307692
0 0.0252300025070143 3 8 "GO:0000178;GO:1905354;GO:0000177" "exosome (RNase complex)" 0.513291139240506
0 0.0953856825393641 2 134 "GO:0000228" "nuclear chromosome" 0.791772151898734
0 0.0232039475560814 5 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" 0.490131578947368
0 0.552158151528939 6 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.0530886071130228 4 19 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.680172413793103
0 0.0306838101011328 5 8 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.563372093023256
0 0.256555274423196 4 12 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.943065693430657
0 0.222526060442496 2 5 "GO:0000346" "transcription export complex" 0.911627906976744
0 0.836866027728981 3 8 "GO:0000407;GO:0034045" "phagophore assembly site" 1
0 0.0623154882918711 4 7 "GO:0000421" "autophagosome membrane" 0.728455284552845
0 0.0903845017861845 5 58 "GO:0000428;GO:0030880;GO:0055029;GO:0016591" "DNA-directed RNA polymerase complex" 0.794078947368421
0 0.183517766790955 4 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.889347826086957
0 0.80935283695187 2 46 "GO:0000775" "chromosome, centromeric region" 1
0 0.744870112633292 3 31 "GO:0000776" "kinetochore" 1
0 0.983425922815724 2 24 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 1
0 0.748386286903059 2 17 "GO:0000781" "chromosome, telomeric region" 1
0 0.502582411517165 2 5 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.587445679022697 4 128 "GO:0000785" "chromatin" 1
0 0.437712388916757 2 70 "GO:0000790" "nuclear chromatin" 1
0 0.108406379334106 2 10 "GO:0000791" "euchromatin" 0.806176470588235
0 0.572837137423401 2 19 "GO:0000792" "heterochromatin" 1
0 0.982287469016791 4 70 "GO:0000793" "condensed chromosome" 1
0 0.712803153613743 3 33 "GO:0000794" "condensed nuclear chromosome" 1
0 0.887222381257577 3 8 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 0.3136860993036 4 16 "GO:0000803" "sex chromosome" 0.995918367346939
0 0.174924953732321 2 9 "GO:0000805" "X chromosome" 0.889414414414414
0 0.601110757882035 3 5 "GO:0000815" "ESCRT III complex" 1
0 0.752587474969948 2 40 "GO:0000922" "spindle pole" 1
0 0.874241268592134 4 6 "GO:0000930" "gamma-tubulin complex" 1
0 0.422181261919174 5 31 "GO:0000932" "P-body" 1
0 0.502249733349827 2 5 "GO:0000974" "Prp19 complex" 1
0 0.315621079159438 3 29 "GO:0001669" "acrosomal vesicle" 0.992736486486487
0 0.339127825986173 2 5 "GO:0001673" "male germ cell nucleus" 1
0 0.813363672282165 2 5 "GO:0001674" "female germ cell nucleus" 1
0 0.205496449676904 2 23 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.897177419354839
0 0.532683944993629 4 56 "GO:0001726" "ruffle" 1
0 0.0392074428157912 2 17 "GO:0001750" "photoreceptor outer segment" 0.613917525773196
0 0.0991068253125515 2 7 "GO:0001891" "phagocytic cup" 0.794135802469136
0 0.286612889760521 2 14 "GO:0001917" "photoreceptor inner segment" 0.974647887323944
0 0.719210010729161 5 6 "GO:0002080" "acrosomal membrane" 1
0 0.0274274968496578 1 407 "GO:0005576" "extracellular region" 0.541975308641975
0 0.52484934115088 2 15 "GO:0005581" "collagen trimer" 1
0 0.474468703867494 3 5 "GO:0005593;GO:0030934" "anchoring collagen complex" 1
0 0.273062585359285 2 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.955516014234875
0 0.154518767490154 2 169 "GO:0005615" "extracellular space" 0.872087378640777
0 0.241959728027659 2 149 "GO:0005635" "nuclear envelope" 0.934082397003745
0 0.136499461437002 4 9 "GO:0005637" "nuclear inner membrane" 0.856544502617801
0 0.701008657530781 2 5 "GO:0005641" "nuclear envelope lumen" 1
0 0.0705713280976813 2 31 "GO:0005643;GO:0046930" "pore complex" 0.730514705882353
0 0.0416991289522062 2 9 "GO:0005652" "nuclear lamina" 0.633
0 0.59603752008242 2 21 "GO:0005657" "replication fork" 1
0 0.150492562501935 2 9 "GO:0005665" "RNA polymerase II, core complex" 0.861274509803922
0 0.000154670233958968 2 5 "GO:0005666" "RNA polymerase III complex" 0.0157894736842105
0 0.0523506997138505 2 115 "GO:0005667" "transcription factor complex" 0.69070796460177
0 0.202387617146665 2 9 "GO:0005669" "transcription factor TFIID complex" 0.893292682926829
0 0.233245906486373 2 9 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.930651340996169
0 0.848733239236686 2 6 "GO:0005675" "transcription factor TFIIH holo complex" 1
0 0.78512522574552 4 5 "GO:0005680" "anaphase-promoting complex" 1
0 0.777058541334607 2 121 "GO:0005681" "spliceosomal complex" 1
0 0.508678928422386 3 7 "GO:0005682" "U5 snRNP" 1
0 0.00789277195062999 2 9 "GO:0005686" "U2 snRNP" 0.315217391304348
0 0.0357457119615634 2 9 "GO:0005689" "U12-type spliceosomal complex" 0.607142857142857
0 0.773729638026098 2 292 "GO:0005694;GO:0044427" "chromosome" 1
0 0.628634168572253 4 59 "GO:0005700" "polytene chromosome" 1
0 0.269843484665925 2 17 "GO:0005703" "polytene chromosome puff" 0.9525
0 0.194754274330343 5 14 "GO:0005705" "polytene chromosome interband" 0.898949579831933
0 0.141465226795518 3 6 "GO:0005719" "nuclear euchromatin" 0.844472361809045
0 0.298563291475587 2 9 "GO:0005720" "nuclear heterochromatin" 0.990940766550523
0 0.394207390686958 3 305 "GO:0005730" "nucleolus" 1
0 0.104387651116417 3 9 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.795833333333333
0 0.000158388290364598 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.015
0 0.160504527238504 3 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.868075117370892
0 1.18631189190187e-05 2 166 "GO:0005743;GO:0019866" "organelle inner membrane" 0.00454545454545455
0 5.31811994214707e-05 4 27 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 0.00625
0 3.2868815387909e-05 3 16 "GO:0005747;GO:0045271;GO:0030964" "NADH dehydrogenase complex" 0.00357142857142857
0 0.0271200053424872 3 9 "GO:0005753;GO:0045259" "proton-transporting ATP synthase complex" 0.544375
0 0.000154433560622851 2 12 "GO:0005758" "mitochondrial intermembrane space" 0.0166666666666667
0 0.000245443823615909 3 129 "GO:0005759" "mitochondrial matrix" 0.0214285714285714
0 0.00434859851168842 3 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.264516129032258
0 0.173276688889198 2 253 "GO:0005768" "endosome" 0.889772727272727
0 0.159998465359564 2 98 "GO:0005769" "early endosome" 0.870047169811321
0 0.155176830749353 3 81 "GO:0005770" "late endosome" 0.871739130434783
0 0.437904664687311 6 12 "GO:0005771" "multivesicular body" 1
0 0.0137962865978243 2 193 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 0.425
0 0.0539563718779185 4 42 "GO:0005775;GO:0043202" "lysosomal lumen" 0.682051282051282
0 0.461967211787387 4 18 "GO:0005776" "autophagosome" 1
0 0.199624244399033 3 63 "GO:0005777;GO:0042579" "microbody" 0.895679012345679
0 0.530696868376819 5 24 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 0.182395560155588 5 7 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.8882096069869
0 0.249161936827849 4 15 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.938703703703704
