"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0574996509776034 2 20 "GO:0000118" "histone deacetylase complex" 0.9375
0 0.589583373664509 2 200 "GO:0000139" "Golgi membrane" 1
0 0.608698081415593 2 57 "GO:0000151" "ubiquitin ligase complex" 1
0 0.770291761728893 2 17 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0435270845585342 2 5 "GO:0000164" "protein phosphatase type 1 complex" 0.865972222222222
0 0.109421054960952 3 134 "GO:0000228" "nuclear chromosome" 1
0 0.666542080504795 2 12 "GO:0000242" "pericentriolar material" 1
0 0.809839722042388 2 19 "GO:0000313;GO:0005761" "organellar ribosome" 1
0 0.667407996458241 3 12 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 1
0 0.029935137944994 2 8 "GO:0000407;GO:0034045" "phagophore assembly site" 0.863725490196078
0 0.498174674665032 2 58 "GO:0000428;GO:0030880;GO:0055029;GO:0016591" "DNA-directed RNA polymerase complex" 1
0 0.354955971795809 2 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.66226391270426 2 46 "GO:0000775" "chromosome, centromeric region" 1
0 0.57166147873338 3 31 "GO:0000776" "kinetochore" 1
0 0.482996600946422 2 24 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 1
0 0.622982356385073 5 17 "GO:0000781" "chromosome, telomeric region" 1
0 0.220647841855245 2 128 "GO:0000785" "chromatin" 1
0 0.149311570586696 2 70 "GO:0000790" "nuclear chromatin" 1
0 0.171433785630208 4 10 "GO:0000791" "euchromatin" 1
0 0.80089421822309 4 19 "GO:0000792" "heterochromatin" 1
0 0.130346420376139 2 70 "GO:0000793" "condensed chromosome" 1
0 0.0938664339135165 4 33 "GO:0000794" "condensed nuclear chromosome" 0.984615384615385
0 0.293386892172211 4 40 "GO:0000922" "spindle pole" 1
0 0.0433887448438304 3 31 "GO:0000932" "P-body" 0.877464788732394
0 0.161586313778483 2 5 "GO:0000974" "Prp19 complex" 1
0 0.0573577721239784 4 29 "GO:0001669" "acrosomal vesicle" 0.946987951807229
0 0.30204200336951 2 23 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 1
0 0.136076783861902 3 56 "GO:0001726" "ruffle" 1
0 0.147565864171167 2 17 "GO:0001750" "photoreceptor outer segment" 1
0 0.467262362432176 2 7 "GO:0001891" "phagocytic cup" 1
0 0.00523793298044962 2 14 "GO:0001917" "photoreceptor inner segment" 0.345833333333333
0 0.350468164441683 2 6 "GO:0002080" "acrosomal membrane" 1
0 0.068795622165593 1 407 "GO:0005576" "extracellular region" 0.960526315789474
0 0.0747262239099663 2 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.972
0 0.0433320079339366 2 169 "GO:0005615" "extracellular space" 0.889285714285714
0 0.205919746204818 2 149 "GO:0005635" "nuclear envelope" 1
0 0.014992218875575 2 5 "GO:0005641" "nuclear envelope lumen" 0.57625
0 0.379273735857066 2 31 "GO:0005643;GO:0046930" "pore complex" 1
0 0.453997727901478 2 9 "GO:0005652" "nuclear lamina" 1
0 0.542693294756134 3 9 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.00577279503104276 2 115 "GO:0005667" "transcription factor complex" 0.359615384615385
0 0.0606389559117296 3 9 "GO:0005669" "transcription factor TFIID complex" 0.935227272727273
0 0.129054925163079 2 121 "GO:0005681" "spliceosomal complex" 1
0 0.175298060897935 2 9 "GO:0005686" "U2 snRNP" 1
0 0.175298060897935 5 9 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.159616491901628 2 292 "GO:0005694;GO:0044427" "chromosome" 1
0 0.211091999826681 3 59 "GO:0005700" "polytene chromosome" 1
0 0.744691717124461 5 17 "GO:0005703" "polytene chromosome puff" 1
0 0.0390191515306912 2 14 "GO:0005705" "polytene chromosome interband" 0.884920634920635
0 0.100239634045493 3 6 "GO:0005719" "nuclear euchromatin" 0.986065573770492
0 0.0244628765892409 2 305 "GO:0005730" "nucleolus" 0.761702127659574
0 0.560012920874411 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.204448530153644 2 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.72030591986746 2 166 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.486944458896694 2 27 "GO:0005746;GO:0070469;GO:0098803" "mitochondrial respirasome" 1
0 0.934576886662691 2 129 "GO:0005759" "mitochondrial matrix" 1
0 0.241845538673875 2 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 0.00191177122869757 2 253 "GO:0005768" "endosome" 0.1475
0 0.0712578344970931 5 98 "GO:0005769" "early endosome" 0.965463917525773
0 0.407640438625859 5 81 "GO:0005770" "late endosome" 1
0 0.198690290771944 2 12 "GO:0005771" "multivesicular body" 1
0 0.131144218375531 2 193 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 1
0 0.153348188933794 4 42 "GO:0005775;GO:0043202" "lysosomal lumen" 1
0 0.0451671072985228 2 18 "GO:0005776" "autophagosome" 0.875342465753425
0 0.00673935684103506 2 63 "GO:0005777;GO:0042579" "peroxisome" 0.358333333333333
0 0.231691033488276 4 24 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 0.45379442272156 5 7 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 1
0 0.00666699518473697 5 15 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.367241379310345
0 0.746346405145824 3 67 "GO:0005788" "endoplasmic reticulum lumen" 1
0 0.0504257708789657 2 27 "GO:0005791" "rough endoplasmic reticulum" 0.897435897435897
0 0.13485258830337 2 25 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 1
0 0.0741943960360714 2 418 "GO:0005794" "Golgi apparatus" 0.976262626262626
0 0.841956137425491 2 57 "GO:0005795" "Golgi stack" 1
0 0.661151098895791 3 13 "GO:0005796" "Golgi lumen" 1
0 0.582001371162575 2 54 "GO:0005798" "Golgi-associated vesicle" 1
0 0.402978055599622 3 30 "GO:0005801" "cis-Golgi network" 1
0 0.144455489095654 2 84 "GO:0005802" "trans-Golgi network" 1
0 0.00939200378514507 2 131 "GO:0005811" "lipid droplet" 0.459375
0 0.00511950541231056 2 205 "GO:0005813;GO:0005815" "microtubule organizing center" 0.352173913043478
0 0.195934187717841 2 109 "GO:0005819" "spindle" 1
0 0.200366133770312 3 9 "GO:0005826;GO:0070938" "contractile ring" 1
0 0.0848641411303196 7 5 "GO:0005828" "kinetochore microtubule" 1
0 0.0494139218965874 2 16 "GO:0005838;GO:0022624" "proteasome regulatory particle" 0.901973684210526
0 0.559139177457158 2 10 "GO:0005839" "proteasome core complex" 1
0 0.665299822564977 2 85 "GO:0005840;GO:0044391" "ribosome" 1
0 0.538692687947145 3 12 "GO:0005844" "polysome" 1
0 0.384007902018472 2 6 "GO:0005845;GO:0034518" "mRNA cap binding complex" 1
0 0.0481747559125823 3 10 "GO:0005858" "axonemal dynein complex" 0.896
0 0.112672440908997 3 8 "GO:0005868" "cytoplasmic dynein complex" 1
0 0.036754190525091 2 21 "GO:0005871" "kinesin complex" 0.918103448275862
0 0.0546372549092656 4 83 "GO:0005874" "microtubule" 0.919512195121951
0 0.00183417833820617 4 185 "GO:0005875" "microtubule associated complex" 0.15
0 0.203431126016678 2 31 "GO:0005876" "spindle microtubule" 1
0 0.26148620198027 2 19 "GO:0005881" "cytoplasmic microtubule" 1
0 0.0433173193081861 2 8 "GO:0005882" "intermediate filament" 0.9
0 0.845693650235148 2 25 "GO:0005884" "actin filament" 1
0 0.520393382016285 4 8 "GO:0005885" "Arp2/3 protein complex" 1
0 0.000439799662818024 4 305 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.0653846153846154
0 0.0388791812107583 3 34 "GO:0005901;GO:0044853" "caveola" 0.898387096774194
0 0.421647549227287 4 35 "GO:0005902" "microvillus" 1
0 0.0239736271367937 2 34 "GO:0005903" "brush border" 0.776666666666667
0 0.126498372573892 2 40 "GO:0005905" "clathrin-coated pit" 1
0 0.335986429051554 2 104 "GO:0005911" "cell-cell junction" 1
0 0.0888206838701153 3 27 "GO:0005913" "cell-cell adherens junction" 0.976548672566372
0 0.0633096950290754 4 10 "GO:0005915" "zonula adherens" 0.942857142857143
0 0.384304351627373 2 19 "GO:0005918" "septate junction" 1
0 0.275319235148048 4 20 "GO:0005923" "bicellular tight junction" 1
0 0.00530573906202727 3 47 "GO:0005924;GO:0030055;GO:0005925" "cell-substrate junction" 0.334
0 1.97213520688044e-08 3 172 "GO:0005929" "cilium" 0
0 6.60052568219553e-08 2 50 "GO:0005930" "axoneme" 0
0 0.0453117909687973 3 132 "GO:0005938" "cell cortex" 0.867567567567568
0 0.0594110001158046 2 5 "GO:0005952" "cAMP-dependent protein kinase complex" 0.929310344827586
0 0.472364660281576 2 62 "GO:0008021;GO:0070382" "exocytic vesicle" 1
0 0.319699998760546 3 13 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 1
0 0.0299507699049468 2 7 "GO:0008278" "cohesin complex" 0.831132075471698
0 0.0934535394531887 3 19 "GO:0008287;GO:1903293" "phosphatase complex" 0.988793103448276
0 0.349026105154754 1 20 "GO:0009295;GO:0042645" "nucleoid" 1
0 0.0397552163813696 3 16 "GO:0009507;GO:0009536;GO:0044435;GO:0044434" "chloroplast" 0.875384615384615
0 0.196652121387265 3 5 "GO:0009526;GO:0009941" "chloroplast envelope" 1
0 9.33752737999094e-05 2 44 "GO:0009897" "external side of plasma membrane" 0.015
0 0.00260369084766092 2 51 "GO:0009898;GO:0098562" "cytoplasmic side of membrane" 0.195238095238095
0 0.000140817560819542 2 133 "GO:0009986" "cell surface" 0.0272727272727273
0 0.251319625635511 4 129 "GO:0010008;GO:0044440" "endosome membrane" 1
0 0.0108019559104275 4 18 "GO:0010494" "cytoplasmic stress granule" 0.497058823529412
0 0.591400304855138 2 151 "GO:0012506;GO:0030659" "vesicle membrane" 1
0 0.0880481293434565 4 10 "GO:0012507;GO:0030134" "COPII-coated ER to Golgi transport vesicle" 0.985135135135135
0 0.265247427341054 2 54 "GO:0014069;GO:0099572" "postsynaptic density" 1
0 0.297310126717102 4 15 "GO:0014704;GO:0044291" "intercalated disc" 1
0 0.944586088724746 2 120 "GO:0015629" "actin cytoskeleton" 1
0 0.938565842998026 2 47 "GO:0015934" "large ribosomal subunit" 1
0 0.13966945238046 2 5 "GO:0016006" "Nebenkern" 1
0 0.096067168245725 2 12 "GO:0016028" "rhabdomere" 0.980672268907563
0 0.0068970254979682 2 22 "GO:0016234" "inclusion body" 0.354838709677419
0 0.0343267914954048 3 10 "GO:0016235" "aggresome" 0.910909090909091
0 0.00119354910531426 2 5 "GO:0016281" "eukaryotic translation initiation factor 4F complex" 0.14375
0 0.357993089455854 3 90 "GO:0016323" "basolateral plasma membrane" 1
0 0.121013877430408 3 127 "GO:0016324" "apical plasma membrane" 1
0 0.0815993257297459 2 17 "GO:0016327" "apicolateral plasma membrane" 0.990476190476191
0 0.472012114598074 3 29 "GO:0016328" "lateral plasma membrane" 1
0 0.24093523500573 2 48 "GO:0016363;GO:0034399" "nuclear periphery" 1
0 0.0372425717384674 3 5 "GO:0016442;GO:0031332" "RNAi effector complex" 0.917796610169492
0 0.810420927325599 3 22 "GO:0016459" "myosin complex" 1
0 0.639421312641035 2 12 "GO:0016461" "unconventional myosin complex" 1
0 0.577536543640535 2 17 "GO:0016469" "proton-transporting two-sector ATPase complex" 1
0 0.390760964138685 2 8 "GO:0016471;GO:0033176" "proton-transporting V-type ATPase complex" 1
0 0.372782064613789 2 7 "GO:0016514;GO:0035060;GO:0071564;GO:0071565" "brahma complex" 1
0 0.472574063790833 2 29 "GO:0016528;GO:0016529" "sarcoplasm" 1
0 0.0909119608748556 2 8 "GO:0016580" "Sin3 complex" 0.983333333333333
0 0.0299507699049468 4 7 "GO:0016581;GO:0090545" "NuRD complex" 0.831132075471698
0 0.479075240196099 2 15 "GO:0016592" "mediator complex" 1
0 0.106493562519288 2 116 "GO:0016604" "nuclear body" 1
0 0.0811858813625603 3 22 "GO:0016605" "PML body" 0.996153846153846
0 0.371046212702243 6 72 "GO:0016607" "nuclear speck" 1
0 0.157509159123335 2 27 "GO:0017053" "transcriptional repressor complex" 1
0 0.139340346577245 4 8 "GO:0017090;GO:0060473" "cortical granule" 1
0 0.380802488595816 3 5 "GO:0017119" "Golgi transport complex" 1
0 0.132547546653225 3 33 "GO:0019897" "extrinsic component of plasma membrane" 1
0 0.305597274148803 2 47 "GO:0019898" "extrinsic component of membrane" 1
0 0.0854966625815064 4 108 "GO:0030016;GO:0043292;GO:0044449;GO:0030017" "contractile fiber" 0.994907407407407
0 0.0577703245332681 3 59 "GO:0030027" "lamellipodium" 0.928823529411765
0 0.145109347388318 1 175 "GO:0030054" "cell junction" 1
0 0.151348567961229 2 5 "GO:0030056" "hemidesmosome" 1
0 0.380157421293283 5 7 "GO:0030061" "mitochondrial crista" 1
0 0.301646811977485 2 120 "GO:0030133" "transport vesicle" 1
0 0.229919306600819 2 112 "GO:0030135;GO:0030136" "coated vesicle" 1
0 0.124466795544795 2 87 "GO:0030139" "endocytic vesicle" 1
0 0.753164103870353 2 19 "GO:0030140" "trans-Golgi network transport vesicle" 1
0 0.0546265575430393 2 103 "GO:0030141" "secretory granule" 0.930864197530864
0 0.0374544770893531 4 35 "GO:0030175" "filopodium" 0.891803278688525
0 0.472013290737885 4 27 "GO:0030176;GO:0031227" "integral component of endoplasmic reticulum membrane" 1
