"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00743152349466909 2 46 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.83
0 0.0185423886278469 2 8 "GO:0000124" "SAGA complex" 0.933333333333333
0 0.328553281679558 2 200 "GO:0000139" "Golgi membrane" 1
0 0.033939076679352 2 57 "GO:0000151" "ubiquitin ligase complex" 0.903846153846154
0 0.00186643313396894 4 17 "GO:0000152" "nuclear ubiquitin ligase complex" 0.925
0 0.00657086450958122 4 5 "GO:0000164" "protein phosphatase type 1 complex" 0.844444444444444
0 0.0477210754407977 3 8 "GO:0000178;GO:1905354;GO:0000177" "exosome (RNase complex)" 0.916666666666667
0 0.00802458368712063 3 134 "GO:0000228" "nuclear chromosome" 0.8
0 0.0279025577520942 2 13 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.866176470588235
0 0.429981773629849 4 19 "GO:0000313;GO:0005761" "mitochondrial ribosome" 1
0 0.300105154540118 5 12 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 0.0862289769647762 5 58 "GO:0000428;GO:0030880;GO:0055029;GO:0016591" "DNA-directed RNA polymerase complex" 0.917469879518072
0 0.00416758075458936 2 40 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 1
0 0.0355442977856327 2 128 "GO:0000785" "chromatin" 0.91625
0 0.00619387622245642 2 70 "GO:0000790" "nuclear chromatin" 0.88125
0 0.0254510199303661 5 10 "GO:0000791" "euchromatin" 0.853125
0 0.0753517280171726 3 19 "GO:0000792" "heterochromatin" 0.929054054054054
0 0.0662000160062894 2 16 "GO:0000803" "sex chromosome" 0.924242424242424
0 0.595483657604798 3 40 "GO:0000922" "spindle pole" 1
0 0.135002166171993 6 29 "GO:0001669" "acrosomal vesicle" 1
0 0.644148637888306 1 407 "GO:0005576" "extracellular region" 1
0 0.050006296691395 2 15 "GO:0005581" "collagen trimer" 0.934615384615385
0 0.136671343453056 3 5 "GO:0005593;GO:0030934" "FACIT collagen trimer" 1
0 0.118120087394627 4 43 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.86461107424101 2 169 "GO:0005615" "extracellular space" 0.992978723404255
0 0.560475366752957 2 149 "GO:0005635" "nuclear envelope" 1
0 0.559473876631671 4 31 "GO:0005643;GO:0046930" "pore complex" 1
0 0.511765877913529 2 115 "GO:0005667" "transcription factor complex" 1
0 0.151403389220466 2 9 "GO:0005669" "transcription factor TFIID complex" 1
0 0.0136629667332263 2 9 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 1
0 0.00224818129647286 2 5 "GO:0005680" "anaphase-promoting complex" 0.816666666666667
0 0.812228956125923 3 121 "GO:0005681" "spliceosomal complex" 0.997629310344827
0 0.00447100764310426 4 292 "GO:0005694;GO:0044427" "chromosome" 0.785714285714286
0 0.0470126445255602 2 59 "GO:0005700" "polytene chromosome" 0.945918367346939
0 0.0162051814201283 2 6 "GO:0005719" "nuclear euchromatin" 1
0 0.0412169498333585 2 9 "GO:0005720" "nuclear heterochromatin" 0.934444444444444
0 0.0238265136568065 4 305 "GO:0005730" "nucleolus" 0.870689655172414
0 0.18735318660818 2 9 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 0.306577832074358 2 222 "GO:0005740;GO:0031966" "mitochondrial envelope" 1
0 0.782603313845919 3 59 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 0.270543479382228 4 166 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.582999260358265 3 129 "GO:0005759" "mitochondrial matrix" 1
0 0.0556449283798293 6 72 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.936842105263158
0 0.0373052493178627 2 253 "GO:0005768" "endosome" 0.936585365853658
0 0.0230411405095321 2 98 "GO:0005769" "early endosome" 0.907407407407407
0 0.0586391049458967 3 81 "GO:0005770" "late endosome" 0.950862068965517
0 0.0244911116610645 2 12 "GO:0005771" "multivesicular body" 0.871666666666667
0 0.0192786508898508 2 193 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 0.931818181818182
0 0.0194983703113329 4 42 "GO:0005775;GO:0043202" "vacuolar lumen" 0.866666666666667
0 0.130293676765077 4 63 "GO:0005777;GO:0042579" "microbody" 1
