"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.871310490228205 3 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.973946360153257
0 0.0622486578001891 2 46 "GO:0000287" "magnesium ion binding" 1
0 0.27537923880576 2 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 1
0 0.441933313304498 2 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.261812488815479 2 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 1
0 0.439603564730769 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 0.456985137233651 2 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 1
0 0.341387853456077 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.262266081638687 -1 9 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.119032129925303 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.15204841972914 3 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 0.00880284812566477 2 6 "GO:0001530" "lipopolysaccharide binding" 0.990909090909091
0 0.0167039397605539 2 5 "GO:0001786" "phosphatidylserine binding" 1
0 0.922515272369544 3 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 0.968441064638783
0 0.925007653167335 4 322 "GO:0003677" "DNA binding" 0.964772727272727
0 0.359030402479855 2 123 "GO:0003682" "chromatin binding" 1
0 0.608847669704867 5 97 "GO:0003690" "double-stranded DNA binding" 1
0 0.380289873109134 2 23 "GO:0003697" "single-stranded DNA binding" 1
0 0.874198693659055 2 191 "GO:0003700" "DNA-binding transcription factor activity" 0.970229007633588
0 0.0390973247122902 2 58 "GO:0003714" "transcription corepressor activity" 1
0 0.40293385461034 2 272 "GO:0003723" "RNA binding" 1
0 0.536598047472878 5 38 "GO:0003727" "single-stranded RNA binding" 0.997033898305085
0 0.550702645447728 5 118 "GO:0003729" "mRNA binding" 0.99789029535865
0 0.169481496063782 2 24 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.223311319004952 2 73 "GO:0003735" "structural constituent of ribosome" 1
0 0.0504194159640064 2 26 "GO:0003743" "translation initiation factor activity" 1
0 0.0517793571729254 3 12 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.278686429661241 4 93 "GO:0003779" "actin binding" 1
0 0.00590095129180759 2 9 "GO:0003823" "antigen binding" 0.644444444444444
0 0.0655780192368016 2 13 "GO:0003943;GO:0008484" "sulfuric ester hydrolase activity" 1
0 0.0663725927064226 4 14 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase (ubiquinone) activity" 1
0 0.0288363201918134 2 5 "GO:0004065" "arylsulfatase activity" 1
0 0.20340261534658 3 123 "GO:0004175" "endopeptidase activity" 1
0 0.130916409113891 6 21 "GO:0004177" "aminopeptidase activity" 1
0 0.116861147410632 4 20 "GO:0004180" "carboxypeptidase activity" 1
0 0.0849546112462345 2 13 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.0781484272862004 2 27 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.258772221839857 2 39 "GO:0004222" "metalloendopeptidase activity" 1
0 0.186738783271058 2 39 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.183357326589658 3 6 "GO:0004364" "glutathione transferase activity" 1
0 0.235322960110753 2 52 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 1
0 0.0447635591373244 3 11 "GO:0004407;GO:0033558" "protein deacetylase activity" 1
0 0.168147123590894 2 7 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 1
0 0.17490509962289 2 22 "GO:0004497" "monooxygenase activity" 1
0 0.00569608020124617 4 43 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.70625
0 0.0238140175836321 3 9 "GO:0004558;GO:0090599;GO:0015926" "alpha-glucosidase activity" 1
0 0.0194124277413126 3 15 "GO:0004601;GO:0016684" "peroxidase activity" 1
0 0.0125471054301298 2 8 "GO:0004602" "glutathione peroxidase activity" 1
0 0.172036480553347 2 10 "GO:0004622" "lysophospholipase activity" 1
0 0.199727260188494 3 12 "GO:0004623" "phospholipase A2 activity" 1
0 0.153219895770652 4 5 "GO:0004659" "prenyltransferase activity" 1
0 0.468721745297802 2 242 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 0.451805370677886 3 141 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.193342535438129 -1 29 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 1
0 0.652034853101558 2 54 "GO:0004721" "phosphoprotein phosphatase activity" 0.997764227642276
0 0.38874353456491 2 20 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 0.0795725219714862 2 5 "GO:0004771;GO:0047619" "sterol esterase activity" 1
0 0.120989666476779 2 8 "GO:0004806" "triglyceride lipase activity" 1
0 0.0307993486690793 3 7 "GO:0004835" "tubulin-tyrosine ligase activity" 1
0 0.41246020536242 4 131 "GO:0004842;GO:0019787;GO:0016879;GO:0016881" "ligase activity, forming carbon-nitrogen bonds" 1
0 0.615681822852112 -1 240 "GO:0004871;GO:0060089" "molecular transducer activity" 0.998353909465021
0 0.171698913861398 3 6 "GO:0004879;GO:0098531" "nuclear receptor activity" 1
