"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00210007994562958 2 11 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.45
0 0.298295191256935 3 16 "GO:0000149" "SNARE binding" 0.944127516778524
0 0.220673177290888 3 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.967755102040816
0 0.405888262149863 2 7 "GO:0000217" "DNA secondary structure binding" 0.97741935483871
0 0.570270606176082 3 46 "GO:0000287" "magnesium ion binding" 0.979596977329975
0 0.485678301825812 2 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.97072192513369
0 0.695044975447352 2 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.96924882629108
0 0.722167686510624 2 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 0.962817551963048
0 0.000887552520879747 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.825
0 0.0465376133404708 7 5 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.0834707094533118 6 12 "GO:0001047" "core promoter binding" 1
0 0.725497963783678 2 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 0.962096774193548
0 0.0162363544313833 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.7125
0 0.0503287690999763 2 16 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 0.147760595536371 -1 9 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.969948186528497
0 0.0481500341839156 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.1040817573903 3 20 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 0.189816987102293 2 9 "GO:0001653;GO:0008528" "peptide receptor activity" 0.966741071428571
0 0.585036305846903 4 26 "GO:0001664" "G protein-coupled receptor binding" 0.982957393483709
0 0.0888198990223395 5 6 "GO:0001727" "lipid kinase activity" 1
0 0.364341940455027 3 5 "GO:0001786" "phosphatidylserine binding" 0.970679012345679
0 0.215038323892642 3 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 0.965495867768595
0 0.263071324451979 3 11 "GO:0002039" "p53 binding" 0.953442028985507
0 0.416478900171454 2 322 "GO:0003677" "DNA binding" 0.973631123919308
0 0.803648543433767 2 19 "GO:0003678" "DNA helicase activity" 0.963800904977376
0 0.00582297164017814 2 123 "GO:0003682" "chromatin binding" 0.603125
0 0.180488331750086 2 8 "GO:0003684" "damaged DNA binding" 0.960091743119266
0 0.0594413812612501 2 5 "GO:0003688" "DNA replication origin binding" 0.991578947368421
0 0.145865884868133 2 97 "GO:0003690" "double-stranded DNA binding" 0.9671875
0 0.230599678844167 2 23 "GO:0003697" "single-stranded DNA binding" 0.965277777777778
0 0.152751422475465 2 191 "GO:0003700" "DNA-binding transcription factor activity" 0.955778894472362
0 0.00958971640537708 2 99 "GO:0003713" "transcription coactivator activity" 0.722727272727273
0 0.00695352317607153 3 58 "GO:0003714" "transcription corepressor activity" 0.595
0 0.00236531725535572 2 272 "GO:0003723" "RNA binding" 0.43125
0 0.102059914165593 2 20 "GO:0003725" "double-stranded RNA binding" 1
0 0.0239490805253709 2 38 "GO:0003727" "single-stranded RNA binding" 0.878409090909091
0 0.0310798256898285 2 118 "GO:0003729" "mRNA binding" 0.979807692307692
0 0.196927607792904 6 24 "GO:0003730" "mRNA 3'-UTR binding" 0.967685589519651
0 0.685450550840258 2 73 "GO:0003735" "structural constituent of ribosome" 0.973640661938534
0 0.121009401044635 2 26 "GO:0003743" "translation initiation factor activity" 0.995454545454545
0 0.079243631946834 2 9 "GO:0003746" "translation elongation factor activity" 1
0 0.265145226564198 2 12 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.941637010676157
0 0.849320251788685 2 59 "GO:0003774" "motor activity" 0.967004504504505
0 0.557187022245584 3 36 "GO:0003777" "microtubule motor activity" 0.983035714285714
0 0.354117137044485 4 93 "GO:0003779" "actin binding" 0.972712933753943
0 0.139124006112184 2 9 "GO:0003823" "antigen binding" 0.951587301587302
0 0.118833975959692 3 8 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.994171779141104
0 0.261893831463705 4 20 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.954727272727273
0 0.217884634247709 2 83 "GO:0003924" "GTPase activity" 0.969341563786008
0 0.69561125138316 2 14 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase activity" 0.966978922716628
0 0.0175894378148032 6 5 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.705128205128205
0 0.28659419017374 6 7 "GO:0003993" "acid phosphatase activity" 0.94061433447099
0 0.0163237553581908 4 5 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.693243243243243
0 0.683494061643593 2 13 "GO:0004003" "ATP-dependent DNA helicase activity" 0.975592417061611
0 0.388628963620605 5 7 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.972089552238806
0 0.166738497786296 6 6 "GO:0004112;GO:0004114;GO:0004115" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.948578199052133
0 0.122038258189948 4 6 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 0.98452380952381
0 0.70646359340773 4 123 "GO:0004175" "endopeptidase activity" 0.96546511627907
0 0.0114176959135538 5 21 "GO:0004177" "aminopeptidase activity" 0.74
0 0.1550568381564 2 6 "GO:0004190" "aspartic-type endopeptidase activity" 0.95875
0 0.0909595800042057 2 27 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.291394501018875 -1 33 "GO:0004221;GO:0016790" "thiolester hydrolase activity" 0.94135593220339
0 0.616909373095868 2 39 "GO:0004222" "metalloendopeptidase activity" 0.968932038834951
0 0.377629461451574 2 39 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.96969696969697
0 0.318859522684828 2 6 "GO:0004364" "glutathione transferase activity" 0.952459016393443
0 0.411632003811379 2 52 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 0.980994152046784
0 0.0577369010773488 8 9 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 0.0795902041217228 2 11 "GO:0004407;GO:0033558" "protein deacetylase activity" 1
0 0.0863585883483119 3 7 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 1
0 0.443913061537547 4 7 "GO:0004467;GO:0015645" "long-chain fatty acid-CoA ligase activity" 0.980758426966292
0 0.244734412854645 2 22 "GO:0004497" "monooxygenase activity" 0.955513307984791
0 0.115956844145121 3 35 "GO:0004518" "nuclease activity" 1
0 0.0810952137424528 2 15 "GO:0004519" "endonuclease activity" 1
0 0.0835844483484321 2 7 "GO:0004520" "endodeoxyribonuclease activity" 1
0 0.77182021429158 2 20 "GO:0004527" "exonuclease activity" 0.961022727272727
0 0.0482447649658632 2 10 "GO:0004536" "deoxyribonuclease activity" 1
0 0.116044773023652 2 43 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.0853831783914045 4 9 "GO:0004558;GO:0090599;GO:0015926" "glucosidase activity" 1
