"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00750900233189388 2 9 "GO:0000049" "tRNA binding" 0.383695652173913
0 0.191529442895105 4 11 "GO:0000062;GO:1901567" "fatty acid derivative binding" 0.99182156133829
0 0.0108822086249253 7 15 "GO:0000146" "microfilament motor activity" 0.411475409836066
0 0.133272596720487 2 16 "GO:0000149" "SNARE binding" 0.926535087719298
0 0.0258231430385595 3 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.559375
0 0.22270862641344 3 6 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.05242848624618 2 7 "GO:0000217" "DNA secondary structure binding" 0.679054054054054
0 0.879872751022574 2 46 "GO:0000287" "magnesium ion binding" 1
0 0.0105711555387013 4 8 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 0.422413793103448
0 0.583508569393666 2 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 1
0 0.078895436937264 2 8 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.770165745856354
0 0.110223320338566 3 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.882766990291262
0 0.81255411452877 2 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 1
0 0.197352562349924 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.995970695970696
0 0.0712868451425196 3 5 "GO:0001046" "core promoter sequence-specific DNA binding" 0.738857142857143
0 0.377637069287117 2 12 "GO:0001047" "core promoter binding" 1
0 0.638371781306822 3 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 1
0 0.530013856737306 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.272552557337651 2 16 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 0.40948723297889 4 7 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 1
0 0.212252009298397 4 11 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 1
0 0.472267768112004 -1 9 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 1
0 0.247420270856906 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.489311953159145 2 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 1
0 0.507122597011815 2 20 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 0.848441876018611 3 6 "GO:0001530" "lipopolysaccharide binding" 1
0 0.0197815517091823 3 5 "GO:0001540" "amyloid-beta binding" 0.539375
0 0.0994349963325193 3 26 "GO:0001664" "G protein-coupled receptor binding" 0.853807106598985
0 0.512745142350315 4 6 "GO:0001727" "lipid kinase activity" 1
0 0.67961883998206 2 8 "GO:0001784;GO:0045309" "protein phosphorylated amino acid binding" 1
0 0.0172620066760794 2 5 "GO:0001786" "phosphatidylserine binding" 0.51
0 0.00180307648278428 3 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 0.172
0 0.474267074313031 2 11 "GO:0002039" "p53 binding" 1
0 0.0925525938162616 2 5 "GO:0002151" "G-quadruplex RNA binding" 0.837566137566138
0 0.033057435453218 4 322 "GO:0003677" "DNA binding" 0.621028037383178
0 0.641597919658609 2 19 "GO:0003678" "DNA helicase activity" 1
0 0.19847947619071 2 123 "GO:0003682" "chromatin binding" 0.991636363636364
0 0.129481087598883 5 8 "GO:0003684" "damaged DNA binding" 0.929954954954955
0 0.158131936553305 2 5 "GO:0003688" "DNA replication origin binding" 0.966056910569106
0 0.128784406940738 2 97 "GO:0003690" "double-stranded DNA binding" 0.930316742081448
0 0.00788177128103371 5 23 "GO:0003697" "single-stranded DNA binding" 0.396808510638298
0 0.41922457902258 2 191 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.0961094376042875 3 99 "GO:0003713" "transcription coactivator activity" 0.840979381443299
0 0.228005655388486 3 58 "GO:0003714" "transcription corepressor activity" 1
0 0.0523065470077334 4 272 "GO:0003723" "RNA binding" 0.686986301369863
0 0.0463282793150367 2 20 "GO:0003725" "double-stranded RNA binding" 0.67037037037037
0 0.0070913935540594 2 38 "GO:0003727" "single-stranded RNA binding" 0.374444444444444
0 0.0130574184373616 2 118 "GO:0003729" "mRNA binding" 0.433088235294118
0 0.112757354758799 2 24 "GO:0003730" "mRNA 3'-UTR binding" 0.881428571428571
0 0.668751484831749 2 73 "GO:0003735" "structural constituent of ribosome" 1
0 0.81234285695732 5 26 "GO:0003743" "translation initiation factor activity" 1
0 0.338456592001269 3 9 "GO:0003746" "translation elongation factor activity" 1
0 0.0048752326209172 2 12 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.327027027027027
0 0.296094182144426 3 14 "GO:0003756;GO:0016864;GO:0016862" "intramolecular oxidoreductase activity, interconverting keto- and enol-groups" 1
0 2.06899249773552e-06 2 59 "GO:0003774" "motor activity" 0.0166666666666667
0 1.66664148241196e-05 3 36 "GO:0003777" "microtubule motor activity" 0.00833333333333333
0 9.98529069953576e-09 2 93 "GO:0003779" "actin binding" 0
0 0.561652604827968 2 9 "GO:0003823" "antigen binding" 1
0 0.043963164089663 4 8 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.664503816793893
0 0.658378577128381 5 20 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 0.155221574091276 4 83 "GO:0003924" "GTPase activity" 0.962295081967213
0 0.676378205180498 4 13 "GO:0003943;GO:0008484" "sulfuric ester hydrolase activity" 1
0 0.11331787179472 5 5 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.880568720379147
0 0.297780834332025 2 14 "GO:0003954;GO:0008137;GO:0050136" "NADH dehydrogenase activity" 1
0 0.0957396766051054 2 5 "GO:0003988" "acetyl-CoA C-acyltransferase activity" 0.848177083333333
0 0.544289221987906 2 7 "GO:0003993" "acid phosphatase activity" 1
0 0.825787704001133 3 13 "GO:0004003" "ATP-dependent DNA helicase activity" 1
0 0.043167777052251 2 5 "GO:0004016" "adenylate cyclase activity" 0.660077519379845
0 0.413318208606081 2 7 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 1
0 0.814818052132549 2 5 "GO:0004065" "arylsulfatase activity" 1
0 0.0262862221902406 5 6 "GO:0004112;GO:0004114;GO:0004115" "cyclic-nucleotide phosphodiesterase activity" 0.561340206185567
0 0.85709795853436 3 6 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors" 1
0 0.466952282646614 2 123 "GO:0004175" "endopeptidase activity" 1
0 0.579526358102502 2 21 "GO:0004177" "aminopeptidase activity" 1
0 0.478256302909171 5 20 "GO:0004180" "carboxypeptidase activity" 1
0 0.765652535065052 2 13 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.539901401057156 2 6 "GO:0004190" "aspartic-type endopeptidase activity" 1
0 0.0661351758875655 2 27 "GO:0004197" "cysteine-type endopeptidase activity" 0.717647058823529
0 0.00618080411001852 -1 33 "GO:0004221;GO:0016790" "thiolester hydrolase activity" 0.331395348837209
0 0.695452375052739 2 39 "GO:0004222" "metalloendopeptidase activity" 1
0 0.287805748651181 2 39 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.143057037297285 2 6 "GO:0004364" "glutathione transferase activity" 0.92928870292887
0 0.123699393519469 2 8 "GO:0004383" "guanylate cyclase activity" 0.93046511627907
0 0.0166059082744237 3 6 "GO:0004385;GO:0050145" "nucleoside monophosphate kinase activity" 0.502027027027027
0 0.0917133371584513 6 52 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 0.838502673796792
0 0.0643607855903056 2 9 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.718975903614458
0 0.133031087446035 2 11 "GO:0004407;GO:0033558" "protein deacetylase activity" 0.932964601769911
0 0.348462432332634 2 7 "GO:0004438;GO:0052744" "phosphatidylinositol monophosphate phosphatase activity" 1
0 0.83843156221353 5 7 "GO:0004467;GO:0015645" "fatty acid ligase activity" 1
0 0.0229102753140594 2 22 "GO:0004497" "monooxygenase activity" 0.555172413793103
0 0.155317440105583 3 35 "GO:0004518" "nuclease activity" 0.958775510204082
0 0.810042538679764 2 15 "GO:0004519" "endonuclease activity" 1
0 0.608484787235335 2 7 "GO:0004521" "endoribonuclease activity" 1
0 0.112439271522379 4 20 "GO:0004527" "exonuclease activity" 0.887980769230769
0 0.22886429981223 3 18 "GO:0004540" "ribonuclease activity" 1
0 0.236942914375577 3 43 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.0361397258883437 3 9 "GO:0004558;GO:0090599;GO:0015926" "alpha-1,4-glucosidase activity" 0.647297297297297
0 0.831439592119466 3 15 "GO:0004601;GO:0016684" "peroxidase activity" 1
0 0.714584384723903 2 8 "GO:0004602" "glutathione peroxidase activity" 1
0 0.780156315461877 2 10 "GO:0004622" "lysophospholipase activity" 1
0 0.12821458494443 2 5 "GO:0004629" "phospholipase C activity" 0.931818181818182
0 0.804905557583543 2 5 "GO:0004659" "prenyltransferase activity" 1
0 0.00105404283599831 2 242 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.121428571428571
0 0.00188727437997335 3 141 "GO:0004674" "protein serine/threonine kinase activity" 0.173076923076923
0 0.0410688908741042 2 12 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.667622950819672
0 0.160861027338487 3 12 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.965261044176707
0 0.165514724445824 2 5 "GO:0004697" "protein kinase C activity" 0.96240157480315
0 0.093490628311947 -1 29 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.839210526315789
0 0.541906131534867 2 8 "GO:0004707" "MAP kinase activity" 1
0 0.427396139386723 4 14 "GO:0004708;GO:0004712" "protein serine/threonine/tyrosine kinase activity" 1
0 0.451904991598064 2 7 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 0.12640086521892 2 47 "GO:0004713" "protein tyrosine kinase activity" 0.940277777777778
0 0.20638359669091 2 29 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 1
0 0.47683378068311 2 6 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 1
0 0.822747152948481 -1 7 "GO:0004716" "obsolete signal transducer, downstream of receptor, with protein tyrosine kinase activity" 1
0 0.211250374773252 2 54 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.153615813342118 5 23 "GO:0004722" "protein serine/threonine phosphatase activity" 0.963223140495868
0 0.0652272887254443 2 20 "GO:0004725" "protein tyrosine phosphatase activity" 0.718452380952381
