"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.538878889254001 3 34 "GO:0000166;GO:1901265;GO:0001882;GO:0001883;GO:0032550;GO:0035639;GO:0032549;GO:0032555;GO:0017076;GO:0032553" "nucleoside phosphate binding" 1
0 0.601180438282185 4 8 "GO:0000287" "magnesium ion binding" 1
0 0.519854510778002 3 16 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.706267963370416 2 12 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.274145694548601 4 6 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.15343325708133 3 14 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0247721948084566 -1 22 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 0.2897209459882 3 20 "GO:0001067;GO:0044212" "transcription regulatory region DNA binding" 1
0 0.132408293300533 -1 5 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.0672961613935834 2 16 "GO:0003682" "chromatin binding" 1
0 0.729972597217447 3 25 "GO:0003690;GO:0043565" "double-stranded DNA binding" 1
0 0.145412541437618 3 5 "GO:0003697" "single-stranded DNA binding" 1
0 0.134446991235656 2 28 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.0500620794175995 2 15 "GO:0003713" "transcription coactivator activity" 1
0 0.0678493403909643 3 7 "GO:0003714" "transcription corepressor activity" 1
0 0.128279926284908 2 6 "GO:0003724;GO:0004386;GO:0004004;GO:0008026;GO:0008186;GO:0070035" "helicase activity" 1
0 0.770446382034602 5 5 "GO:0003727" "single-stranded RNA binding" 1
0 0.490958428372179 3 18 "GO:0003729" "mRNA binding" 1
0 0.675828869510814 2 15 "GO:0003735" "structural constituent of ribosome" 1
0 0.0928110464450071 4 7 "GO:0003774;GO:0003777" "microtubule motor activity" 1
0 0.470550746098681 2 13 "GO:0003779" "actin binding" 1
0 0.788968659229413 3 12 "GO:0003924" "GTPase activity" 1
0 0.860843072746507 3 11 "GO:0004175" "endopeptidase activity" 0.976530612244898
0 0.475039374138369 3 5 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.104370074501529 2 33 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 0.295634655365924 4 19 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.57758419908314 3 6 "GO:0004713" "protein tyrosine kinase activity" 1
0 0.866422139237784 4 8 "GO:0004842;GO:0019787;GO:0016879;GO:0016881" "ligase activity, forming carbon-nitrogen bonds" 0.967676767676768
0 0.697631507223872 2 12 "GO:0004857" "enzyme inhibitor activity" 1
0 0.677782554343678 -1 22 "GO:0004871;GO:0060089" "molecular transducer activity" 1
0 0.855512430079549 3 7 "GO:0004888" "transmembrane signaling receptor activity" 0.984020618556701
0 0.64755802487292 2 8 "GO:0005096" "GTPase activator activity" 1
0 0.328894951606048 3 14 "GO:0005102" "signaling receptor binding" 1
0 0.247054804850142 1 25 "GO:0005198" "structural molecule activity" 1
0 0.00113356192557471 4 6 "GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261" "ion channel activity" 0.15
0 0.117236723657052 2 5 "GO:0005310" "dicarboxylic acid transmembrane transporter activity" 1
0 0.679919716889863 2 6 "GO:0005326" "neurotransmitter transporter activity" 1
0 0.32428270249416 2 9 "GO:0005342;GO:0046943;GO:0008514;GO:0015291" "organic anion transmembrane transporter activity" 1
0 0.834296079664847 5 9 "GO:0005509" "calcium ion binding" 1
0 0.624575018466897 3 21 "GO:0005524;GO:0032559;GO:0030554" "adenyl ribonucleotide binding" 1
0 0.355189535956616 4 10 "GO:0005525;GO:0032561;GO:0019001" "guanyl nucleotide binding" 1
0 0.21946997983134 2 8 "GO:0005539;GO:0008201;GO:1901681" "sulfur compound binding" 1
0 0.0836167682672771 2 13 "GO:0005543" "phospholipid binding" 1
0 0.109524615239908 2 14 "GO:0008017;GO:0015631" "tubulin binding" 1
0 0.560612705217036 3 14 "GO:0008047" "enzyme activator activity" 1
0 0.226393821365629 3 31 "GO:0008092" "cytoskeletal protein binding" 1
