"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0067284109029804 5 6 "GO:0000030" "mannosyltransferase activity" 0.4890625
0 0.290118774023449 2 9 "GO:0000049" "tRNA binding" 1
0 0.372683523460809 2 11 "GO:0000062;GO:1901567" "fatty acid derivative binding" 1
0 0.702321295942541 8 15 "GO:0000146" "microfilament motor activity" 1
0 0.351686203185742 3 16 "GO:0000149" "SNARE binding" 1
0 0.411066651216524 2 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 1
0 0.0635324711984561 2 6 "GO:0000175" "3'-5'-exoribonuclease activity" 0.903174603174603
0 0.405142431033028 2 7 "GO:0000217" "DNA secondary structure binding" 1
0 0.750682181270762 3 46 "GO:0000287" "magnesium ion binding" 1
0 0.608084968959532 4 8 "GO:0000900" "translation repressor activity, mRNA regulatory element binding" 1
0 0.000451496889858485 3 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.1125
0 0.0178088823875735 3 8 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.6175
0 0.000282719651980222 2 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0833333333333333
0 0.00123555926317323 2 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 0.257692307692308
0 0.0249722754237405 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.671621621621622
0 0.184133875961711 2 5 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.189934531910617 6 12 "GO:0001047" "core promoter binding" 1
0 0.00151190989633365 4 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 0.285714285714286
0 0.0523562692414656 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 0.843859649122807
0 0.399977854872486 4 16 "GO:0001085" "RNA polymerase II transcription factor binding" 1
0 0.141572155694568 3 7 "GO:0001099;GO:0001098" "basal transcription machinery binding" 0.996028037383178
0 0.00304418343402566 2 11 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.340909090909091
0 0.109846111938733 -1 9 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.969553072625698
0 0.364113178981677 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.0137654037785788 2 15 "GO:0001227" "DNA-binding transcription repressor activity, RNA polymerase II-specific" 0.605208333333333
0 0.0048817172743716 3 20 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.414285714285714
0 0.158971565116928 2 6 "GO:0001530" "lipopolysaccharide binding" 0.993290043290043
0 0.121559186428831 2 5 "GO:0001540" "amyloid-beta binding" 0.986458333333333
0 0.00678875569389619 2 9 "GO:0001653;GO:0008528" "peptide receptor activity" 0.478787878787879
0 0.0617537902329845 2 26 "GO:0001664" "G protein-coupled receptor binding" 0.904065040650406
0 0.295200283925727 3 6 "GO:0001727" "lipid kinase activity" 1
0 0.095043047494981 2 8 "GO:0001784;GO:0045309" "protein phosphorylated amino acid binding" 0.985126582278481
0 0.697057357171285 2 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "purine nucleotide binding" 1
0 0.133497590928643 3 11 "GO:0002039" "p53 binding" 0.981159420289855
0 0.0652142421730192 2 5 "GO:0002151" "G-quadruplex RNA binding" 0.908984375
0 0.162323125387628 3 322 "GO:0003677" "DNA binding" 1
0 0.0511117161760395 5 19 "GO:0003678" "DNA helicase activity" 0.842857142857143
0 0.259030031534375 2 123 "GO:0003682" "chromatin binding" 1
0 0.128756356505251 5 8 "GO:0003684" "damaged DNA binding" 0.989
0 0.135391023357517 2 5 "GO:0003688" "DNA replication origin binding" 0.972511848341232
0 0.0175376362442612 5 97 "GO:0003690" "double-stranded DNA binding" 0.623728813559322
0 0.252648848238594 5 23 "GO:0003697" "single-stranded DNA binding" 1
