"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.328360774620793 3 6 "GO:0000030" "mannosyltransferase activity" 1
0 0.609567037389249 2 11 "GO:0000062;GO:1901567" "fatty acid derivative binding" 1
0 0.332307494620759 2 15 "GO:0000146" "microfilament motor activity" 1
0 0.0549699894303411 2 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 0.928061224489796
0 0.0179590724382413 2 46 "GO:0000287" "magnesium ion binding" 0.576415094339623
0 0.0375991985136397 2 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.773456790123457
0 0.00890379855434795 2 8 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.4125
0 0.0578223542727671 2 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.902380952380952
0 0.216171557255229 4 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 1
0 0.0351215259681439 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 0.765131578947368
0 0.191809776525412 2 12 "GO:0001047" "core promoter binding" 1
0 0.11699188891035 3 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 0.969411764705882
0 0.280409831949377 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.0647585264485208 3 16 "GO:0001085" "RNA polymerase II transcription factor binding" 0.916666666666667
0 0.0144555536086045 4 11 "GO:0001158;GO:0035326" "enhancer sequence-specific DNA binding" 0.547777777777778
0 0.165851958422217 -1 9 "GO:0001190" "obsolete transcriptional activator activity, RNA polymerase II transcription factor binding" 0.996059113300493
0 0.178816880226567 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.143770908271709 3 20 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.96159793814433
0 0.408403119466806 2 6 "GO:0001530" "lipopolysaccharide binding" 1
0 0.00637414556073744 3 9 "GO:0001653;GO:0008528" "peptide receptor activity" 0.411111111111111
0 0.685962337155979 4 26 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.128521071546451 5 8 "GO:0001784;GO:0045309" "protein phosphorylated amino acid binding" 0.970391061452514
0 0.0144905372095633 3 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "ribonucleotide binding" 0.53804347826087
0 0.0160848012028548 4 322 "GO:0003677" "DNA binding" 0.557142857142857
0 0.00115903945353244 2 123 "GO:0003682" "chromatin binding" 0.186363636363636
0 0.0701397084558849 2 97 "GO:0003690" "double-stranded DNA binding" 0.928333333333333
0 0.000620704889509404 2 191 "GO:0003700" "DNA-binding transcription factor activity" 0.175
