"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.127060788990217 7 15 "GO:0000146" "microfilament motor activity" 1
0 0.321437560730157 2 16 "GO:0000149" "SNARE binding" 1
0 0.0434642027888609 3 371 "GO:0000166;GO:1901265;GO:0097367" "carbohydrate derivative binding" 1
0 0.0279741795689878 2 6 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.123122747820688 5 46 "GO:0000287" "magnesium ion binding" 1
0 0.119999937900592 4 55 "GO:0000976;GO:0000977;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 1
0 0.583125405531646 2 73 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0507855958344675 2 29 "GO:0000987;GO:0000978" "proximal promoter sequence-specific DNA binding" 1
0 0.113112798203646 -1 174 "GO:0000988;GO:0000989;GO:0003712" "obsolete transcription factor activity, protein binding" 1
0 0.210124202384695 2 101 "GO:0001067;GO:0044212" "regulatory region nucleic acid binding" 1
0 0.453230768006662 -1 40 "GO:0001076" "obsolete transcription factor activity, RNA polymerase II transcription factor binding" 1
0 0.178988868203194 -1 11 "GO:0001191" "obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding" 1
0 0.289214489504983 2 20 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 1
0 0.168083618005941 2 265 "GO:0001882;GO:0001883;GO:0035639;GO:0032555;GO:0017076;GO:0032553;GO:0032549;GO:0032550" "purine nucleotide binding" 1
0 0.0510111642061237 2 322 "GO:0003677" "DNA binding" 1
0 0.031693348418521 2 123 "GO:0003682" "chromatin binding" 1
0 0.00761197291206582 2 5 "GO:0003688" "DNA replication origin binding" 1
0 0.0414324057839994 3 97 "GO:0003690" "double-stranded DNA binding" 1
0 0.200904673981535 2 191 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.0338209292844176 2 99 "GO:0003713" "transcription coactivator activity" 1
0 0.106530967243406 2 58 "GO:0003714" "transcription corepressor activity" 1
0 0.596932141445845 2 272 "GO:0003723" "RNA binding" 1
0 0.579191092405604 3 118 "GO:0003729" "mRNA binding" 1
0 0.588164930639518 2 73 "GO:0003735" "structural constituent of ribosome" 1
0 0.474863328835137 4 26 "GO:0003743" "translation initiation factor activity" 1
0 0.297768572782687 2 59 "GO:0003774" "motor activity" 1
0 0.890074927434488 4 93 "GO:0003779" "actin binding" 1
0 0.00881918328991899 6 83 "GO:0003924" "GTPase activity" 0.954545454545455
0 0.115366803107534 5 5 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 0.00498519271872733 2 5 "GO:0003995" "acyl-CoA dehydrogenase activity" 1
0 0.0293379289017832 2 5 "GO:0004016" "adenylate cyclase activity" 1
0 0.19493857564504 2 123 "GO:0004175" "endopeptidase activity" 1
0 0.425670943901043 5 21 "GO:0004177" "aminopeptidase activity" 1
0 0.493716819711238 3 27 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.15744618201048 -1 33 "GO:0004221;GO:0016790" "thiolester hydrolase activity" 1
0 0.207635689433399 2 39 "GO:0004222" "metalloendopeptidase activity" 1
0 0.0762560634689584 3 6 "GO:0004385;GO:0050145" "nucleoside monophosphate kinase activity" 0.998101265822785
0 0.576758494315778 6 52 "GO:0004386;GO:0008026;GO:0070035" "helicase activity" 1
0 0.123697824324149 4 9 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 0.444184502189977 2 22 "GO:0004497" "monooxygenase activity" 1
0 0.11259826680071 3 35 "GO:0004518" "nuclease activity" 1
0 0.0774387249013099 2 20 "GO:0004527" "exonuclease activity" 0.994375
0 0.0715146538950714 2 18 "GO:0004540" "ribonuclease activity" 1
0 0.0723084932353928 3 43 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.0257842704628431 2 242 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 0.245692882901048 4 141 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.119742662389079 -1 29 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 1
0 0.0608396667841373 2 7 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 0.0490185520947898 3 47 "GO:0004713" "protein tyrosine kinase activity" 1
0 0.230558046141279 2 29 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 1
0 0.0739999167360819 -1 7 "GO:0004716" "obsolete signal transducer, downstream of receptor, with protein tyrosine kinase activity" 0.999350649350649
0 0.391499440385295 3 54 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.218902010036458 5 23 "GO:0004722" "protein serine/threonine phosphatase activity" 1
0 0.0497640197287322 2 131 "GO:0004842;GO:0019787;GO:0016879;GO:0016881" "ligase activity, forming carbon-nitrogen bonds" 1
0 0.268365494452298 5 33 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 1
0 0.383784510310056 3 72 "GO:0004857" "enzyme inhibitor activity" 1
0 0.552839623916304 -1 240 "GO:0004871;GO:0060089" "molecular transducer activity" 1
0 0.225360076835224 2 28 "GO:0004930" "G protein-coupled receptor activity" 1
0 0.0808563581260203 -1 48 "GO:0005057" "obsolete signal transducer activity, downstream of receptor" 1
0 0.285317567073783 2 191 "GO:0005102" "signaling receptor binding" 1
0 0.0400276303914414 2 19 "GO:0005178" "integrin binding" 1
0 0.641048522626083 1 197 "GO:0005198" "structural molecule activity" 1
0 0.0645250729332451 2 20 "GO:0005201" "extracellular matrix structural constituent" 1
0 0.0597657209172099 4 102 "GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261" "channel activity" 1
0 0.108334039898392 2 8 "GO:0005227" "calcium activated cation channel activity" 1
0 0.0403681775929706 6 31 "GO:0005244;GO:0022832;GO:0022843" "voltage-gated channel activity" 1
0 0.0256920119010771 4 11 "GO:0005245" "voltage-gated calcium channel activity" 1
0 0.1430505968498 4 11 "GO:0005253;GO:0005254" "anion channel activity" 1
0 0.0245840139376523 5 49 "GO:0005262" "calcium channel activity" 1
0 0.544679883288542 3 79 "GO:0005342;GO:0046943;GO:0008514" "organic anion transmembrane transporter activity" 1
0 0.0971765949860052 2 5 "GO:0005484" "SNAP receptor activity" 1
0 0.435141377456104 2 24 "GO:0005496;GO:0032934;GO:0015485" "steroid binding" 1
0 0.494977005290789 5 102 "GO:0005509" "calcium ion binding" 1
0 0.232372795571678 5 178 "GO:0005524;GO:0032559;GO:0030554" "adenyl nucleotide binding" 1
0 0.153178927195234 4 82 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 1
0 0.0732633900850029 2 10 "GO:0005537" "mannose binding" 1
0 0.311821123685677 2 101 "GO:0005543" "phospholipid binding" 1
0 0.133766266838416 3 16 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 1
0 0.133766266838416 2 16 "GO:0005547" "phosphatidylinositol-3,4,5-trisphosphate binding" 1
0 0.608626206075293 4 79 "GO:0008017;GO:0015631" "tubulin binding" 1
0 0.239028932220757 2 29 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 1
0 0.676109801469033 2 98 "GO:0008047" "enzyme activator activity" 1
0 0.169352377884591 6 13 "GO:0008080" "N-acetyltransferase activity" 1
0 0.145886083905415 2 17 "GO:0008081" "phosphoric diester hydrolase activity" 1
0 0.942743463520628 2 227 "GO:0008092" "cytoskeletal protein binding" 1
0 0.154506675513182 3 133 "GO:0008134" "transcription factor binding" 1
0 0.625689306278713 3 41 "GO:0008135" "translation factor activity, RNA binding" 1
0 0.277056421508547 4 12 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 1
0 0.28916373156924 2 208 "GO:0008144" "drug binding" 1
0 0.210069304643696 2 11 "GO:0008157" "protein phosphatase 1 binding" 1
0 0.478661294387838 3 36 "GO:0008186;GO:0003724;GO:0004004" "RNA helicase activity" 1
0 0.128089197671828 4 28 "GO:0008194" "UDP-glycosyltransferase activity" 1
0 0.348622484088304 2 52 "GO:0008234" "cysteine-type peptidase activity" 1
0 0.262330135591568 4 66 "GO:0008237" "metallopeptidase activity" 1
0 0.683742883008112 2 45 "GO:0008238" "exopeptidase activity" 1
0 0.00377468755116151 6 94 "GO:0008270" "zinc ion binding" 1
0 0.55949801400964 2 158 "GO:0008289" "lipid binding" 1
0 0.2785496278315 2 13 "GO:0008320;GO:0022884" "macromolecule transmembrane transporter activity" 1
0 0.0150129629536388 3 209 "GO:0008324;GO:0022890" "cation transmembrane transporter activity" 1
0 0.0673989870311011 2 12 "GO:0008378;GO:0035250" "galactosyltransferase activity" 1
0 0.0615860663536674 6 13 "GO:0008381" "mechanosensitive ion channel activity" 1
0 0.0551485707492034 2 13 "GO:0008408" "3'-5' exonuclease activity" 1
0 0.00886255186563537 2 7 "GO:0008430" "selenium binding" 0.875
0 0.0463471767767618 4 97 "GO:0008509" "anion transmembrane transporter activity" 1
0 0.114209851690263 6 11 "GO:0008513;GO:0015199;GO:0015651;GO:0015226" "quaternary ammonium group transmembrane transporter activity" 1
0 0.223034225745379 2 10 "GO:0008536" "Ran GTPase binding" 1
0 0.179509895225002 2 33 "GO:0008565" "protein transporter activity" 1
0 0.621855626676518 2 40 "GO:0009055" "electron transfer activity" 1
0 0.0727534689119637 2 14 "GO:0009975;GO:0016849" "cyclase activity" 1
0 0.0474181020641048 2 8 "GO:0015020;GO:0003851;GO:0050488" "glucuronosyltransferase activity" 1
0 0.0079446754714701 2 308 "GO:0015075;GO:0022857;GO:0015318" "transmembrane transporter activity" 1
0 0.210646233921305 5 87 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 1
0 0.447774951539881 2 28 "GO:0015078" "proton transmembrane transporter activity" 1
0 0.0549088832781419 6 28 "GO:0015079" "potassium ion transmembrane transporter activity" 1
0 0.11063999795724 6 46 "GO:0015081" "sodium ion transmembrane transporter activity" 1
0 0.00790285954562418 6 72 "GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 1
0 0.239028932220757 5 29 "GO:0015101;GO:0008519" "organic cation transmembrane transporter activity" 1
0 0.00547992962243111 2 31 "GO:0015103" "inorganic anion transmembrane transporter activity" 1
0 0.00865912929474293 3 15 "GO:0015108" "chloride transmembrane transporter activity" 1
0 0.341797232869346 2 50 "GO:0015171" "amino acid transmembrane transporter activity" 1
0 0.492443886847672 3 26 "GO:0015179" "L-amino acid transmembrane transporter activity" 1
0 0.329256446580137 2 46 "GO:0015238" "drug transmembrane transporter activity" 1
0 0.116850703640604 5 31 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 1
0 0.0286084114334891 2 71 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.0335492193546256 4 35 "GO:0015294;GO:0015293;GO:0015370" "solute:cation symporter activity" 1
0 0.0194400693629106 2 16 "GO:0015296" "anion:cation symporter activity" 1
0 0.28305058844272 5 15 "GO:0015297;GO:0099516" "antiporter activity" 1
0 0.0120020584448671 3 9 "GO:0015373" "anion:sodium symporter activity" 0.984375
0 0.0745390863956263 2 56 "GO:0015399;GO:0015405;GO:0042626;GO:0043492" "primary active transmembrane transporter activity" 0.991025641025641
0 0.147032737988822 2 7 "GO:0015491;GO:0015298" "cation:cation antiporter activity" 1
0 0.227520356326153 3 32 "GO:0016298;GO:0004620" "lipase activity" 1
0 0.254990305773657 2 22 "GO:0016407" "acetyltransferase activity" 1
0 0.228834885991713 2 19 "GO:0016410" "N-acyltransferase activity" 1
0 0.0452376597147738 3 300 "GO:0016462;GO:0016818;GO:0016817;GO:0017111" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 1
0 0.562502968458357 2 242 "GO:0016491" "oxidoreductase activity" 1
0 0.162711259200721 3 9 "GO:0016504" "peptidase activator activity" 1
0 0.41982799290985 2 48 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 1
0 0.0545215582042508 2 17 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 1
0 0.682109915831244 2 44 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 1
0 0.454348101594117 4 62 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 1
0 0.0825519731458384 2 59 "GO:0016757;GO:0016758" "transferase activity, transferring glycosyl groups" 1
0 0.0268219086783773 2 13 "GO:0016763" "transferase activity, transferring pentosyl groups" 1
0 0.0409360545006505 2 291 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.130641510120555 4 11 "GO:0016776" "phosphotransferase activity, phosphate group as acceptor" 1
0 0.419202550147296 4 43 "GO:0016779" "nucleotidyltransferase activity" 1
0 0.107072802696043 4 7 "GO:0016780" "phosphotransferase activity, for other substituted phosphate groups" 1
0 0.270724103481468 2 206 "GO:0016788" "hydrolase activity, acting on ester bonds" 1
0 0.244136749693929 2 96 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 1
0 0.194922113284731 2 41 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 1
0 0.144031108193559 2 25 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 1
0 0.186755379283926 2 65 "GO:0016829" "lyase activity" 1
0 0.0255486981560686 2 53 "GO:0016853" "isomerase activity" 1
0 0.00780845513008749 2 23 "GO:0016860" "intramolecular oxidoreductase activity" 1
0 0.0340891893346812 3 5 "GO:0016861" "intramolecular oxidoreductase activity, interconverting aldoses and ketoses" 1
0 0.0606265490457203 2 175 "GO:0016874" "ligase activity" 1
0 0.378621986455729 6 179 "GO:0016887;GO:0042623" "ATPase activity" 1
0 0.0551485707492034 2 13 "GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 0.0348540048192801 6 21 "GO:0016922;GO:0035258" "nuclear receptor binding" 1
0 0.12693032978627 6 5 "GO:0017017;GO:0033549" "MAP kinase tyrosine/serine/threonine phosphatase activity" 1
0 0.0212782621468687 2 9 "GO:0017069" "snRNA binding" 1
0 0.0786073170659144 5 5 "GO:0017169" "CDP-alcohol phosphatidyltransferase activity" 0.990740740740741
0 0.364964935483443 3 27 "GO:0019003" "GDP binding" 1
0 0.0371966204563879 5 12 "GO:0019205" "nucleobase-containing compound kinase activity" 1
0 0.434724132553452 3 25 "GO:0019208;GO:0019888" "phosphatase regulator activity" 1
0 0.0982437064979216 2 15 "GO:0019213" "deacetylase activity" 1
0 0.133629957189305 4 24 "GO:0019829;GO:0042625;GO:0022853;GO:0015662" "active ion transmembrane transporter activity" 1
0 0.0239972508920285 2 24 "GO:0019838" "growth factor binding" 1
0 0.0570136603723417 4 55 "GO:0019887;GO:0019207" "kinase regulator activity" 1
0 0.250212646490805 3 11 "GO:0019894" "kinesin binding" 1
0 0.744616953041827 3 270 "GO:0019899" "enzyme binding" 1
0 0.304276415138045 4 84 "GO:0019900;GO:0019901" "kinase binding" 1
0 0.269726391904301 2 39 "GO:0019902" "phosphatase binding" 1
0 0.139054452345156 3 25 "GO:0019903" "protein phosphatase binding" 1
0 0.848316124063816 3 119 "GO:0019904" "protein domain specific binding" 1
0 0.236109627060291 4 11 "GO:0019905" "syntaxin binding" 1
0 0.0344604261939846 3 125 "GO:0022804" "active transmembrane transporter activity" 1
0 0.0289536694295836 4 64 "GO:0022839;GO:0022836" "ion gated channel activity" 1
0 0.0149057642599613 3 9 "GO:0030020" "extracellular matrix structural constituent conferring tensile strength" 1
0 0.66630104486007 2 306 "GO:0030234;GO:0098772" "molecular function regulator" 1
0 0.2091175990168 2 43 "GO:0030246" "carbohydrate binding" 1
0 0.286244270820177 2 13 "GO:0030276" "clathrin binding" 1
0 0.0113032642302615 3 23 "GO:0030374" "nuclear receptor transcription coactivator activity" 1
0 0.0698723308255689 2 9 "GO:0030492" "hemoglobin binding" 1
0 0.0383766204951216 2 8 "GO:0030515" "snoRNA binding" 1
0 0.858840735937797 4 108 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 1
0 0.208849197969172 3 25 "GO:0031072" "heat shock protein binding" 1
0 0.0442372370195682 2 38 "GO:0032182;GO:0043130" "ubiquitin-like protein binding" 1
