gene,Fish_kME
Mcavernosa04235,0.640717325636098
Mcavernosa04241,0
Mcavernosa04249,0.164352520160827
Mcavernosa04252,0
Mcavernosa04255,0
Mcavernosa04253,0
Mcavernosa04265,0
Mcavernosa04266,0
Mcavernosa04260,0
Mcavernosa04278,0
Mcavernosa04267,0
Mcavernosa04271,0
Mcavernosa04290,0
Mcavernosa04289,0
Mcavernosa04302,0
Mcavernosa04297,0
Mcavernosa04299,0
Mcavernosa04298,0
Mcavernosa04301,0.709675913779154
Mcavernosa04310,0
Mcavernosa04312,0.457127813115713
Mcavernosa04314,0
Mcavernosa04315,0
Mcavernosa04316,0
Mcavernosa04322,0.425328387988939
Mcavernosa04327,0.476531901167419
Mcavernosa04331,0.0206779621169335
Mcavernosa04339,0
Mcavernosa04337,0.257206172368011
Mcavernosa04336,0
Mcavernosa04335,0
Mcavernosa04348,0
Mcavernosa04343,0
Mcavernosa04354,0
Mcavernosa04358,0.644645258932221
Mcavernosa04351,0.761727629430229
Mcavernosa04355,0.677734364971443
Mcavernosa04357,0.818266830875198
Mcavernosa04353,0
Mcavernosa04359,0
Mcavernosa04371,0
Mcavernosa04365,0
Mcavernosa04360,0
Mcavernosa04366,0.368427214535087
Mcavernosa04376,0
Mcavernosa04377,0
Mcavernosa04378,0
Mcavernosa04380,0.376652148768392
Mcavernosa04384,0.455501465277135
Mcavernosa04397,0
Mcavernosa04394,0
Mcavernosa04398,0.693146466627953
Mcavernosa04392,0.844636638423813
Mcavernosa04402,0.505670015641153
Mcavernosa04399,0
Mcavernosa04400,0.262622779642152
Mcavernosa04408,0
Mcavernosa04405,0.32114427675816
Mcavernosa04412,0.218790096289769
Mcavernosa04418,0
Mcavernosa04413,0
Mcavernosa04410,0.290204493467142
Mcavernosa04429,0
Mcavernosa04436,0
Mcavernosa04441,0.257779696137503
Mcavernosa04445,0
Mcavernosa04439,0
Mcavernosa04443,0
Mcavernosa04450,0.700928686190916
Mcavernosa04448,0
Mcavernosa04452,0
Mcavernosa04468,0.658727065742259
Mcavernosa04473,0.201253154543333
Mcavernosa04471,0.358474247984042
Mcavernosa04462,0.210757463640483
Mcavernosa04480,0
Mcavernosa04476,0.67331526473289
Mcavernosa04474,0
Mcavernosa04481,0
Mcavernosa04491,0
Mcavernosa04485,0
Mcavernosa04483,0.787111055611776
Mcavernosa04499,0
Mcavernosa04496,0
Mcavernosa04495,0
