gene,Fish_kME
Mcavernosa04235,-0.645793771560956
Mcavernosa04241,0.130214067757465
Mcavernosa04249,-0.183662642245201
Mcavernosa04252,0.00568865634138952
Mcavernosa04255,0.275311647152074
Mcavernosa04253,-0.385812842921678
Mcavernosa04265,0.21609312294432
Mcavernosa04266,0.499684854752359
Mcavernosa04260,-0.426002219706997
Mcavernosa04278,0.110261014964698
Mcavernosa04267,0.0934042672736628
Mcavernosa04271,-0.0907934958876797
Mcavernosa04290,0.560820448792128
Mcavernosa04289,0.0559050546212929
Mcavernosa04302,0.358385373918839
Mcavernosa04297,-0.0452066598418805
Mcavernosa04299,-0.319794269237976
Mcavernosa04298,-0.458303902832569
Mcavernosa04301,-0.693306633485496
Mcavernosa04310,-0.0950701150350245
Mcavernosa04312,-0.458033725388402
Mcavernosa04314,0.155891280099911
Mcavernosa04315,0.11117881052001
Mcavernosa04316,0.675005475562548
Mcavernosa04322,-0.383940706594654
Mcavernosa04327,-0.478840786029589
Mcavernosa04331,-0.0687638412172699
Mcavernosa04339,0.0359538173672699
Mcavernosa04337,-0.294479032184708
Mcavernosa04336,0.292438857281142
Mcavernosa04335,-0.0552565072681245
Mcavernosa04348,-0.285643485823025
Mcavernosa04343,0.48786204588836
Mcavernosa04354,0.508091842808548
Mcavernosa04358,-0.635757770284582
Mcavernosa04351,-0.753545157425335
Mcavernosa04355,-0.639280291912909
Mcavernosa04357,-0.824210407889786
Mcavernosa04353,0.0662983633940852
Mcavernosa04359,0.419203106235449
Mcavernosa04371,-0.0202833746708826
Mcavernosa04365,-0.142019651588052
Mcavernosa04360,-0.0166089716185372
Mcavernosa04366,-0.322320557766265
Mcavernosa04376,0.366404906857251
Mcavernosa04377,0.00329378954751884
Mcavernosa04378,0.0490251064337797
Mcavernosa04380,-0.379694533125791
Mcavernosa04384,-0.444574045065007
Mcavernosa04397,-0.402879652611566
Mcavernosa04394,0.0954074625939119
Mcavernosa04398,-0.605965703882606
Mcavernosa04392,-0.848935025597443
Mcavernosa04402,-0.48453335976131
Mcavernosa04399,-0.472258353118768
Mcavernosa04400,-0.285048542383606
Mcavernosa04408,-0.0503666806556191
Mcavernosa04405,-0.29364460265266
Mcavernosa04412,-0.209244196893666
Mcavernosa04418,0.134400152378359
Mcavernosa04413,0.265370758119
Mcavernosa04410,-0.242796171701034
Mcavernosa04429,0.156165717858549
Mcavernosa04436,0.176385150181965
Mcavernosa04441,-0.285456567183512
Mcavernosa04445,0.476282263248534
Mcavernosa04439,0.163291116663191
Mcavernosa04443,0.103933339824331
Mcavernosa04450,-0.66533561984676
Mcavernosa04448,-0.0994761092515542
Mcavernosa04452,-0.187405867582507
Mcavernosa04468,-0.626310077395106
Mcavernosa04473,-0.184331543812307
Mcavernosa04471,-0.384615283965052
Mcavernosa04462,-0.242019983252856
Mcavernosa04480,0.653671608585887
Mcavernosa04476,-0.703805146806603
Mcavernosa04474,0.625007267919031
Mcavernosa04481,0.183768103483356
Mcavernosa04491,0.0157654138243277
Mcavernosa04485,0.214266961668484
Mcavernosa04483,-0.781581659275471
Mcavernosa04499,0.155462191766206
Mcavernosa04496,0.0933578596336881
Mcavernosa04495,0.238213358548623
Mcavernosa04498,0.250621699075226
Mcavernosa04492,0.327443771025333
Mcavernosa04504,0.32397816345121
Mcavernosa04519,-0.157462408256213
Mcavernosa04518,0.32838458707564
Mcavernosa04516,-0.485465909721752
Mcavernosa04517,0.0260523718818544
Mcavernosa04542,-0.292779337307795
Mcavernosa04545,-0.247988753784073
Mcavernosa04544,0.227585219304574
Mcavernosa04546,0.247982743481871
Mcavernosa04548,-0.173175349647598
Mcavernosa04547,0.280963496206445
Mcavernosa04556,0.190882714774827
Mcavernosa04552,0.428793999218697
Mcavernosa04550,0.260399215554894
Mcavernosa04557,0.415422964575267
Mcavernosa04564,-0.202129883873905
Mcavernosa04560,0.0882347274665783
Mcavernosa04558,0.522989561480761
Mcavernosa04563,0.293154762274425
Mcavernosa04569,0.0128923917355286
Mcavernosa04574,-0.663565208744472
Mcavernosa04572,0.17429791186236
Mcavernosa04579,0.235351961924412
Mcavernosa04576,0.347569292488864
Mcavernosa04570,-0.233656954855061
Mcavernosa04587,0.107090338754876
Mcavernosa04580,0.413138172898555
Mcavernosa04605,-0.718935906360035
Mcavernosa04597,-0.454114610822711
Mcavernosa04608,-0.348468501414843
Mcavernosa04586,-0.130147418682564
Mcavernosa04588,0.193164448993264
Mcavernosa04601,-0.260350570358213
Mcavernosa04612,0.0359203708741107
Mcavernosa04607,-0.504054054072454
Mcavernosa04633,0.0414192553298211
Mcavernosa04635,-0.221235974844342
Mcavernosa04644,0.436371821681732
Mcavernosa04639,-0.0109060612777579
Mcavernosa04636,-0.611210614958719
Mcavernosa04652,0.365925289712003
Mcavernosa04656,0.770789653061543
Mcavernosa04661,-0.0411666209824822
Mcavernosa04663,-0.186039135500562
Mcavernosa04669,-0.0533308171221639
Mcavernosa04672,-0.464607171828755
Mcavernosa04671,0.217309380858606
Mcavernosa04674,-0.427212273483668
Mcavernosa04683,-0.182094426284241
Mcavernosa04693,0.282663289185277
Mcavernosa04687,-0.536789142761609
Mcavernosa04692,0.308617073512057
Mcavernosa04701,0.126726428885062
Mcavernosa04695,0.200788038468041
Mcavernosa04698,0.176748590684015
Mcavernosa04697,0.096084058113688
Mcavernosa04696,0.321694757181469
Mcavernosa04704,0.193275167963703
Mcavernosa04711,-0.176500112770434
Mcavernosa04712,0.493669363694026
Mcavernosa04709,0.17812300260238
Mcavernosa04719,0.341087027127567
Mcavernosa04724,0.257281335037704
Mcavernosa04725,0.124657917648392
Mcavernosa04736,0.514051000100623
Mcavernosa04721,0.210713189214559
Mcavernosa04728,0.310155990429129
Mcavernosa04726,-0.156854235734702
Mcavernosa04733,-0.121840853622389
Mcavernosa04738,0.277729194873791
Mcavernosa04741,0.080606635872508
Mcavernosa04737,0.0308905731074382
Mcavernosa04742,-0.100974675653915
Mcavernosa04749,-0.0210620149331753
Mcavernosa04750,-0.628723570819338
Mcavernosa04757,-0.473532300471047
Mcavernosa04791,0.0829455549269752
Mcavernosa04797,0.297486207954152
Mcavernosa04802,0.390285713464893
Mcavernosa04800,0.150728250761156
Mcavernosa04799,-0.115277922855576
Mcavernosa04810,0.32114742057065
Mcavernosa04807,-0.243988099910404
Mcavernosa04811,0.16785538901497
Mcavernosa04816,0.796283035025858
Mcavernosa04818,-0.105395328860011
Mcavernosa04815,-0.638346298702063
Mcavernosa04832,-0.226439171692325
Mcavernosa04833,0.294945307238146
Mcavernosa04838,0.510387110749263
Mcavernosa04827,0.00183899889547988
Mcavernosa04842,0.228918360023604
Mcavernosa04839,0.139018409425445
Mcavernosa04829,-0.174476922404495
Mcavernosa04845,-0.575306470091854
Mcavernosa04848,-0.142016100216935
Mcavernosa04846,-0.110896963082249
Mcavernosa04851,-0.200523667641232
Mcavernosa04858,0.15195897825862
Mcavernosa04862,-0.0549458680944972
Mcavernosa04869,0.629087429876507
Mcavernosa04865,0.333122023316885
Mcavernosa04859,-0.163915541819611
