name	term	lev	seq	value
"chloride channel complex"	GO:0034707	2	isogroup261181	0
"chloride channel complex"	GO:0034707	2	isogroup237792	0
"chloride channel complex"	GO:0034707	2	isogroup258233	0
"chloride channel complex"	GO:0034707	2	isogroup259148	0
"chloride channel complex"	GO:0034707	2	isogroup257464	0
"chloride channel complex"	GO:0034707	2	isogroup256448	0.605530850919077
"chloride channel complex"	GO:0034707	2	isogroup238894	0
"chloride channel complex"	GO:0034707	2	isogroup259637	0
"chloride channel complex"	GO:0034707	2	isogroup250173	0
"chloride channel complex"	GO:0034707	2	isogroup261526	0
"chloride channel complex"	GO:0034707	2	isogroup256650	0
"side of membrane"	GO:0098552	2	isogroup262391	0
"side of membrane"	GO:0098552	2	isogroup232730	0
"side of membrane"	GO:0098552	2	isogroup260521	0
"side of membrane"	GO:0098552	2	isogroup258061	0
"side of membrane"	GO:0098552	2	isogroup259550	0
"side of membrane"	GO:0098552	2	isogroup258233	0
"side of membrane"	GO:0098552	2	isogroup234875	0
"side of membrane"	GO:0098552	2	isogroup249329	0
"side of membrane"	GO:0098552	2	isogroup238853	0
"side of membrane"	GO:0098552	2	isogroup262330	0
"side of membrane"	GO:0098552	2	isogroup261788	0
"side of membrane"	GO:0098552	2	isogroup263036	0
"side of membrane"	GO:0098552	2	isogroup251102	0
"side of membrane"	GO:0098552	2	isogroup263044	0
"side of membrane"	GO:0098552	2	isogroup249417	0
"side of membrane"	GO:0098552	2	isogroup241332	0
"side of membrane"	GO:0098552	2	isogroup260728	0
"side of membrane"	GO:0098552	2	isogroup258324	0
"side of membrane"	GO:0098552	2	isogroup317708	0
"side of membrane"	GO:0098552	2	isogroup242709	0
"side of membrane"	GO:0098552	2	isogroup261526	0
"side of membrane"	GO:0098552	2	isogroup259906	0
"side of membrane"	GO:0098552	2	isogroup259611	0
"side of membrane"	GO:0098552	2	isogroup242767	0
"side of membrane"	GO:0098552	2	isogroup258705	0
"side of membrane"	GO:0098552	2	isogroup261981	0
"side of membrane"	GO:0098552	2	isogroup249469	0
"side of membrane"	GO:0098552	2	isogroup239952	0
"side of membrane"	GO:0098552	2	isogroup250707	0
"side of membrane"	GO:0098552	2	isogroup255810	0
"side of membrane"	GO:0098552	2	isogroup246471	0
"recycling endosome membrane"	GO:0055038	2	isogroup248761	0
"recycling endosome membrane"	GO:0055038	2	isogroup244614	0
"recycling endosome membrane"	GO:0055038	2	isogroup244837	0
"recycling endosome membrane"	GO:0055038	2	isogroup241454	0
"recycling endosome membrane"	GO:0055038	2	isogroup260226	0
"recycling endosome membrane"	GO:0055038	2	isogroup259153	0
"recycling endosome membrane"	GO:0055038	2	isogroup212862	0
"recycling endosome membrane"	GO:0055038	2	isogroup244165	0
"recycling endosome membrane"	GO:0055038	2	isogroup236517	0
"recycling endosome membrane"	GO:0055038	2	isogroup252968	0
"recycling endosome membrane"	GO:0055038	2	isogroup246663	0
"SUMO ligase complex"	GO:0030915;GO:0106068	4	isogroup255398	0
"SUMO ligase complex"	GO:0030915;GO:0106068	4	isogroup258496	0
"SUMO ligase complex"	GO:0030915;GO:0106068	4	isogroup255400	0
"SUMO ligase complex"	GO:0030915;GO:0106068	4	isogroup251545	0
"SUMO ligase complex"	GO:0030915;GO:0106068	4	isogroup248509	0
"P granule"	GO:0043186;GO:0071547	2	isogroup258012	0
"P granule"	GO:0043186;GO:0071547	2	isogroup263174	0
"P granule"	GO:0043186;GO:0071547	2	isogroup228915	0
"P granule"	GO:0043186;GO:0071547	2	isogroup256747	0
"P granule"	GO:0043186;GO:0071547	2	isogroup257015	0
"P granule"	GO:0043186;GO:0071547	2	isogroup261893	0
"mediator complex"	GO:0016592	2	isogroup246764	0
"mediator complex"	GO:0016592	2	isogroup250907	0
"mediator complex"	GO:0016592	2	isogroup255593	0
"mediator complex"	GO:0016592	2	isogroup244598	0
"mediator complex"	GO:0016592	2	isogroup260398	0
"mediator complex"	GO:0016592	2	isogroup249267	0
"mediator complex"	GO:0016592	2	isogroup256614	0
"mediator complex"	GO:0016592	2	isogroup261114	0
"mediator complex"	GO:0016592	2	isogroup251720	0
"mediator complex"	GO:0016592	2	isogroup257673	0
"mediator complex"	GO:0016592	2	isogroup259477	0
"mediator complex"	GO:0016592	2	isogroup259624	0
