name	term	lev	seq	value
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup256808	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup255192	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup257875	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup260904	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup236247	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup246951	0
"cyclic-nucleotide phosphodiesterase activity"	GO:0004114;GO:0004112	2	isogroup261294	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup259199	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup262312	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup260657	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup257785	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup248810	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup257343	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup236302	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup253879	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup242921	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup254799	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup118755	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup249657	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup238246	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup258341	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup261446	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup249820	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup258005	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup263557	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup237540	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup256867	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup258843	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup251800	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup260329	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup250588	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup216831	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup255235	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup260219	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup259004	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup249206	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup245895	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup246018	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup259473	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup246714	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup259610	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup245141	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup256551	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup254918	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup260733	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup236822	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup256458	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup258766	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup256677	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup263101	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup257196	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup244317	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup262938	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup240818	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup251466	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup263078	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup247170	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup262348	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup244943	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup250525	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup257790	0
"transferase activity, transferring acyl groups"	GO:0016747;GO:0016746	4	isogroup256172	0
