"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.488860294260272 4 10 "GO:0000018" "regulation of DNA recombination" 1
0 0.180024995759907 4 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.783219704308215 2 16 "GO:0000041" "transition metal ion transport" 1
0 0.400038187813793 5 18 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.0444155341618296 2 34 "GO:0000075" "cell cycle checkpoint" 0.839644970414201
0 0.070478303635927 6 27 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.935217391304348
0 0.713689345251859 6 17 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.0691111661945705 3 30 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.925982532751092
0 0.881076694657368 5 27 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.598998994550399 2 14 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.201912900454517 2 123 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.00271181606055418 6 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 0.358928571428571
0 0.0801081606959037 4 42 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.923887814313346
0 0.401075550179468 7 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.200439451097969 3 9 "GO:0000186" "activation of MAPKK activity" 1
0 0.0468883154740733 2 21 "GO:0000187" "activation of MAPK activity" 0.842837078651685
0 0.268004945591363 3 56 "GO:0000209" "protein polyubiquitination" 1
0 4.15451224371504e-08 4 85 "GO:0000226" "microtubule cytoskeleton organization" 0
0 0.0546805775526001 3 5 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.862781954887218
0 0.0579255516398948 4 9 "GO:0000245" "spliceosomal complex assembly" 0.877415458937198
0 0.0838412872218752 3 51 "GO:0000278" "mitotic cell cycle" 0.920539033457249
0 0.0935911266956008 2 17 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.932874354561102
0 0.166175782678374 5 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
