"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.103373565085491 4 10 "GO:0000018" "regulation of DNA recombination" 0.694075304540421
0 0.789495926576203 4 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.988068448195031
0 0.322205321319424 2 16 "GO:0000041" "transition metal ion transport" 0.870220125786164
0 0.000409329378056695 2 18 "GO:0000045;GO:1905037" "autophagosome assembly" 0.146428571428571
0 0.00438218741515502 3 34 "GO:0000075" "cell cycle checkpoint" 0.297307692307692
0 0.0089750279103278 2 27 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.368226600985222
0 0.219862864563801 5 17 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.812106446776612
0 0.386864753605026 2 15 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.907189157336476
0 0.0337636749164892 3 30 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.513559322033898
0 0.0145957287650528 2 27 "GO:0000096" "sulfur amino acid metabolic process" 0.444360902255639
0 0.150512248800389 3 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.763327205882353
0 0.0566615896581627 4 6 "GO:0000098" "sulfur amino acid catabolic process" 0.599065420560748
0 0.000152069172458514 2 123 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.1
0 0.00482139315111174 4 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 0.308759124087591
0 0.295450117341481 2 5 "GO:0000154" "rRNA modification" 0.852052117263844
0 0.35544575544207 2 42 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.892883211678832
0 0.0825442127260572 3 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.6584375
0 0.138453543830535 9 9 "GO:0000186" "activation of MAPKK activity" 0.744709246901811
0 0.565807034863434 3 21 "GO:0000187" "activation of MAPK activity" 0.939690982776089
0 0.0392224823588862 2 56 "GO:0000209" "protein polyubiquitination" 0.529445506692161
0 0.202160252647106 2 85 "GO:0000226" "microtubule cytoskeleton organization" 0.803492935635793
0 0.0392572462381234 2 5 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.527809523809524
0 0.0144308917424541 3 9 "GO:0000245" "spliceosomal complex assembly" 0.441666666666667
0 0.157974308281964 2 51 "GO:0000278" "mitotic cell cycle" 0.76926523297491
0 0.0120440771564872 2 17 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.408958333333333
0 0.84760291476267 3 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.996609382257315
0 0.198927819954144 2 6 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.797594637223975
0 0.0267482268044531 2 32 "GO:0000302" "response to reactive oxygen species" 0.484745762711864
0 0.242870171501634 2 10 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.829913606911447
0 0.00747547991353114 2 17 "GO:0000387" "spliceosomal snRNP assembly" 0.347252747252747
0 0.0135560592930126 3 49 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.437103174603175
0 0.420941873182554 3 16 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.905061867266592
0 0.188933684575774 3 13 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.789789303079417
0 0.0412991909873409 7 6 "GO:0000469" "cleavage involved in rRNA processing" 0.534907407407407
0 0.401134353514552 2 11 "GO:0000578" "embryonic axis specification" 0.905100864553314
0 0.0574910175240069 5 8 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.600539291217257
0 0.236454646194654 2 24 "GO:0000723;GO:0032200" "telomere organization" 0.829824561403509
0 0.134885637870463 2 21 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.741400966183575
0 0.338902492636467 2 5 "GO:0000731" "DNA synthesis involved in DNA repair" 0.884119106699752
0 0.304471769857415 2 18 "GO:0000737;GO:0006308" "DNA catabolic process" 0.858499678042498
0 0.101732761059422 3 45 "GO:0000902" "cell morphogenesis" 0.689643652561247
0 0.0439931443061013 4 29 "GO:0000904" "cell morphogenesis involved in differentiation" 0.549641577060932
0 0.0607033759847931 2 39 "GO:0000910" "cytokinesis" 0.610149253731343
0 0.19445998563928 2 41 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.793256185155627
0 0.12106484814018 3 56 "GO:0001101" "response to acid chemical" 0.72219387755102
0 0.204803091583902 3 29 "GO:0001501" "skeletal system development" 0.805928237129485
0 0.025402947458024 2 28 "GO:0001503" "ossification" 0.4765
0 0.149854198599819 3 55 "GO:0001505" "regulation of neurotransmitter levels" 0.763791512915129
0 0.0767210730905744 2 14 "GO:0001508" "action potential" 0.646414602346806
0 0.470821900664027 2 13 "GO:0001510" "RNA methylation" 0.920194384449244
0 0.817408564864489 3 6 "GO:0001522" "pseudouridine synthesis" 0.992743817078861
0 0.0305658220693277 6 11 "GO:0001523" "retinoid metabolic process" 0.493791574279379
0 0.109178397414366 2 49 "GO:0001525" "angiogenesis" 0.705328310010764
0 0.131532238203378 3 11 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.738235294117647
0 0.0428908491568054 2 10 "GO:0001541" "ovarian follicle development" 0.542196007259528
0 0.0877542981886741 2 62 "GO:0001558" "regulation of cell growth" 0.668871359223301
0 0.659109769666994 2 16 "GO:0001568" "blood vessel development" 0.96316301703163
0 0.0195521138236786 2 6 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.46085626911315
0 0.0546612041318558 2 10 "GO:0001570" "vasculogenesis" 0.59203821656051
0 0.710623353872291 2 15 "GO:0001578" "microtubule bundle formation" 0.973209169054441
0 0.380323798772745 4 20 "GO:0001649" "osteoblast differentiation" 0.907193816884661
0 0.284211246106159 2 24 "GO:0001654" "eye development" 0.848735861610113
0 0.0177895477023982 4 12 "GO:0001656" "metanephros development" 0.446302250803859
0 0.0246738389344235 5 14 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 0.473214285714286
0 0.00106286756110514 4 9 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.244186046511628
0 0.25232398064247 3 5 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 0.836730360934183
0 0.0877310752337929 3 35 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.669380315917375
0 0.0345059691624287 2 40 "GO:0001667" "ameboidal-type cell migration" 0.512525879917184
0 0.711664743720237 3 16 "GO:0001676" "long-chain fatty acid metabolic process" 0.972519083969466
0 0.0279627121166052 4 50 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.486792452830189
0 0.0236256668342214 2 8 "GO:0001702" "gastrulation with mouth forming second" 0.478342245989305
0 0.0815921840099048 3 14 "GO:0001704" "formation of primary germ layer" 0.656989924433249
0 0.0653555062990754 2 10 "GO:0001707" "mesoderm formation" 0.618252840909091
0 0.0245613261988586 2 14 "GO:0001708" "cell fate specification" 0.474935732647815
0 0.000700513490218228 3 18 "GO:0001709" "cell fate determination" 0.184210526315789
0 0.929412308667576 3 8 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.127503633179475 3 16 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.732569721115538
0 0.00695670248665237 3 14 "GO:0001755" "neural crest cell migration" 0.340857142857143
0 0.255135752531655 3 15 "GO:0001756;GO:0035282" "segmentation" 0.838830162085976
0 0.00495153439530248 2 33 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.305633802816901
0 0.00934926008407633 2 26 "GO:0001764" "neuron migration" 0.372115384615385
0 0.00958147624215841 2 68 "GO:0001775" "cell activation" 0.372985781990521
0 0.0625919080948656 4 9 "GO:0001782;GO:0002260;GO:0001776" "leukocyte homeostasis" 0.609985422740525
0 0.172338190948767 2 8 "GO:0001816" "cytokine production" 0.782106164383562
0 0.031730544898627 2 65 "GO:0001817" "regulation of cytokine production" 0.506263736263736
0 0.00215708940783568 2 27 "GO:0001818" "negative regulation of cytokine production" 0.262
0 0.0983606529726972 2 39 "GO:0001819" "positive regulation of cytokine production" 0.687657142857143
0 0.00239803762527711 3 34 "GO:0001822" "kidney development" 0.265625
0 0.406698076173402 2 7 "GO:0001824" "blastocyst development" 0.905065827132227
0 0.0653857840644665 2 5 "GO:0001836" "release of cytochrome c from mitochondria" 0.616926345609065
0 0.0172926748792759 3 22 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.442786885245902
0 0.0323234709305582 5 16 "GO:0001838;GO:0072175" "epithelial tube formation" 0.508134490238612
0 0.016603691277542 4 22 "GO:0001843;GO:0060606" "tube closure" 0.444727891156463
0 0.236877360980077 2 7 "GO:0001885" "endothelial cell development" 0.82970802919708
0 0.297879593624951 4 16 "GO:0001889" "liver development" 0.853931124106563
0 0.0280079347151497 2 23 "GO:0001894" "tissue homeostasis" 0.486470588235294
0 0.411271638310327 2 8 "GO:0001919" "regulation of receptor recycling" 0.905179282868526
0 0.142249510368169 3 343 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of protein modification process" 0.748965192850423
0 0.338350140641305 2 95 "GO:0001933;GO:0031400;GO:0042326" "negative regulation of protein modification process" 0.885416666666667
0 0.0218730627234593 3 184 "GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562" "positive regulation of protein modification process" 0.478714285714286
0 0.481710020201117 3 5 "GO:0001935" "endothelial cell proliferation" 0.922938972162741
0 0.0625006089011212 4 12 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.61014598540146
0 0.0426433534571561 3 5 "GO:0001942" "hair follicle development" 0.542518248175182
0 0.142015950148737 3 9 "GO:0001944" "vasculature development" 0.748870056497175
0 0.267005489544185 2 18 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.839060356652949
0 0.391504944783862 2 18 "GO:0001952" "regulation of cell-matrix adhesion" 0.905844535359439
0 0.574144149956175 2 6 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.944062657908034
0 0.486971038982972 2 6 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.924453333333333
0 0.338873077932041 4 8 "GO:0001958;GO:0036075" "endochondral ossification" 0.88463687150838
0 0.739510566875504 2 14 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.976299621928166
0 0.733293208500704 2 8 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.974869853289162
0 0.782884449857895 3 7 "GO:0001974" "blood vessel remodeling" 0.986696386672924
0 0.00803885017299948 2 86 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.355235602094241
0 0.0804856171399974 3 9 "GO:0002011" "morphogenesis of an epithelial sheet" 0.654378172588832
0 0.107314386559475 2 14 "GO:0002027" "regulation of heart rate" 0.701137594799567
0 0.215954076883539 2 16 "GO:0002028" "regulation of sodium ion transport" 0.809826152683296
0 0.134601590594163 4 6 "GO:0002040" "sprouting angiogenesis" 0.740812379110251
0 0.14615267931264 3 9 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 0.756616961789376
0 0.146987158241121 2 10 "GO:0002062" "chondrocyte differentiation" 0.757753017641597
0 0.0137187356397209 3 33 "GO:0002064" "epithelial cell development" 0.437450980392157
0 0.000350737125044271 5 11 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.124074074074074
0 0.0271309686013303 4 13 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.483014354066986
0 0.429409069728444 6 5 "GO:0002068" "glandular epithelial cell development" 0.907705192629816
0 0.108238988794577 2 7 "GO:0002088" "lens development in camera-type eye" 0.702319309600863
0 0.213889933310558 3 5 "GO:0002089" "lens morphogenesis in camera-type eye" 0.810304182509506
0 0.554030617632377 2 6 "GO:0002092;GO:0002090" "regulation of receptor internalization" 0.937908163265306
0 0.00920300944729889 2 5 "GO:0002164" "larval development" 0.369660194174757
0 0.0373425595119362 6 20 "GO:0002224;GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 0.520235756385069
0 0.0973933597150608 2 16 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.685091743119266
0 0.0725909787430471 3 6 "GO:0002250" "adaptive immune response" 0.632887700534759
0 0.0559394484871046 2 43 "GO:0002252" "immune effector process" 0.597877358490566
0 0.481710020201117 2 5 "GO:0002262" "myeloid cell homeostasis" 0.922938972162741
0 0.0542986807771615 2 14 "GO:0002274" "myeloid leukocyte activation" 0.592375601926164
0 0.0122017420396808 3 13 "GO:0002285;GO:0002366;GO:0002263" "leukocyte activation involved in immune response" 0.410330578512397
0 0.00402002690782841 4 5 "GO:0002286" "T cell activation involved in immune response" 0.2868
0 0.0215163686191364 5 7 "GO:0002312" "B cell activation involved in immune response" 0.476801152737752
0 0.00533500013709668 1 201 "GO:0002376" "immune system process" 0.3125
0 0.220382193665919 2 5 "GO:0002443" "leukocyte mediated immunity" 0.812013473053892
0 0.790915417080851 4 8 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.988120899718838
0 0.288225233162665 2 15 "GO:0002478;GO:0019884" "antigen processing and presentation of exogenous peptide antigen" 0.849768824306473
0 0.00631260368949516 2 27 "GO:0002521" "leukocyte differentiation" 0.341194968553459
0 0.479677662425872 2 9 "GO:0002532" "production of molecular mediator involved in inflammatory response" 0.922386058981233
0 0.104215063285118 5 10 "GO:0002573" "myeloid leukocyte differentiation" 0.697019867549669
0 0.796025169439328 2 7 "GO:0002576" "platelet degranulation" 0.98876930276088
0 0.164596310641477 3 6 "GO:0002637" "regulation of immunoglobulin production" 0.778389084507042
0 0.00561348642530164 2 141 "GO:0002682" "regulation of immune system process" 0.322666666666667
