"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.455101737009509 3 123 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.0563805305583183 3 45 "GO:0000902" "cell morphogenesis" 0.996913580246914
0 0.0384484472246204 2 29 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.0512645962994939 4 29 "GO:0001501" "skeletal system development" 0.974358974358974
0 0.00469086907638682 4 14 "GO:0001508" "action potential" 0.518965517241379
0 0.060539878757669 3 49 "GO:0001525" "angiogenesis" 0.995882352941177
0 0.049276654943701 2 11 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.965032679738562
0 0.0732318188484508 4 62 "GO:0001558" "regulation of cell growth" 1
0 0.085204592965963 3 16 "GO:0001568" "blood vessel development" 1
0 0.136928424768641 4 20 "GO:0001649" "osteoblast differentiation" 1
0 0.0204845361023568 3 5 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 1
0 0.235981872962393 3 50 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.0951646531491104 3 18 "GO:0001709" "cell fate determination" 1
0 0.753667523898019 3 343 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174" "regulation of protein modification process" 1
0 0.418375335273838 4 95 "GO:0001933;GO:0031400;GO:0042326" "negative regulation of protein modification process" 1
0 0.359002653340415 3 86 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.0491619600756948 2 9 "GO:0002011" "morphogenesis of an epithelial sheet" 0.974503311258278
0 0.000129622738839641 2 14 "GO:0002027" "regulation of heart rate" 0.0714285714285714
0 0.0926136880064815 2 16 "GO:0002028" "regulation of sodium ion transport" 1
0 0.0311220978591796 5 11 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 1
0 0.587344796235756 1 201 "GO:0002376" "immune system process" 1
0 0.445961513422934 2 119 "GO:0003006" "developmental process involved in reproduction" 1
0 0.0171518140629351 2 216 "GO:0003008" "system process" 1
0 0.0234934943385486 3 32 "GO:0003012" "muscle system process" 1
0 0.0438592491528172 2 8 "GO:0003179" "heart valve morphogenesis" 1
0 0.0111826170025338 3 121 "GO:0005975" "carbohydrate metabolic process" 0.946341463414634
0 0.0456428224648528 3 13 "GO:0006024;GO:0006023;GO:1903510" "mucopolysaccharide metabolic process" 1
0 0.0320621478754532 5 9 "GO:0006029" "proteoglycan metabolic process" 1
0 0.236003964023303 2 329 "GO:0006357" "regulation of transcription by RNA polymerase II" 1
0 0.124175587312358 2 24 "GO:0006367;GO:0006352" "DNA-templated transcription, initiation" 1
0 0.837262301967862 6 255 "GO:0006396" "RNA processing" 1
0 0.645542930866853 2 142 "GO:0006397;GO:0008380" "mRNA processing" 1
0 0.444683289081075 3 104 "GO:0006412;GO:0043043;GO:0043604" "amide biosynthetic process" 1
0 0.57559086269121 6 117 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 1
0 0.0184810781363388 2 234 "GO:0006508" "proteolysis" 1
0 0.0994949312393779 2 122 "GO:0006518" "peptide metabolic process" 1
0 0.393062650515008 4 71 "GO:0006732" "coenzyme metabolic process" 1
0 0.132364143943019 3 20 "GO:0006767;GO:0006766" "vitamin metabolic process" 0.999416342412451
0 0.220179062660043 3 79 "GO:0006790" "sulfur compound metabolic process" 1
0 8.44698781793357e-05 2 265 "GO:0006811" "ion transport" 0.1
0 0.000754178570559702 2 25 "GO:0006813" "potassium ion transport" 0.173076923076923
0 0.0448565217620571 2 29 "GO:0006814" "sodium ion transport" 1
0 0.0121596711562386 3 68 "GO:0006816;GO:0070838;GO:0072511" "divalent metal ion transport" 0.963333333333333
0 0.00381883086936454 3 18 "GO:0006821;GO:1902476;GO:0098661" "chloride transport" 0.479166666666667
0 0.0503220927945025 4 33 "GO:0006836" "neurotransmitter transport" 0.975
0 0.470083661104597 2 187 "GO:0006886" "intracellular protein transport" 1
0 0.0907300942500174 8 21 "GO:0006919;GO:0043280;GO:2001056" "positive regulation of cysteine-type endopeptidase activity involved in apoptotic process" 1
0 0.15592343427301 2 320 "GO:0006928" "movement of cell or subcellular component" 0.998727272727273
0 0.119381702960549 4 21 "GO:0006936" "muscle contraction" 1
0 0.00403976736270134 2 13 "GO:0006942" "regulation of striated muscle contraction" 0.478846153846154
0 0.00425908870118097 2 145 "GO:0006952" "defense response" 0.475
0 0.0141980036027166 2 10 "GO:0006953;GO:0002526" "acute inflammatory response" 1
0 0.00107312136004883 3 54 "GO:0006954" "inflammatory response" 0.225
0 0.382113195576556 2 94 "GO:0006955" "immune response" 1
0 0.085204592965963 2 16 "GO:0006959" "humoral immune response" 1
0 0.471218311669886 2 188 "GO:0007017" "microtubule-based process" 1
0 0.324781391626521 3 98 "GO:0007018" "microtubule-based movement" 1
0 0.0209136679656733 5 15 "GO:0007044" "cell-substrate junction assembly" 1
0 0.191300933765433 3 39 "GO:0007050" "cell cycle arrest" 1
0 0.000113231685234032 2 130 "GO:0007154" "cell communication" 0.0833333333333333
0 0.0196109045512767 2 185 "GO:0007155;GO:0022610" "cell adhesion" 1
0 0.0360534150443152 4 27 "GO:0007160" "cell-matrix adhesion" 1
0 0.125581970439483 2 329 "GO:0007166" "cell surface receptor signaling pathway" 0.999601593625498
0 0.0426977840681654 2 82 "GO:0007186" "G protein-coupled receptor signaling pathway" 1
