"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.142809973219749 5 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.19146630076402 3 16 "GO:0000041" "transition metal ion transport" 1
0 0.288141663923072 5 18 "GO:0000045;GO:1905037" "autophagosome assembly" 1
0 0.329835038054453 3 34 "GO:0000075" "cell cycle checkpoint" 1
0 0.327475126692048 2 27 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 0.0720708849822504 7 17 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 1
0 0.141401905598854 4 15 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.44878220515352 4 30 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.121090310343691 4 27 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.0138355061555295 4 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.849579831932773
0 0.050188271901522 5 6 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.897232973856894 6 123 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.589771035046601 6 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 1
0 0.248586929898221 2 5 "GO:0000154" "rRNA modification" 1
0 0.69967540383877 2 42 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 1
0 0.000203558160371259 2 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0652173913043478
0 0.550127801603971 9 9 "GO:0000186" "activation of MAPKK activity" 1
0 0.497528504413081 9 21 "GO:0000187" "activation of MAPK activity" 1
0 0.0966667326428696 3 56 "GO:0000209" "protein polyubiquitination" 1
0 0.771377587652714 4 85 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.714718625435771 2 9 "GO:0000245" "spliceosomal complex assembly" 1
0 0.646729875210477 3 51 "GO:0000278" "mitotic cell cycle" 1
0 0.927726592207053 2 17 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 1
0 0.595224915172482 2 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.13628958195619 2 32 "GO:0000302" "response to reactive oxygen species" 1
0 0.419958337462304 4 10 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.458866494323749 2 17 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.460144615630049 4 49 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.0435120376847721 2 16 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 0.590678037918361 2 6 "GO:0000469" "cleavage involved in rRNA processing" 1
0 0.776460883939048 2 11 "GO:0000578" "embryonic axis specification" 1
0 0.170104803858844 2 8 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 1
0 0.724967077580729 5 24 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.40863837839992 6 21 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.0728407389884306 2 5 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 0.0399200063080318 3 18 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.690499713366918 2 45 "GO:0000902" "cell morphogenesis" 1
0 0.631097256431473 2 29 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.906699106415237 2 39 "GO:0000910" "cytokinesis" 1
0 0.00237201193176187 4 41 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.309090909090909
0 0.259271452350328 3 56 "GO:0001101" "response to acid chemical" 1
0 0.0748740390285133 3 29 "GO:0001501" "skeletal system development" 1
0 0.683978439644789 2 28 "GO:0001503" "ossification" 1
0 0.214010425833567 2 55 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.913120670334773 2 14 "GO:0001508" "action potential" 1
0 0.216774030092896 2 13 "GO:0001510" "RNA methylation" 1
0 0.126326012704476 2 6 "GO:0001522" "pseudouridine synthesis" 1
0 0.490594538918082 3 11 "GO:0001523" "retinoid metabolic process" 1
0 0.186129938118565 3 49 "GO:0001525" "angiogenesis" 1
0 0.336060510660305 3 11 "GO:0001539" "cilium or flagellum-dependent cell motility" 1
0 0.00434370940705372 2 10 "GO:0001541" "ovarian follicle development" 0.439041095890411
0 0.175151050954223 2 62 "GO:0001558" "regulation of cell growth" 1
0 0.0400189765881218 2 16 "GO:0001568" "blood vessel development" 1
0 0.327809046117403 4 6 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.247909494135962 4 10 "GO:0001570" "vasculogenesis" 1
0 0.191545033863693 2 15 "GO:0001578" "microtubule bundle formation" 1
0 0.0405446660681108 4 20 "GO:0001649" "osteoblast differentiation" 1
0 0.286646208719721 4 24 "GO:0001654" "eye development" 1
0 0.617213188801874 2 12 "GO:0001656" "metanephros development" 1
0 0.629366366378483 2 14 "GO:0001657;GO:0072164;GO:0072163" "mesonephric epithelium development" 1
0 0.779093684682977 2 9 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 0.217580314196474 3 5 "GO:0001662;GO:0002209;GO:0042596" "behavioral defense response" 1
0 0.1634770515393 2 35 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.581660200086356 2 40 "GO:0001667" "ameboidal-type cell migration" 1
0 0.128636817450197 5 16 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.509704010397792 3 50 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 1
0 0.595452431737026 2 8 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.620184199244789 3 14 "GO:0001704" "formation of primary germ layer" 1
0 0.502545244211415 2 10 "GO:0001707" "mesoderm formation" 1
0 0.296614157084111 3 14 "GO:0001708" "cell fate specification" 1
0 0.726781449485196 3 18 "GO:0001709" "cell fate determination" 1
0 0.00189683218049454 3 8 "GO:0001731" "formation of translation preinitiation complex" 0.28125
0 0.245117431767237 3 16 "GO:0001736;GO:0007164" "establishment of tissue polarity" 1
0 0.385458151107382 3 14 "GO:0001755" "neural crest cell migration" 1
0 0.42889819677653 2 15 "GO:0001756;GO:0035282" "segmentation" 1
0 0.49762484280755 2 33 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 1
0 0.694200339860865 4 26 "GO:0001764" "neuron migration" 1
0 0.886613470503008 2 68 "GO:0001775" "cell activation" 1
0 0.43981287805868 5 9 "GO:0001782;GO:0002260;GO:0001776" "leukocyte homeostasis" 1
0 0.167582863900924 2 8 "GO:0001816" "cytokine production" 1
0 0.376097791237714 2 65 "GO:0001817" "regulation of cytokine production" 1
0 0.839284101461307 3 27 "GO:0001818" "negative regulation of cytokine production" 1
0 0.0943951389785089 2 39 "GO:0001819" "positive regulation of cytokine production" 1
0 0.773537780439337 3 34 "GO:0001822" "kidney development" 1
0 0.0871330962373474 2 7 "GO:0001824" "blastocyst development" 1
