"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.549002582344417 3 10 "GO:0000018" "regulation of DNA recombination" 0.96736231884058
0 0.15664389276292 2 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.786015325670498
0 0.0485805407518038 7 16 "GO:0000041" "transition metal ion transport" 0.602893309222423
0 0.491970942829837 2 18 "GO:0000045;GO:1905037" "autophagosome assembly" 0.954441776710684
0 0.621323199031263 4 34 "GO:0000075" "cell cycle checkpoint" 0.981145717463849
0 0.577902578444171 2 27 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.968633011911515
0 0.0438281164996455 2 17 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.577552986512524
0 0.0245906007283403 2 15 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.449611398963731
0 0.286501659790865 2 30 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.887390029325513
0 0.0138844401495928 5 27 "GO:0000096" "sulfur amino acid metabolic process" 0.364655172413793
0 0.0898137033564992 2 14 "GO:0000097" "sulfur amino acid biosynthetic process" 0.725065104166667
0 0.00555964842506481 2 6 "GO:0000098" "sulfur amino acid catabolic process" 0.272560975609756
0 0.00208264975510663 5 123 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.197802197802198
0 0.0415579300240304 7 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 0.562698412698413
0 0.33008492533209 3 5 "GO:0000154" "rRNA modification" 0.90970200970201
0 0.00547256123159136 2 42 "GO:0000165;GO:0023014" "signal transduction by protein phosphorylation" 0.273913043478261
0 0.928136202436516 4 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.120727918595668 2 9 "GO:0000186" "activation of MAPKK activity" 0.762846068660022
0 0.00826259018786322 2 21 "GO:0000187" "activation of MAPK activity" 0.322906403940887
0 0.459788542763598 2 56 "GO:0000209" "protein polyubiquitination" 0.94476423759951
0 0.020599219182952 2 85 "GO:0000226" "microtubule cytoskeleton organization" 0.426224783861672
0 0.241346621562217 5 9 "GO:0000245" "spliceosomal complex assembly" 0.863557312252965
0 0.22600538306631 3 51 "GO:0000278" "mitotic cell cycle" 0.849271255060729
0 0.690388904545211 2 17 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.999512195121951
0 0.196299977774942 2 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.83262380538662
0 0.0728798866044613 4 32 "GO:0000302" "response to reactive oxygen species" 0.690849194729136
0 0.813031326092563 3 49 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 1
0 0.775899412769501 2 16 "GO:0000413;GO:0018208" "peptidyl-proline modification" 1
0 0.323307511762072 2 13 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.903201113430759
0 0.389730207229132 2 11 "GO:0000578" "embryonic axis specification" 0.930253741054001
0 0.638872891770088 6 8 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.988895027624309
0 0.22475428214017 3 24 "GO:0000723;GO:0032200" "telomere organization" 0.849553208773355
0 0.523079007740637 6 21 "GO:0000724;GO:0000725" "recombinational repair" 0.960558823529412
0 0.393498193247366 2 18 "GO:0000737;GO:0006308" "DNA catabolic process" 0.931258106355383
0 0.00269884090976976 3 45 "GO:0000902" "cell morphogenesis" 0.224285714285714
0 0.00448762320655264 2 29 "GO:0000904" "cell morphogenesis involved in differentiation" 0.242567567567568
0 0.668532104420163 2 39 "GO:0000910" "cytokinesis" 0.993886462882096
