"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.832261140606005 2 13 "GO:0000118" "histone deacetylase complex" 1
0 0.570416569385825 6 5 "GO:0000124" "SAGA complex" 1
0 0.229602329919127 2 161 "GO:0000139" "Golgi membrane" 0.940975609756098
0 0.531188894414626 2 59 "GO:0000151" "ubiquitin ligase complex" 1
0 0.406923785049819 3 8 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.370478391833811 3 7 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 0.0955197974249077 3 20 "GO:0000228" "nuclear chromosome" 0.78
0 0.000655687058572671 3 8 "GO:0000242" "pericentriolar material" 0.0362068965517241
0 0.172372175545061 4 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.923699421965318
0 0.489113561020646 2 13 "GO:0000407" "phagophore assembly site" 1
0 0.718483809476985 3 10 "GO:0000421" "autophagosome membrane" 1
0 0.252038041666333 4 20 "GO:0000502;GO:1905369" "endopeptidase complex" 0.966745283018868
0 0.00588377199793262 3 13 "GO:0000775" "chromosome, centromeric region" 0.222340425531915
0 0.00332578841998313 2 32 "GO:0000776" "kinetochore" 0.151219512195122
0 0.0557294104657117 3 18 "GO:0000777" "condensed chromosome kinetochore" 0.619266055045872
0 0.130183849681731 3 20 "GO:0000781" "chromosome, telomeric region" 0.866776315789474
0 0.213368885509379 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 0.942564102564103
0 0.0286065728813258 2 77 "GO:0000785" "chromatin" 0.453086419753086
0 0.0874814452103516 2 9 "GO:0000786;GO:0044815" "DNA packaging complex" 0.765116279069767
0 0.0521389166364159 5 38 "GO:0000790" "nuclear chromatin" 0.611904761904762
0 0.211507171468641 3 10 "GO:0000791" "euchromatin" 0.944559585492228
0 3.07720397884449e-05 3 21 "GO:0000792" "heterochromatin" 0.00238095238095238
0 0.00161426136096931 5 14 "GO:0000793" "condensed chromosome" 0.0702702702702703
0 0.0386110118828162 2 7 "GO:0000794" "condensed nuclear chromosome" 0.521195652173913
0 0.00419667745146179 2 42 "GO:0000922" "spindle pole" 0.17093023255814
0 0.0982256654780061 2 27 "GO:0000932" "P-body" 0.7875
0 0.694865190795867 2 11 "GO:0001669" "acrosomal vesicle" 1
0 2.22818833897674e-05 2 17 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.0025
0 0.0693109513480672 2 21 "GO:0001726" "ruffle" 0.686554621848739
0 0.166301480606684 2 7 "GO:0001750" "photoreceptor outer segment" 0.922485207100592
0 0.196773148181774 3 5 "GO:0001891" "phagocytic cup" 0.935675675675676
0 0.0813410610738022 3 14 "GO:0002102" "podosome" 0.75
0 0.0408543822454879 1 194 "GO:0005576" "extracellular region" 0.534210526315789
0 0.0783980491991957 2 23 "GO:0005581" "collagen trimer" 0.743089430894309
0 0.00401303317980341 2 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.167857142857143
0 0.660046031147651 2 152 "GO:0005615" "extracellular space" 1
0 0.00767769195087031 3 9 "GO:0005618;GO:0030312" "cell wall" 0.256
0 0.198575224943926 2 71 "GO:0005622" "intracellular" 0.938709677419355
0 0.0112363485733415 4 51 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.322321428571429
0 0.403673841540049 3 5 "GO:0005637" "nuclear inner membrane" 1
0 0.100002952546153 4 9 "GO:0005641" "nuclear envelope lumen" 0.786231884057971
0 0.418956017710761 3 17 "GO:0005643" "nuclear pore" 1
0 0.00151090280794453 4 283 "GO:0005654" "nucleoplasm" 0.0714285714285714
