"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0300215414247541 2 13 "GO:0000118" "histone deacetylase complex" 0.994444444444444
0 0.00471319555753036 2 5 "GO:0000124" "SAGA complex" 0.505882352941176
0 0.324909053783708 4 161 "GO:0000139" "Golgi membrane" 1
0 0.0214388931475607 3 59 "GO:0000151" "ubiquitin ligase complex" 0.971428571428571
0 0.334864394375778 4 8 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0967701103613838 3 7 "GO:0000178;GO:1905354" "exoribonuclease complex" 0.91328125
0 0.656733385020073 2 20 "GO:0000228" "nuclear chromosome" 1
0 0.380020517663549 3 8 "GO:0000242" "pericentriolar material" 1
0 0.604392355505857 6 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.131982391943423 2 13 "GO:0000407" "phagophore assembly site" 0.973154362416107
0 0.259347354691862 2 10 "GO:0000421" "autophagosome membrane" 0.999122807017544
0 0.432277487520122 4 20 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.00297972930333397 5 13 "GO:0000775" "chromosome, centromeric region" 0.536363636363636
0 0.758662692924827 3 32 "GO:0000776" "kinetochore" 1
0 0.485135727125747 2 18 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.291672466750815 3 20 "GO:0000781" "chromosome, telomeric region" 1
0 0.293788583217797 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.0082586473528735 3 77 "GO:0000785" "chromatin" 0.61875
0 0.322160095397199 4 9 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 0.0883063097242922 5 38 "GO:0000790" "nuclear chromatin" 0.911570247933884
0 0.315167746666502 2 10 "GO:0000791" "euchromatin" 1
0 0.138757494718602 2 21 "GO:0000792" "heterochromatin" 0.9625
0 0.731053823182758 2 14 "GO:0000793" "condensed chromosome" 1
0 0.451904896048162 3 7 "GO:0000794" "condensed nuclear chromosome" 1
0 0.549949165233791 2 42 "GO:0000922" "spindle pole" 1
0 0.473255328849099 3 27 "GO:0000932" "P-body" 1
0 0.291903775215669 5 11 "GO:0001669" "acrosomal vesicle" 1
0 0.022965496785356 3 17 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.968918918918919
0 0.117156577773575 2 21 "GO:0001726" "ruffle" 0.960431654676259
0 0.0311492720897112 2 7 "GO:0001750" "photoreceptor outer segment" 0.951041666666667
0 0.103845848644855 2 5 "GO:0001891" "phagocytic cup" 0.936641221374046
0 0.899228707574397 2 14 "GO:0002102" "podosome" 1
0 0.766198466345205 1 194 "GO:0005576" "extracellular region" 1
0 0.690176624805373 2 23 "GO:0005581" "collagen trimer" 1
0 0.934789662165875 2 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.570318799301041 2 152 "GO:0005615" "extracellular space" 1
0 0.0557212927507636 2 9 "GO:0005618;GO:0030312" "cell wall" 0.975949367088608
0 0.480487056161915 2 71 "GO:0005622" "intracellular" 1
0 0.916916151860843 2 51 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.321246677996132 3 5 "GO:0005637" "nuclear inner membrane" 1
0 0.182401854554898 6 8 "GO:0005639;GO:0031229;GO:0044453" "integral component of nuclear inner membrane" 0.961170212765957
0 0.848215400248594 2 9 "GO:0005641" "nuclear envelope lumen" 1
0 0.205465559720045 2 17 "GO:0005643" "nuclear pore" 0.967574257425743
0 0.244828770892811 2 283 "GO:0005654" "nucleoplasm" 0.99009009009009
0 0.240870994923665 3 8 "GO:0005657" "replication fork" 0.991590909090909
0 0.000738473368483835 2 6 "GO:0005665" "RNA polymerase II, core complex" 0.308333333333333
0 0.000698019369915599 2 51 "GO:0005667" "transcription factor complex" 0.34
