"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0387882111045855 3 161 "GO:0000139" "Golgi membrane" 1
0 2.60228676330491e-08 1 194 "GO:0005576" "extracellular region" 0
0 0.0416386143476442 2 23 "GO:0005581" "collagen trimer" 1
0 0.038601563720121 2 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.000522496288098431 2 152 "GO:0005615" "extracellular space" 0.0875
0 0.353833654647821 2 71 "GO:0005622" "intracellular" 1
0 0.492120626610229 3 283 "GO:0005654" "nucleoplasm" 1
0 0.531360773188407 3 81 "GO:0005681" "spliceosomal complex" 1
0 0.0523167918743112 4 182 "GO:0005783" "endoplasmic reticulum" 1
0 0.00241700892330019 3 44 "GO:0005788" "endoplasmic reticulum lumen" 0.2
0 0.261119668397875 4 224 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.0213930540584626 4 16 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.74
0 0.52723595676982 2 244 "GO:0005794" "Golgi apparatus" 1
0 0.334770010445755 4 129 "GO:0005813" "centrosome" 1
0 0.494750780598425 2 182 "GO:0005815" "microtubule organizing center" 1
0 0.7609114434177 2 239 "GO:0005856" "cytoskeleton" 1
0 0.0535929052006308 2 160 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 1
0 0.0670110269054089 5 13 "GO:0005891;GO:0034704" "calcium channel complex" 1
0 0.145431384082601 3 80 "GO:0005929" "cilium" 1
0 0.0107774083761703 3 16 "GO:0008076;GO:0034705" "potassium channel complex" 0.6625
0 0.163879704649558 2 77 "GO:0009986" "cell surface" 1
0 0.0644827904801341 2 8 "GO:0016010;GO:0090665" "dystrophin-associated glycoprotein complex" 1
0 0.0638007308163816 2 58 "GO:0016324" "apical plasma membrane" 1
0 0.0964244006075805 1 302 "GO:0030054" "cell junction" 1
0 0.179150891355086 2 24 "GO:0030175" "filopodium" 1
0 0.17108098891821 2 50 "GO:0030424" "axon" 1
0 0.453126403811218 2 67 "GO:0030425" "dendrite" 1
0 0.0596289866594565 2 42 "GO:0030658" "transport vesicle membrane" 1
0 0.00858950412045058 3 114 "GO:0030659;GO:0012506" "vesicle membrane" 0.581818181818182
0 0.0314812846147753 5 20 "GO:0030672;GO:0099501" "exocytic vesicle membrane" 0.988636363636364
0 0.0444708899862993 2 8 "GO:0030992" "intraciliary transport particle B" 1
0 0.00529340265569208 2 55 "GO:0031012" "extracellular matrix" 0.425
0 0.107712377954206 2 73 "GO:0031253" "cell projection membrane" 1
0 0.218012388989798 3 291 "GO:0031410;GO:0097708" "cytoplasmic vesicle" 1
0 0.0644827904801341 4 8 "GO:0031527" "filopodium membrane" 1
0 0.160115079004685 2 25 "GO:0032580" "Golgi cisterna membrane" 1
0 0.0134716700548617 4 6 "GO:0033018" "sarcoplasmic reticulum lumen" 0.570588235294118
0 0.000136772674779808 4 52 "GO:0034702;GO:1902495;GO:1990351" "transporter complex" 0.05
0 0.00559233984693297 2 37 "GO:0034703" "cation channel complex" 0.405555555555556
0 0.0301325077209055 2 11 "GO:0034707" "chloride channel complex" 1
0 0.166987964041591 3 34 "GO:0036064" "ciliary basal body" 1
0 0.217686290395923 3 30 "GO:0042383" "sarcolemma" 1
0 0.0684397306365085 4 35 "GO:0042470;GO:0048770" "pigment granule" 1
0 0.135120043581756 3 182 "GO:0043005" "neuron projection" 1
0 0.072191958059608 2 9 "GO:0043034" "costamere" 1
0 0.11286067689332 2 13 "GO:0043204" "perikaryon" 1
0 0.0133263826448969 2 55 "GO:0043235" "receptor complex" 0.59375
0 0.0715129191773662 2 18 "GO:0044309;GO:0043197;GO:0098794" "neuron spine" 1
0 0.000411700674137086 2 18 "GO:0044420" "extracellular matrix component" 0.1
0 0.849017851606531 2 448 "GO:0044430" "cytoskeletal part" 1
0 0.116295437310621 2 244 "GO:0044431" "Golgi apparatus part" 1
0 0.0333469522370919 2 303 "GO:0044432" "endoplasmic reticulum part" 0.991304347826087
0 0.0179484913150773 2 223 "GO:0044433" "cytoplasmic vesicle part" 0.708333333333333
0 0.388902757486175 2 111 "GO:0044441" "ciliary part" 1
0 0.0721190213785975 3 57 "GO:0044449" "contractile fiber part" 1
0 0.00693503134030575 1 143 "GO:0044456" "synapse part" 0.515
0 0.0110199899112756 2 459 "GO:0044459" "plasma membrane part" 0.623076923076923
0 0.379385351318135 4 60 "GO:0045121;GO:0098857;GO:0098589" "membrane region" 1
0 0.0401858184924847 2 136 "GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 1
0 0.282313888875597 4 35 "GO:0071013" "catalytic step 2 spliceosome" 1
0 0.0465351348634649 3 5 "GO:0071204" "histone pre-mRNA 3'end processing complex" 1
0 0.0124468893206221 2 9 "GO:0072562" "blood microparticle" 0.596666666666667
0 0.00495798601012655 2 76 "GO:0097060;GO:0045211" "synaptic membrane" 0.421428571428571
0 0.30323938917065 2 312 "GO:0097458" "neuron part" 1
0 0.125175448150811 3 420 "GO:0098588" "bounding membrane of organelle" 1
0 0.0114907237261678 2 236 "GO:0098590" "plasma membrane region" 0.592857142857143
0 0.02038482152734 2 220 "GO:0098796" "membrane protein complex" 0.757894736842105
0 0.00126655541336978 2 83 "GO:0098797" "plasma membrane protein complex" 0.11
0 0.191506125241644 3 24 "GO:0098802" "plasma membrane receptor complex" 1
0 0.161666338352556 2 272 "GO:0098805" "whole membrane" 1
0 0.330756578575206 3 50 "GO:0098858" "actin-based cell projection" 1
0 0.12983573019341 2 369 "GO:0120025;GO:0042995" "cell projection" 1
0 0.138478620766298 3 296 "GO:0120038;GO:0044463" "plasma membrane bounded cell projection part" 1
0 0.849657683502106 2 348 "GO:1902494" "catalytic complex" 1
0 0.675365770170441 3 179 "GO:1990234" "transferase complex" 1
0 0.880265255462245 2 258 "GO:1990904" "ribonucleoprotein complex" 1
0 1 4 13 "GO:0000118" "histone deacetylase complex" 1
0 1 2 5 "GO:0000124" "SAGA complex" 1
0 1 3 59 "GO:0000151" "ubiquitin ligase complex" 1
