"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.120303445084597 3 161 "GO:0000139" "Golgi membrane" 0.893
0 0.0864671425904484 3 59 "GO:0000151" "ubiquitin ligase complex" 0.925609756097561
0 0.0420323571356223 4 17 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actin filament bundle" 0.9875
0 0.193249911350035 2 152 "GO:0005615" "extracellular space" 0.895161290322581
0 0.184603589957368 2 71 "GO:0005622" "intracellular" 0.908333333333333
0 0.114616558795064 3 51 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.911458333333333
0 0.0396541226651889 4 283 "GO:0005654" "nucleoplasm" 1
0 0.00282577588441323 2 51 "GO:0005667" "transcription factor complex" 1
0 0.324099961156187 2 68 "GO:0005694" "chromosome" 0.91027397260274
0 0.554419945436012 2 282 "GO:0005739" "mitochondrion" 0.943827160493827
0 0.24337075372378 4 224 "GO:0005789" "endoplasmic reticulum membrane" 0.9
0 0.435369232240183 4 244 "GO:0005794" "Golgi apparatus" 0.946753246753247
0 0.470567274736067 2 129 "GO:0005813" "centrosome" 0.934177215189873
0 0.580917334906109 4 182 "GO:0005815" "microtubule organizing center" 0.938414634146342
0 0.0514600862615868 2 239 "GO:0005856" "cytoskeleton" 1
0 0.164490824344462 5 35 "GO:0005871" "kinesin complex" 0.907017543859649
0 0.194400141978442 2 166 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "supramolecular fiber" 0.884126984126984
0 0.328900388164959 4 79 "GO:0005875" "microtubule associated complex" 0.904054054054054
0 0.032511018426946 2 13 "GO:0005882" "intermediate filament" 1
0 0.119856349316022 3 160 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.910204081632653
0 0.0900726063549268 2 101 "GO:0005911" "cell-cell junction" 0.921428571428571
0 0.0990180488368382 3 107 "GO:0005912;GO:0070161" "adherens junction" 0.923863636363636
0 0.0840647142712444 2 17 "GO:0005913" "cell-cell adherens junction" 0.955128205128205
0 0.169318308800344 2 82 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate junction" 0.906034482758621
0 0.129175271006335 3 80 "GO:0005929" "cilium" 0.878301886792453
0 0.0953381042388572 3 22 "GO:0005930" "axoneme" 0.929069767441861
0 0.0123366163282675 5 62 "GO:0005938;GO:0099568" "cytoplasmic region" 1
0 0.114403044427317 2 20 "GO:0008021;GO:0070382" "exocytic vesicle" 0.930851063829787
0 0.0216740122846306 5 13 "GO:0008023" "transcription elongation factor complex" 1
0 0.0372992696329992 2 15 "GO:0009898;GO:0098562" "cytoplasmic side of plasma membrane" 1
0 0.025223872619777 3 10 "GO:0014704;GO:0044291" "cell-cell contact zone" 1
0 0.142330807604554 5 66 "GO:0015629" "actin cytoskeleton" 0.879090909090909
0 0.0714939405646822 3 30 "GO:0015630" "microtubule cytoskeleton" 0.954166666666667
0 0.122808430416754 2 24 "GO:0016459" "myosin complex" 0.874038461538462
0 0.456225353245588 2 106 "GO:0016604" "nuclear body" 0.940384615384615
0 0.284119247122565 2 58 "GO:0016607" "nuclear speck" 0.877777777777778
0 0.0307411034348463 2 11 "GO:0017053" "transcriptional repressor complex" 1
0 0.0364344826730111 2 10 "GO:0030017" "sarcomere" 1
0 0.0758321284772268 2 32 "GO:0030018" "Z disc" 0.928947368421053
0 0.131458145208514 1 302 "GO:0030054" "cell junction" 0.868518518518518
0 0.0276669930913617 2 11 "GO:0030056;GO:0031673;GO:0035371" "hemidesmosome" 1
0 0.176941633113529 2 32 "GO:0030133" "transport vesicle" 0.909322033898305
0 0.122808430416754 4 24 "GO:0030175" "filopodium" 0.874038461538462
0 0.112680841747118 4 50 "GO:0030424" "axon" 0.941304347826087
0 0.053767037321455 2 42 "GO:0030658" "transport vesicle membrane" 0.937096774193548
0 0.0854877204861542 4 114 "GO:0030659;GO:0012506" "vesicle membrane" 0.94375
0 0.0272388201017421 2 20 "GO:0030672;GO:0099501" "synaptic vesicle membrane" 1
0 0.841343807306169 3 291 "GO:0031410;GO:0097708" "intracellular vesicle" 0.969277108433735
0 0.0417764339447338 2 26 "GO:0031461" "cullin-RING ubiquitin ligase complex" 1
0 0.0639686539117353 2 35 "GO:0031514" "motile cilium" 0.951470588235294
0 0.0428450581260202 2 8 "GO:0031941" "filamentous actin" 0.964
0 0.027009706991559 2 5 "GO:0032433" "filopodium tip" 1
0 0.00902001223705685 5 8 "GO:0032588" "trans-Golgi network membrane" 1
0 0.0119068865479488 3 6 "GO:0036126;GO:0097729" "sperm flagellum" 1
0 0.0714939405646822 3 30 "GO:0042383" "sarcolemma" 0.954166666666667
0 0.0116373591651246 2 14 "GO:0042734" "presynaptic membrane" 1
0 0.043092637446751 2 182 "GO:0043005" "neuron projection" 0.928846153846154
0 0.267963869479272 3 448 "GO:0044430" "cytoskeletal part" 0.888571428571429
0 0.149335246565074 3 244 "GO:0044431" "Golgi apparatus part" 0.886607142857143
0 0.342678500406391 3 303 "GO:0044432" "endoplasmic reticulum part" 0.902
0 0.225132404860552 3 223 "GO:0044433" "cytoplasmic vesicle part" 0.909230769230769
0 0.377197775742767 2 111 "GO:0044441" "ciliary part" 0.921052631578947
0 0.0237982549141781 3 57 "GO:0044449" "contractile fiber part" 1
0 0.267763429411801 2 219 "GO:0044451" "nucleoplasm part" 0.901449275362319
0 0.0194833139432883 1 143 "GO:0044456" "synapse part" 1
0 0.0270807462988014 2 459 "GO:0044459" "plasma membrane part" 1
0 0.0536276836343572 5 22 "GO:0045111" "intermediate filament cytoskeleton" 0.966666666666667
0 0.0103236813118955 4 166 "GO:0048471" "perinuclear region of cytoplasm" 1
0 0.0127940717328438 4 5 "GO:0097038" "perinuclear endoplasmic reticulum" 1
0 0.0531650330333036 2 76 "GO:0097060;GO:0045211" "synaptic membrane" 0.991379310344828
0 0.0452452112061723 2 24 "GO:0097223" "sperm part" 0.927777777777778
0 0.0199830187106944 2 312 "GO:0097458" "neuron part" 1
0 0.0736693473671598 2 31 "GO:0098552" "side of membrane" 0.94054054054054
0 0.0564336362868687 2 420 "GO:0098588" "bounding membrane of organelle" 0.898484848484848
0 0.110352507586167 2 236 "GO:0098590" "plasma membrane region" 0.95
0 0.195279278894582 2 272 "GO:0098805" "whole membrane" 0.8734375
0 0.237881777021694 3 50 "GO:0098858" "actin-based cell projection" 0.909090909090909
0 0.280831038623324 2 54 "GO:0099503" "secretory vesicle" 0.888028169014084
0 0.0561202554210983 2 369 "GO:0120025;GO:0042995" "cell projection" 0.91875
0 0.513545165204058 3 296 "GO:0120038;GO:0044463" "plasma membrane bounded cell projection part" 0.94125
0 0.254724335858949 2 348 "GO:1902494" "catalytic complex" 0.902941176470588
0 0.191857060356639 2 179 "GO:1990234" "transferase complex" 0.905737704918033
0 0.032511018426946 4 13 "GO:1990752" "microtubule end" 1
0 1 3 13 "GO:0000118" "histone deacetylase complex" 1
0 1 6 5 "GO:0000124" "SAGA complex" 1
0 1 2 8 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 7 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 1 3 20 "GO:0000228" "nuclear chromosome" 1
0 1 2 8 "GO:0000242" "pericentriolar material" 1
0 1 2 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 2 13 "GO:0000407" "phagophore assembly site" 1
0 1 2 10 "GO:0000421" "autophagosome membrane" 1
0 1 4 20 "GO:0000502;GO:1905369" "proteasome complex" 1
0 1 5 13 "GO:0000775" "chromosome, centromeric region" 1
0 1 3 32 "GO:0000776" "kinetochore" 1
0 1 2 18 "GO:0000777" "condensed chromosome kinetochore" 1
0 1 5 20 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 1 4 77 "GO:0000785" "chromatin" 1
0 1 2 9 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 1 2 38 "GO:0000790" "nuclear chromatin" 1
0 1 5 10 "GO:0000791" "euchromatin" 1
0 1 2 21 "GO:0000792" "heterochromatin" 1
0 1 2 14 "GO:0000793" "condensed chromosome" 1
0 1 2 7 "GO:0000794" "condensed nuclear chromosome" 1
0 1 2 42 "GO:0000922" "spindle pole" 1
0 1 2 27 "GO:0000932" "P-body" 1
0 1 4 11 "GO:0001669" "acrosomal vesicle" 1
0 1 3 21 "GO:0001726" "ruffle" 1
0 1 2 7 "GO:0001750" "photoreceptor outer segment" 1
0 1 2 5 "GO:0001891" "phagocytic cup" 1
0 1 3 14 "GO:0002102" "podosome" 1
0 1 1 194 "GO:0005576" "extracellular region" 1
0 1 2 23 "GO:0005581" "collagen trimer" 1
0 1 4 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 1 3 9 "GO:0005618;GO:0030312" "cell wall" 1
0 1 2 5 "GO:0005637" "nuclear inner membrane" 1
0 1 4 8 "GO:0005639;GO:0031229;GO:0044453" "nuclear membrane part" 1
0 1 4 9 "GO:0005641" "nuclear envelope lumen" 1
0 1 2 17 "GO:0005643" "nuclear pore" 1
0 1 4 8 "GO:0005657" "replication fork" 1
0 1 2 6 "GO:0005665" "RNA polymerase II, core complex" 1
0 1 3 8 "GO:0005669" "transcription factor TFIID complex" 1
0 1 2 6 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 1 4 81 "GO:0005681" "spliceosomal complex" 1
0 1 4 7 "GO:0005685" "U1 snRNP" 1
0 1 6 5 "GO:0005686" "U2 snRNP" 1
0 1 6 5 "GO:0005687" "U4 snRNP" 1
0 1 5 7 "GO:0005689" "U12-type spliceosomal complex" 1
0 1 3 10 "GO:0005720" "nuclear heterochromatin" 1
0 1 6 5 "GO:0005721" "pericentric heterochromatin" 1
0 1 2 248 "GO:0005730" "nucleolus" 1
0 1 3 5 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 1 3 32 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 1
0 1 2 97 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 1 2 5 "GO:0005744" "TIM23 mitochondrial import inner membrane translocase complex" 1
0 1 3 9 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 1
0 1 3 14 "GO:0005758" "mitochondrial intermembrane space" 1
0 1 4 49 "GO:0005759" "mitochondrial matrix" 1
0 1 5 5 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 1
0 1 3 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 1
0 1 5 74 "GO:0005764;GO:0000323" "lytic vacuole" 1
0 1 5 67 "GO:0005765;GO:0098852" "lytic vacuole membrane" 1
0 1 2 148 "GO:0005768" "endosome" 1
0 1 4 63 "GO:0005769" "early endosome" 1
0 1 4 27 "GO:0005770" "late endosome" 1
0 1 3 99 "GO:0005773" "vacuole" 1
0 1 4 98 "GO:0005774;GO:0044437" "vacuolar part" 1
0 1 5 19 "GO:0005776" "autophagosome" 1
0 1 5 41 "GO:0005777;GO:0042579" "microbody" 1
0 1 5 11 "GO:0005778;GO:0031903" "peroxisomal membrane" 1
0 1 5 8 "GO:0005782;GO:0031907" "peroxisomal matrix" 1
0 1 4 182 "GO:0005783" "endoplasmic reticulum" 1
0 1 2 44 "GO:0005788" "endoplasmic reticulum lumen" 1
0 1 5 6 "GO:0005790" "smooth endoplasmic reticulum" 1
0 1 2 9 "GO:0005791" "rough endoplasmic reticulum" 1
0 1 3 16 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 1
0 1 2 11 "GO:0005795" "Golgi stack" 1
0 1 2 8 "GO:0005796" "Golgi lumen" 1
0 1 2 17 "GO:0005798" "Golgi-associated vesicle" 1
0 1 4 14 "GO:0005801" "cis-Golgi network" 1
0 1 2 19 "GO:0005811" "lipid droplet" 1
0 1 2 45 "GO:0005814" "centriole" 1
0 1 2 45 "GO:0005819" "spindle" 1
0 1 2 13 "GO:0005839" "proteasome core complex" 1
0 1 3 50 "GO:0005840" "ribosome" 1
0 1 3 9 "GO:0005844" "polysome" 1
0 1 2 9 "GO:0005845;GO:0034518" "RNA cap binding complex" 1
0 1 5 5 "GO:0005849" "mRNA cleavage factor complex" 1
0 1 3 7 "GO:0005868" "cytoplasmic dynein complex" 1
0 1 2 5 "GO:0005869" "dynactin complex" 1
0 1 3 10 "GO:0005876" "spindle microtubule" 1
0 1 5 13 "GO:0005881" "cytoplasmic microtubule" 1
0 1 2 12 "GO:0005884" "actin filament" 1
0 1 5 13 "GO:0005891;GO:0034704" "calcium channel complex" 1
0 1 4 13 "GO:0005901;GO:0044853" "caveola" 1
0 1 2 8 "GO:0005902" "microvillus" 1
0 1 2 9 "GO:0005903" "brush border" 1
0 1 2 24 "GO:0005905" "clathrin-coated pit" 1
0 1 2 6 "GO:0005921" "gap junction" 1
0 1 3 30 "GO:0005923;GO:0070160" "bicellular tight junction" 1
0 1 6 16 "GO:0008076;GO:0034705" "potassium channel complex" 1
0 1 3 7 "GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 1
0 1 4 6 "GO:0008305;GO:0098636" "integrin complex" 1
0 1 3 5 "GO:0009506" "plasmodesma" 1
0 1 3 9 "GO:0009536;GO:0009507" "plastid" 1
0 1 3 16 "GO:0009897" "external side of plasma membrane" 1
0 1 2 12 "GO:0009925" "basal plasma membrane" 1
0 1 4 6 "GO:0009941;GO:0009526" "chloroplast envelope" 1
0 1 2 77 "GO:0009986" "cell surface" 1
0 1 5 119 "GO:0010008;GO:0044440" "endosomal part" 1
0 1 3 5 "GO:0010494" "cytoplasmic stress granule" 1
0 1 2 29 "GO:0012505" "endomembrane system" 1
0 1 6 15 "GO:0015030" "Cajal body" 1
0 1 4 21 "GO:0015934" "large ribosomal subunit" 1
0 1 4 20 "GO:0015935" "small ribosomal subunit" 1
0 1 2 8 "GO:0016010;GO:0090665" "dystrophin-associated glycoprotein complex" 1
0 1 3 16 "GO:0016234" "inclusion body" 1
0 1 2 6 "GO:0016235" "aggresome" 1
0 1 2 8 "GO:0016272" "prefoldin complex" 1
0 1 4 8 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "eukaryotic 48S preinitiation complex" 1
0 1 2 32 "GO:0016323" "basolateral plasma membrane" 1
0 1 3 58 "GO:0016324" "apical plasma membrane" 1
0 1 3 5 "GO:0016327" "apicolateral plasma membrane" 1
0 1 2 6 "GO:0016328" "lateral plasma membrane" 1
0 1 2 31 "GO:0016363" "nuclear matrix" 1
0 1 4 5 "GO:0016442;GO:0031332" "RISC complex" 1
0 1 3 8 "GO:0016460" "myosin II complex" 1
0 1 5 7 "GO:0016461" "unconventional myosin complex" 1
0 1 2 6 "GO:0016469" "proton-transporting two-sector ATPase complex" 1
0 1 2 7 "GO:0016514" "SWI/SNF complex" 1
0 1 2 7 "GO:0016529" "sarcoplasmic reticulum" 1
0 1 5 17 "GO:0016592" "mediator complex" 1
0 1 6 28 "GO:0016605" "PML body" 1
0 1 2 8 "GO:0017119" "Golgi transport complex" 1
0 1 2 10 "GO:0019005" "SCF ubiquitin ligase complex" 1
0 1 2 6 "GO:0019773" "proteasome core complex, alpha-subunit complex" 1
0 1 2 20 "GO:0019897" "extrinsic component of plasma membrane" 1
0 1 2 74 "GO:0019898" "extrinsic component of membrane" 1
0 1 2 6 "GO:0022624" "proteasome accessory complex" 1
0 1 5 12 "GO:0022625" "cytosolic large ribosomal subunit" 1
0 1 2 6 "GO:0022626" "cytosolic ribosome" 1
0 1 2 9 "GO:0022627" "cytosolic small ribosomal subunit" 1
0 1 2 6 "GO:0030014" "CCR4-NOT complex" 1
0 1 2 5 "GO:0030016" "myofibril" 1
0 1 3 57 "GO:0030027" "lamellipodium" 1
0 1 3 5 "GO:0030118" "clathrin coat" 1
0 1 2 11 "GO:0030119" "AP-type membrane coat adaptor complex" 1
0 1 4 12 "GO:0030120;GO:0030117" "membrane coat" 1
0 1 4 8 "GO:0030131" "clathrin adaptor complex" 1
0 1 2 5 "GO:0030134" "COPII-coated ER to Golgi transport vesicle" 1
0 1 4 27 "GO:0030136;GO:0030135" "coated vesicle" 1
0 1 2 37 "GO:0030139" "endocytic vesicle" 1
0 1 2 7 "GO:0030140" "trans-Golgi network transport vesicle" 1
0 1 2 36 "GO:0030141" "secretory granule" 1
0 1 3 9 "GO:0030173;GO:0031228" "integral component of Golgi membrane" 1
0 1 3 26 "GO:0030176;GO:0031227" "intrinsic component of endoplasmic reticulum membrane" 1
0 1 4 5 "GO:0030285;GO:0098563" "integral component of synaptic vesicle membrane" 1
0 1 2 30 "GO:0030286" "dynein complex" 1
0 1 3 8 "GO:0030315" "T-tubule" 1
0 1 2 67 "GO:0030425" "dendrite" 1
0 1 2 37 "GO:0030426;GO:0030427" "site of polarized growth" 1
0 1 2 43 "GO:0030496" "midbody" 1
0 1 2 26 "GO:0030532;GO:0120114" "Sm-like protein family complex" 1
0 1 2 12 "GO:0030660;GO:0012507" "Golgi-associated vesicle membrane" 1
