"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.804239614471921 2 13 "GO:0000118" "histone deacetylase complex" 1
0 0.810687222931679 2 161 "GO:0000139" "Golgi membrane" 1
0 0.232803491288334 3 59 "GO:0000151" "ubiquitin ligase complex" 1
0 0.415856197543869 4 8 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.12945737549199 3 7 "GO:0000178;GO:1905354" "exosome (RNase complex)" 1
0 0.456949532916569 4 20 "GO:0000228" "nuclear chromosome" 1
0 0.0434286382709701 6 6 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.875396825396825
0 0.528403903824835 4 13 "GO:0000407" "phagophore assembly site" 1
0 0.663577899528301 2 10 "GO:0000421" "autophagosome membrane" 1
0 0.0198389449927698 3 20 "GO:0000502;GO:1905369" "proteasome complex" 0.633720930232558
0 0.723800917817168 2 32 "GO:0000776" "kinetochore" 1
0 0.351812625572274 4 18 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.338005890796426 3 20 "GO:0000781" "chromosome, telomeric region" 1
0 0.161019299036401 2 77 "GO:0000785" "chromatin" 1
0 0.0967649727867698 2 9 "GO:0000786;GO:0044815" "DNA packaging complex" 1
0 0.364110030261005 5 38 "GO:0000790" "nuclear chromatin" 1
0 0.196785841819619 3 10 "GO:0000791" "euchromatin" 1
0 0.839162708340134 2 21 "GO:0000792" "heterochromatin" 1
0 0.287194368643454 5 14 "GO:0000793" "condensed chromosome" 1
0 0.724930559892199 3 42 "GO:0000922" "spindle pole" 1
0 0.306553797984896 3 27 "GO:0000932" "P-body" 1
0 0.335115507657865 5 11 "GO:0001669" "acrosomal vesicle" 1
0 0.0498416152438278 4 17 "GO:0001725;GO:0042641;GO:0097517;GO:0032432" "actomyosin" 0.930882352941176
0 0.614384342143043 3 21 "GO:0001726" "ruffle" 1
0 0.0433961690973291 2 5 "GO:0001891" "phagocytic cup" 0.887096774193548
0 0.67491142188873 2 14 "GO:0002102" "podosome" 1
0 0.00260060086021881 1 194 "GO:0005576" "extracellular region" 0.2125
0 0.53120233062044 2 23 "GO:0005581" "collagen trimer" 1
0 0.52600234819204 4 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.285471372529633 2 152 "GO:0005615" "extracellular space" 1
0 0.569987295079854 3 9 "GO:0005618;GO:0030312" "cell wall" 1
0 0.0272175885046059 2 71 "GO:0005622" "intracellular" 0.697115384615385
0 0.0218058118259395 2 51 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.653333333333333
0 0.221079220595069 2 5 "GO:0005637" "nuclear inner membrane" 1
0 0.213709043361277 5 8 "GO:0005639;GO:0031229;GO:0044453" "integral component of nuclear inner membrane" 1
0 0.411536592208753 2 9 "GO:0005641" "nuclear envelope lumen" 1
0 0.126097932179776 3 17 "GO:0005643" "nuclear pore" 1
0 0.808147965457685 3 283 "GO:0005654" "nucleoplasm" 1
0 0.904513731626944 2 51 "GO:0005667" "transcription factor complex" 1
0 0.0971781784685612 6 6 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 0.656406494540958 3 81 "GO:0005681" "spliceosomal complex" 1
0 0.222311865354687 2 7 "GO:0005685" "U1 snRNP" 1
0 0.562765116074994 2 5 "GO:0005686" "U2 snRNP" 1
0 0.141475934983278 6 5 "GO:0005687" "U4 snRNP" 1
