"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.279180735245496 5 13 "GO:0000118" "histone deacetylase complex" 1
0 0.545541271184471 2 5 "GO:0000124" "SAGA complex" 1
0 0.543318261586608 4 161 "GO:0000139" "Golgi membrane" 1
0 0.567800452451974 2 59 "GO:0000151" "ubiquitin ligase complex" 1
0 0.62240927635726 4 8 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.0270400616536624 4 20 "GO:0000228" "nuclear chromosome" 0.712222222222222
0 0.440756949547568 4 8 "GO:0000242" "pericentriolar material" 1
0 0.0380129041501776 4 13 "GO:0000407" "phagophore assembly site" 0.770338983050847
0 0.301184061988231 2 10 "GO:0000421" "autophagosome membrane" 1
0 0.0129063604389417 2 20 "GO:0000502;GO:1905369" "proteasome complex" 0.53125
0 0.241989515542577 4 32 "GO:0000776" "kinetochore" 1
0 0.186866196075875 2 18 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.346738255361286 5 20 "GO:0000781" "chromosome, telomeric region" 1
0 0.538023235727673 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.430962344463467 2 77 "GO:0000785" "chromatin" 1
0 0.70752876688505 2 38 "GO:0000790" "nuclear chromatin" 1
0 0.778575345806333 5 21 "GO:0000792" "heterochromatin" 1
0 0.0969722495699291 5 14 "GO:0000793" "condensed chromosome" 1
0 0.0348810842910719 2 7 "GO:0000794" "condensed nuclear chromosome" 0.764545454545455
0 0.151198100965703 4 42 "GO:0000922" "spindle pole" 1
0 0.628585465635395 2 27 "GO:0000932" "P-body" 1
0 0.0315348722002118 4 11 "GO:0001669" "acrosomal vesicle" 0.801063829787234
0 0.235841355440574 4 21 "GO:0001726" "ruffle" 1
0 0.459359733673283 2 7 "GO:0001750" "photoreceptor outer segment" 1
0 0.105433752692844 3 5 "GO:0001891" "phagocytic cup" 1
0 0.012220738425785 4 14 "GO:0002102" "podosome" 0.517741935483871
0 0.0990695263600671 1 194 "GO:0005576" "extracellular region" 1
0 0.198249885914499 2 23 "GO:0005581" "collagen trimer" 1
0 0.208434378564096 2 31 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 1
0 0.373959435254211 2 152 "GO:0005615" "extracellular space" 1
0 0.77032070797131 2 9 "GO:0005618;GO:0030312" "cell wall" 1
0 0.000150708008572424 2 71 "GO:0005622" "intracellular" 0.0666666666666667
0 0.105639799043388 2 51 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.999557522123894
0 0.379481944043818 3 5 "GO:0005637" "nuclear inner membrane" 1
0 0.73733942880655 4 8 "GO:0005639;GO:0031229;GO:0044453" "nuclear membrane part" 1
0 0.0691569831013915 2 9 "GO:0005641" "nuclear envelope lumen" 0.935057471264368
0 0.269968361028577 4 17 "GO:0005643" "nuclear pore" 1
0 0.305820947800263 2 283 "GO:0005654" "nucleoplasm" 1
0 0.373416953402297 4 8 "GO:0005657" "replication fork" 1
0 0.644110647699574 7 6 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.584111573103479 2 51 "GO:0005667" "transcription factor complex" 1
0 0.576506065312184 6 6 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 1
0 0.544412499579726 4 81 "GO:0005681" "spliceosomal complex" 1
0 0.192777197373327 3 5 "GO:0005687" "U4 snRNP" 1
0 0.555758346599542 2 7 "GO:0005689" "U12-type spliceosomal complex" 1
0 0.124135391053108 4 68 "GO:0005694" "chromosome" 1
0 0.676779339999784 2 10 "GO:0005720" "nuclear heterochromatin" 1
0 0.156113524266377 4 248 "GO:0005730" "nucleolus" 1
0 0.150680437036221 2 5 "GO:0005732" "small nucleolar ribonucleoprotein complex" 1
0 0.187564471588887 2 282 "GO:0005739" "mitochondrion" 1
0 3.41502458483703e-05 2 32 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0
0 0.469531399251111 4 97 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.472916060186168 3 9 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 1
0 0.525378300943372 4 14 "GO:0005758" "mitochondrial intermembrane space" 1
0 0.315553627424593 2 49 "GO:0005759" "mitochondrial matrix" 1
0 0.589410545492868 5 5 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 1
0 0.493888490927627 2 6 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 1
0 0.106019073175525 4 74 "GO:0005764;GO:0000323" "lysosome" 0.992543859649123
0 0.100268373135352 5 67 "GO:0005765;GO:0098852" "lytic vacuole membrane" 0.995871559633028
0 0.00683113947027097 2 148 "GO:0005768" "endosome" 0.541666666666667
0 0.127084930968821 3 63 "GO:0005769" "early endosome" 1
0 0.139716410057611 3 27 "GO:0005770" "late endosome" 1
0 0.137156413878514 2 99 "GO:0005773" "vacuole" 1
0 0.0379216156311713 2 98 "GO:0005774;GO:0044437" "vacuolar part" 0.797368421052632
0 0.126868383255984 3 19 "GO:0005776" "autophagosome" 1
0 0.0800230702718857 3 41 "GO:0005777;GO:0042579" "microbody" 0.952083333333333
0 0.0738196163474926 3 11 "GO:0005778;GO:0031903" "microbody membrane" 0.930434782608696
0 0.00244234997691394 2 8 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.2375
0 0.0114318716289578 2 182 "GO:0005783" "endoplasmic reticulum" 0.55
