"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.380814577057669 2 11 "GO:0000049" "tRNA binding" 1
0 0.166490761807455 4 6 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
0 0.420361316004652 3 27 "GO:0000149" "SNARE binding" 1
0 0.54823697209054 6 6 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.709162852368084 2 11 "GO:0000217" "DNA secondary structure binding" 1
0 0.0283461143816958 2 54 "GO:0000287" "magnesium ion binding" 0.617142857142857
0 0.312850425110783 2 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 1
0 0.335452694528626 2 9 "GO:0000339" "RNA cap binding" 1
0 0.542660200213179 5 6 "GO:0000400" "four-way junction DNA binding" 1
0 0.715944775885893 2 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.895104678241281 3 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.783752058712262 2 40 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.541713719834446 2 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 1
0 0.854155592037524 3 31 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 1
0 0.0883499853675462 3 7 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.948496240601504
0 0.595685145928175 3 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 0.269133621980113 2 8 "GO:0001530" "lipopolysaccharide binding" 1
0 0.0995106493552172 2 8 "GO:0001540" "amyloid-beta binding" 0.966083916083916
0 0.0539708748020466 3 20 "GO:0001664" "G protein-coupled receptor binding" 0.804326923076923
0 0.239592036623095 3 8 "GO:0001786" "phosphatidylserine binding" 1
0 0.10088127739933 2 13 "GO:0002020" "protease binding" 0.949319727891157
0 0.151378918928615 2 14 "GO:0002039" "p53 binding" 1
0 0.0218718358309262 2 6 "GO:0002162" "dystroglycan binding" 0.5296875
0 0.181519702162624 2 116 "GO:0003682" "chromatin binding" 1
0 0.303867979771979 5 16 "GO:0003684" "damaged DNA binding" 1
0 0.339206649925904 2 86 "GO:0003690" "double-stranded DNA binding" 1
0 0.12143807800338 4 14 "GO:0003697" "single-stranded DNA binding" 0.969277108433735
