"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.328118393073643 5 7 "GO:0000030" "mannosyltransferase activity" 0.974715909090909
0 0.226332600585622 2 11 "GO:0000049" "tRNA binding" 0.908983050847458
0 0.111800479847985 3 7 "GO:0000146" "microfilament motor activity" 0.93132183908046
0 0.0297634040123271 3 27 "GO:0000149" "SNARE binding" 0.832575757575758
0 0.0659296153805003 2 6 "GO:0000175" "3'-5'-exoribonuclease activity" 0.807633587786259
0 0.230587769969056 2 11 "GO:0000217" "DNA secondary structure binding" 0.904651162790698
0 0.10327334818788 4 54 "GO:0000287" "magnesium ion binding" 0.941717791411043
0 0.181817660394784 6 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.92429718875502
0 0.179809737826625 2 9 "GO:0000339" "RNA cap binding" 0.931224489795918
0 0.174235996754096 3 6 "GO:0000400" "four-way junction DNA binding" 0.932708333333333
0 0.000431014706409259 2 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 0.22
0 0.00190274617076499 4 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.363636363636364
0 0.00821872946455541 2 40 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 0.510606060606061
0 0.00492743243958136 2 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.495
0 0.0167371502585311 2 31 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.786904761904762
0 0.177765207232037 4 7 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.928483606557377
0 0.00231709776494605 3 7 "GO:0001046" "core promoter sequence-specific DNA binding" 0.408333333333333
0 0.00726410866053563 3 15 "GO:0001047" "core promoter binding" 0.498275862068966
0 0.0136058207998379 4 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity, RNA polymerase II-specific" 0.697435897435897
0 0.496737091306431 2 8 "GO:0001530" "lipopolysaccharide binding" 1
0 0.207930141177922 4 8 "GO:0001540" "amyloid-beta binding" 0.926190476190476
0 0.0526830885065691 2 20 "GO:0001664" "G protein-coupled receptor binding" 0.867821782178218
0 0.101173647847213 2 8 "GO:0001786" "phosphatidylserine binding" 0.945625
0 0.0529522243636081 2 13 "GO:0002020" "protease binding" 0.848076923076923
0 0.2434482723703 3 14 "GO:0002039" "p53 binding" 0.899520766773163
0 0.510658346470033 3 6 "GO:0002162" "dystroglycan binding" 0.993004587155963
0 0.000807126255556382 2 116 "GO:0003682" "chromatin binding" 0.20625
0 0.230854634376039 2 16 "GO:0003684" "damaged DNA binding" 0.902317880794702
0 0.000599533879108022 2 86 "GO:0003690" "double-stranded DNA binding" 0.225
0 0.212533706443525 2 14 "GO:0003697" "single-stranded DNA binding" 0.920609318996416
0 4.3447476940636e-08 2 156 "GO:0003700" "DNA-binding transcription factor activity" 0
