"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.208524998036865 2 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.162255510479832 3 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.140101959401061 2 40 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.0257486460979844 2 13 "GO:0002020" "protease binding" 0.890384615384615
0 0.0460469843676817 3 6 "GO:0002162" "dystroglycan binding" 1
0 0.2470483293397 2 86 "GO:0003690" "double-stranded DNA binding" 1
0 0.340743004372799 2 156 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.909445928696299 2 320 "GO:0003723" "RNA binding" 1
0 0.120753332700466 4 14 "GO:0003727" "single-stranded RNA binding" 1
0 0.360851041226882 2 60 "GO:0003779" "actin binding" 1
0 0.0207373999779208 5 159 "GO:0004175" "endopeptidase activity" 0.861363636363636
0 0.00301978396394508 2 44 "GO:0004222" "metalloendopeptidase activity" 0.2
0 0.116158989404973 2 41 "GO:0004497" "monooxygenase activity" 1
0 0.587845236030781 2 94 "GO:0004518" "nuclease activity" 1
0 0.16701575320657 4 32 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 1
0 0.0372681619917472 4 5 "GO:0004659" "prenyltransferase activity" 1
0 0.162127358846888 2 188 "GO:0004888;GO:0038023;GO:0060089" "molecular transducer activity" 1
0 0.0154213084103781 5 5 "GO:0004890" "GABA-A receptor activity" 0.7325
0 0.176457327771933 2 170 "GO:0005102" "signaling receptor binding" 1
0 0.0418000525250743 2 22 "GO:0005178" "integrin binding" 1
0 0.277111549976157 1 168 "GO:0005198" "structural molecule activity" 1
0 0.15031396220516 2 21 "GO:0005200" "structural constituent of cytoskeleton" 1
0 0.0585649711145962 2 25 "GO:0005201" "extracellular matrix structural constituent" 1
0 0.0567550840190379 5 9 "GO:0005229;GO:0061778" "intracellular calcium activated chloride channel activity" 1
0 0.00296318261800715 3 16 "GO:0005230" "extracellular ligand-gated ion channel activity" 0.211538461538462
0 0.042681680311229 2 10 "GO:0005231" "excitatory extracellular ligand-gated ion channel activity" 1
0 0.0567912807201408 2 6 "GO:0005242" "inward rectifier potassium channel activity" 1
0 0.0772677924736047 4 15 "GO:0005245" "voltage-gated calcium channel activity" 1
0 7.87131722229934e-07 2 114 "GO:0005261;GO:0005216;GO:0022838;GO:0015267;GO:0022803" "channel activity" 0
0 0.0565221873228309 3 54 "GO:0005262;GO:0015085" "calcium ion transmembrane transporter activity" 1
0 5.68490267246879e-05 3 23 "GO:0005267;GO:0005249" "potassium channel activity" 0
0 0.249145507748603 2 73 "GO:0005506" "iron ion binding" 1
0 0.000246343816592397 2 242 "GO:0005509" "calcium ion binding" 0.0625
0 0.666094714313588 2 111 "GO:0005543" "phospholipid binding" 1
0 0.127653523140493 3 14 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 1
0 0.0985783720386827 3 62 "GO:0008047" "enzyme activator activity" 1
0 0.021846853581369 4 5 "GO:0008066" "glutamate receptor activity" 0.822916666666667
0 0.61067231840956 3 141 "GO:0008092" "cytoskeletal protein binding" 1
0 0.068549404753173 2 72 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 1
0 0.134264168005476 2 31 "GO:0008194" "UDP-glycosyltransferase activity" 1
0 0.0549571531414492 3 30 "GO:0008201;GO:0005539" "glycosaminoglycan binding" 1
0 0.00768461517203499 5 77 "GO:0008237" "metallopeptidase activity" 0.4
0 0.529591569376203 6 403 "GO:0008270" "zinc ion binding" 1
0 0.82703285870394 2 176 "GO:0008289" "lipid binding" 1
0 0.0681061008228454 2 9 "GO:0008307" "structural constituent of muscle" 1
0 0.0269872897181618 2 5 "GO:0008331" "high voltage-gated calcium channel activity" 0.9
0 0.0742248553479877 5 16 "GO:0008375" "acetylglucosaminyltransferase activity" 1
0 0.00244310965252708 2 11 "GO:0008484" "sulfuric ester hydrolase activity" 0.1875
0 0.0730062722190843 3 71 "GO:0008509" "anion transmembrane transporter activity" 1
0 0.00544543540384387 4 75 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.3125
