"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0449090350028248 2 7 "GO:0000146" "microfilament motor activity" 1
0 0.0592925251789318 3 54 "GO:0000287" "magnesium ion binding" 1
0 0.0423343416995902 6 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 0.998387096774194
0 0.0322444825700989 2 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.0552428894061253 4 8 "GO:0001540" "amyloid-beta binding" 1
0 0.0511751730327968 2 86 "GO:0003690" "double-stranded DNA binding" 1
0 0.000310338616224193 2 156 "GO:0003700" "DNA-binding transcription factor activity" 0.25
0 0.0188144170973882 2 84 "GO:0003712" "transcription coregulator activity" 0.789473684210526
0 0.012218479422154 2 56 "GO:0003713" "transcription coactivator activity" 0.784615384615385
0 0.0838917974367006 2 23 "GO:0003714" "transcription corepressor activity" 1
0 0.873115847054177 3 320 "GO:0003723" "RNA binding" 1
0 0.0915618847013661 2 73 "GO:0003774" "motor activity" 1
0 0.257955860560791 2 48 "GO:0003777" "microtubule motor activity" 1
0 0.323090458149669 2 60 "GO:0003779" "actin binding" 1
0 0.0160110565103628 2 159 "GO:0004175" "endopeptidase activity" 0.767647058823529
0 0.0399275820205628 2 44 "GO:0004222" "metalloendopeptidase activity" 1
0 0.00394043466752208 2 48 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 0.521428571428571
0 0.187862571478216 2 41 "GO:0004497" "monooxygenase activity" 1
0 0.0280943702496849 3 19 "GO:0004620" "phospholipase activity" 0.952272727272727
0 0.0107781684006779 3 7 "GO:0004622;GO:0004623" "lysophospholipase activity" 0.745833333333333
0 0.249697198757212 3 281 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 1
0 0.0861659828274279 2 166 "GO:0004674" "protein serine/threonine kinase activity" 1
0 0.0395199508024858 5 7 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 0.0141467230287401 3 51 "GO:0004857" "enzyme inhibitor activity" 0.832142857142857
0 0.00653811263022245 2 13 "GO:0004860;GO:0019210" "kinase inhibitor activity" 0.70625
0 0.0272501336379517 2 12 "GO:0005070;GO:0035591" "signaling adaptor activity" 0.971428571428571
0 0.00304535470297933 2 70 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.49
0 0.0944895242507112 3 242 "GO:0005509" "calcium ion binding" 1
0 0.111271542261687 2 18 "GO:0005516" "calmodulin binding" 1
0 0.550387153760642 2 111 "GO:0005543" "phospholipid binding" 1
0 0.0947341283782485 7 14 "GO:0005546" "phosphatidylinositol-4,5-bisphosphate binding" 1
0 0.163455438669402 2 58 "GO:0008017;GO:0015631" "tubulin binding" 1
0 0.0530756537072545 3 62 "GO:0008047" "enzyme activator activity" 1
0 0.215097149855956 2 141 "GO:0008092" "cytoskeletal protein binding" 1
0 0.00034928766270704 3 86 "GO:0008134" "transcription factor binding" 0.183333333333333
0 0.388054760291824 2 72 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 1
0 0.190843471341367 4 31 "GO:0008170" "N-methyltransferase activity" 1
0 0.0628442748070577 2 77 "GO:0008237" "metallopeptidase activity" 1
0 0.110993257774394 2 403 "GO:0008270" "zinc ion binding" 1
0 0.721599602653337 2 176 "GO:0008289" "lipid binding" 1
0 0.284347352321564 4 49 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 1
0 0.0401767586692904 2 28 "GO:0016298" "lipase activity" 1
0 0.669453483607612 2 316 "GO:0016491" "oxidoreductase activity" 1
0 0.261937306941227 2 61 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 1
0 0.0409206588193521 2 8 "GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 1
0 0.0681275757071621 2 383 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 0.299719089214689 3 90 "GO:0016779" "nucleotidyltransferase activity" 1
0 0.184815997514389 3 243 "GO:0016788" "hydrolase activity, acting on ester bonds" 1
0 0.294825881175483 2 177 "GO:0016874" "ligase activity" 1
0 0.113639148804739 2 170 "GO:0016887" "ATPase activity" 1
0 0.362912441717047 6 307 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 1
0 0.174099287566925 3 28 "GO:0018024;GO:0016279;GO:0042054;GO:0008276;GO:0016278" "protein methyltransferase activity" 1
0 0.257146586842974 2 138 "GO:0019787;GO:0004842" "ubiquitin-like protein transferase activity" 1
0 0.0142538823439164 2 30 "GO:0019887;GO:0019207" "kinase regulator activity" 0.78
0 0.0149670476809232 3 332 "GO:0019899" "enzyme binding" 0.76875
0 0.0164700218039565 3 82 "GO:0019904" "protein domain specific binding" 0.744444444444444
0 0.332266794523351 2 96 "GO:0022804" "active transmembrane transporter activity" 1
0 0.368606055470444 2 342 "GO:0022857;GO:0005215" "transporter activity" 1
0 0.00744675077809016 2 136 "GO:0030234" "enzyme regulator activity" 0.694444444444444
0 0.0698592310669189 2 33 "GO:0030674;GO:0060090" "molecular adaptor activity" 1
0 0.0240782323691465 2 55 "GO:0031625;GO:0044389" "ubiquitin-like protein ligase binding" 0.925
0 0.216735793645641 3 59 "GO:0034061;GO:0003964" "DNA polymerase activity" 1
0 0.444690588706827 2 82 "GO:0035091" "phosphatidylinositol binding" 1
0 0.300332167218981 2 50 "GO:0042277;GO:0033218" "amide binding" 1
0 0.18748627732093 3 119 "GO:0042623" "ATPase activity, coupled" 1
0 0.161888103643331 3 39 "GO:0042626;GO:0015405;GO:0043492;GO:0015399" "P-P-bond-hydrolysis-driven transmembrane transporter activity" 1
0 0.379070714638085 2 212 "GO:0042802" "identical protein binding" 1
0 0.350396829220859 2 179 "GO:0042803;GO:0046983" "protein dimerization activity" 1
0 0.0511508235241901 4 8 "GO:0043531" "ADP binding" 1
0 0.0408104226977027 2 152 "GO:0043565" "sequence-specific DNA binding" 1
0 0.0104436536832042 2 96 "GO:0044212;GO:0001067" "transcription regulatory region DNA binding" 0.795454545454545
0 0.515660838321937 2 113 "GO:0044877" "protein-containing complex binding" 1
0 0.5617699704592 2 195 "GO:0048037" "cofactor binding" 1
