"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0346934281049063 2 7 "GO:0000030" "mannosyltransferase activity" 0.87910447761194
0 0.104764529504638 6 6 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
0 0.336457641917243 2 7 "GO:0000146" "microfilament motor activity" 1
0 0.718040836929916 3 27 "GO:0000149" "SNARE binding" 1
0 0.109611830081144 5 6 "GO:0000175" "3'-5'-exoribonuclease activity" 1
0 0.851034253859589 3 11 "GO:0000217" "DNA secondary structure binding" 1
0 0.599750625247625 5 54 "GO:0000287" "magnesium ion binding" 1
0 0.00724144427669336 2 5 "GO:0000295" "adenine nucleotide transmembrane transporter activity" 0.3575
0 0.677012524563087 2 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.546561516332556 3 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.790372462551906 2 40 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.738697750072779 4 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 1
0 0.00035621986516824 3 31 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.0772727272727273
0 0.0601800299918432 2 7 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 1
0 0.156115630285841 2 7 "GO:0001046" "core promoter sequence-specific DNA binding" 1
0 0.305556068640969 2 15 "GO:0001047" "core promoter binding" 1
0 0.270948624307053 3 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 1
0 0.107537671558895 3 8 "GO:0001530" "lipopolysaccharide binding" 1
0 0.235888169356423 2 8 "GO:0001540" "amyloid-beta binding" 1
0 0.437258742572945 4 20 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.141203983066899 4 13 "GO:0002020" "protease binding" 1
0 0.299987002172082 3 14 "GO:0002039" "p53 binding" 1
0 0.620051318150785 2 116 "GO:0003682" "chromatin binding" 1
0 0.338078331388247 2 16 "GO:0003684" "damaged DNA binding" 1
0 0.809515638622079 2 86 "GO:0003690" "double-stranded DNA binding" 1
0 0.305983405383642 2 14 "GO:0003697" "single-stranded DNA binding" 1
0 0.32666284561677 2 156 "GO:0003700" "DNA-binding transcription factor activity" 1
0 0.0169015196972595 3 6 "GO:0003707" "steroid hormone receptor activity" 0.591509433962264
0 0.943134012762442 2 84 "GO:0003712" "transcription coregulator activity" 1
0 0.866072727303976 3 56 "GO:0003713" "transcription coactivator activity" 1
0 0.69147510863316 3 23 "GO:0003714" "transcription corepressor activity" 1
0 0.00299496920005203 4 320 "GO:0003723" "RNA binding" 0.214516129032258
0 0.40808882963087 2 16 "GO:0003725" "double-stranded RNA binding" 1
0 0.567980886484075 2 14 "GO:0003727" "single-stranded RNA binding" 1
0 0.14612371704263 2 39 "GO:0003729" "mRNA binding" 1
0 0.438408667294145 3 8 "GO:0003730" "mRNA 3'-UTR binding" 1
0 8.18302658604333e-42 2 71 "GO:0003735" "structural constituent of ribosome" 0
0 0.031672776625986 3 25 "GO:0003743" "translation initiation factor activity" 0.835384615384615
0 0.00280582092081478 3 8 "GO:0003746" "translation elongation factor activity" 0.211666666666667
0 0.00168433186537393 2 20 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.19047619047619
0 0.23839426855416 4 9 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 1
0 0.935916348531438 2 73 "GO:0003774" "motor activity" 1
0 0.919607017646922 3 48 "GO:0003777" "microtubule motor activity" 1
0 0.236087647407729 4 60 "GO:0003779" "actin binding" 1
