"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.157641041418945 5 7 "GO:0000030" "mannosyltransferase activity" 1
0 0.249315884316042 2 11 "GO:0000049" "tRNA binding" 1
0 0.533543819773088 2 6 "GO:0000062;GO:1901567" "fatty-acyl-CoA binding" 1
0 0.0589142575163786 5 7 "GO:0000146" "microfilament motor activity" 0.85625
0 0.920171364117912 3 27 "GO:0000149" "SNARE binding" 1
0 0.184483799912697 5 11 "GO:0000217" "DNA secondary structure binding" 1
0 0.144634501294618 5 54 "GO:0000287" "magnesium ion binding" 1
0 0.27393044212743 2 9 "GO:0000339" "RNA cap binding" 1
0 0.101106412680731 2 6 "GO:0000400" "four-way junction DNA binding" 0.898773006134969
0 0.328730550595965 2 67 "GO:0000976;GO:1990837" "sequence-specific double-stranded DNA binding" 1
0 0.492926240932842 2 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 1
0 0.214144777102652 2 40 "GO:0000978;GO:0000987" "proximal promoter sequence-specific DNA binding" 1
0 0.0957538971465194 4 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.908064516129032
0 0.0810996770729217 3 31 "GO:0000981" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.9
0 0.602674990186082 2 15 "GO:0001047" "core promoter binding" 1
0 0.0957538971465194 3 6 "GO:0001228;GO:0001216" "DNA-binding transcription activator activity" 0.908064516129032
0 0.312581837327014 2 8 "GO:0001530" "lipopolysaccharide binding" 1
0 0.692226847172859 3 20 "GO:0001664" "G protein-coupled receptor binding" 1
0 0.391948972631276 2 8 "GO:0001786" "phosphatidylserine binding" 1
0 0.0823787285624777 4 13 "GO:0002020" "protease binding" 0.902142857142857
0 0.184879158921797 2 14 "GO:0002039" "p53 binding" 1
0 0.335774383234737 2 116 "GO:0003682" "chromatin binding" 1
0 0.506799314157438 5 16 "GO:0003684" "damaged DNA binding" 1
0 0.275539706545575 3 86 "GO:0003690" "double-stranded DNA binding" 1
0 0.394887777834498 5 14 "GO:0003697" "single-stranded DNA binding" 1
0 0.0132407919585495 2 156 "GO:0003700" "DNA-binding transcription factor activity" 0.7953125
0 0.0964695548513216 3 6 "GO:0003707" "steroid hormone receptor activity" 0.895253164556962
0 0.0341484811507575 2 84 "GO:0003712" "transcription coregulator activity" 0.859558823529412
0 0.0158572996727652 2 56 "GO:0003713" "transcription coactivator activity" 0.769230769230769
0 0.230107534341773 2 23 "GO:0003714" "transcription corepressor activity" 1
0 0.24973305903202 4 320 "GO:0003723" "RNA binding" 1
0 0.753904924186124 5 16 "GO:0003725" "double-stranded RNA binding" 1
0 0.272444200617493 2 14 "GO:0003727" "single-stranded RNA binding" 1
0 0.37383392036927 2 39 "GO:0003729" "mRNA binding" 1
0 0.217220541112604 2 8 "GO:0003730" "mRNA 3'-UTR binding" 1
0 0.502265958447846 2 71 "GO:0003735" "structural constituent of ribosome" 1
0 0.0919328713877497 3 25 "GO:0003743" "translation initiation factor activity" 0.918120805369128
0 0.407243221723116 5 8 "GO:0003746" "translation elongation factor activity" 1
0 0.79217610049315 3 20 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.250997280950371 4 9 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 1
0 0.0412116967508586 2 73 "GO:0003774" "motor activity" 0.818023255813953
0 0.0350969438840334 2 48 "GO:0003777" "microtubule motor activity" 0.816438356164384
0 0.0232523056440958 2 60 "GO:0003779" "actin binding" 0.771296296296296
0 0.733905396309079 4 21 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 0.787813592126852 5 15 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 0.0765000426779144 7 60 "GO:0003924" "GTPase activity" 0.919230769230769
0 0.361142540151413 5 14 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 1
0 0.0798413492189076 4 5 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.902189781021898
0 0.419282548950261 2 28 "GO:0004003;GO:0003678" "DNA helicase activity" 1
0 0.0500124929232618 3 23 "GO:0004004;GO:0003724;GO:0008186" "RNA-dependent ATPase activity" 0.84
0 0.00187906107618001 2 6 "GO:0004033" "aldo-keto reductase (NADP) activity" 0.269230769230769
0 0.014618127409666 2 5 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.780555555555556
0 0.173922139760851 2 6 "GO:0004065;GO:0003943" "arylsulfatase activity" 1
0 0.0987881893184786 5 6 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.89472049689441
0 0.190666637936924 2 159 "GO:0004175" "endopeptidase activity" 1
0 0.0399677442343367 3 5 "GO:0004176" "ATP-dependent peptidase activity" 0.828313253012048
0 0.665155263123431 2 20 "GO:0004177" "aminopeptidase activity" 1
0 0.020271365690523 5 14 "GO:0004180" "carboxypeptidase activity" 0.718627450980392
0 0.209737542613326 2 7 "GO:0004181" "metallocarboxypeptidase activity" 1
0 0.0490057448492443 5 27 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.841836734693878
0 0.254669184216758 2 32 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.0619113811368171 2 5 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.863793103448276
0 0.835382819829046 -1 26 "GO:0004221" "obsolete ubiquitin thiolesterase activity" 1
0 0.0162494731842136 6 44 "GO:0004222" "metalloendopeptidase activity" 0.75
0 0.566806648591254 2 48 "GO:0004252;GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.184109013515113 5 13 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 1
0 0.0959347873968552 4 5 "GO:0004364" "glutathione transferase activity" 0.903205128205128
0 0.796592104266558 4 90 "GO:0004386" "helicase activity" 1
0 0.0808340895122664 3 19 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.903623188405797
0 0.0216351894849021 2 41 "GO:0004497" "monooxygenase activity" 0.742307692307692
0 0.288040172876685 2 94 "GO:0004518" "nuclease activity" 1
0 0.233691809702981 3 66 "GO:0004519" "endonuclease activity" 1
0 0.348158587354553 2 14 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 1
0 0.277761487300187 2 21 "GO:0004521" "endoribonuclease activity" 1
0 0.132419826315727 2 5 "GO:0004525;GO:0032296" "ribonuclease III activity" 0.984972677595628
0 0.106028439030829 3 21 "GO:0004527" "exonuclease activity" 0.913855421686747
0 0.334262833101224 3 30 "GO:0004540" "ribonuclease activity" 1
0 0.599509785311425 2 32 "GO:0004553" "hydrolase activity, hydrolyzing O-glycosyl compounds" 1
0 0.347268523821382 3 16 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 1
0 0.437771218895368 3 19 "GO:0004620" "phospholipase activity" 1
0 0.215322401912624 2 7 "GO:0004622;GO:0004623" "lysophospholipase activity" 1
0 5.29252471166853e-05 2 281 "GO:0004672;GO:0016301;GO:0016773" "kinase activity" 0.05
0 0.000936644486266653 3 166 "GO:0004674" "protein serine/threonine kinase activity" 0.271428571428571
0 0.0639831919228064 4 11 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.85
0 0.340334747348493 4 13 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 1
0 0.0117242555961417 -1 12 "GO:0004702" "obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity" 0.770689655172414
0 0.155137398016378 5 7 "GO:0004709" "MAP kinase kinase kinase activity" 1
0 0.0442696015157822 3 11 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.818681318681319
0 2.65686601136316e-06 3 64 "GO:0004713" "protein tyrosine kinase activity" 0
0 2.91014598169255e-06 2 41 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0
0 0.0626804414258148 4 12 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.857203389830508
0 0.294392795483207 2 58 "GO:0004721" "phosphoprotein phosphatase activity" 1
0 0.223071468325977 5 39 "GO:0004725" "protein tyrosine phosphatase activity" 1
0 0.0616798920495771 2 6 "GO:0004806" "triglyceride lipase activity" 0.874122807017544
0 0.177178676920053 3 10 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 1
0 0.832220652529032 2 40 "GO:0004843;GO:0036459;GO:0019783;GO:0101005" "ubiquitin-like protein-specific protease activity" 1
0 0.0049723869301776 2 51 "GO:0004857" "enzyme inhibitor activity" 0.516666666666667
0 0.235756168435543 2 13 "GO:0004860;GO:0019210" "kinase inhibitor activity" 1
0 0.0393542219025937 2 8 "GO:0004867" "serine-type endopeptidase inhibitor activity" 0.826219512195122
0 0.106829236165502 2 11 "GO:0004869" "cysteine-type endopeptidase inhibitor activity" 0.91437125748503
0 0.0631245754034425 -1 39 "GO:0004871" "obsolete signal transducer activity" 0.85672268907563
0 0.0066435794287589 3 188 "GO:0004888;GO:0038023;GO:0060089" "molecular transducer activity" 0.565909090909091
0 0.304322785837725 4 66 "GO:0004930" "G protein-coupled receptor activity" 1
0 0.66531309078109 2 6 "GO:0004931;GO:0035381;GO:0001614;GO:0016502;GO:0035586" "extracellularly ATP-gated cation channel activity" 1
0 1.58919643205664e-07 3 9 "GO:0005007" "fibroblast growth factor-activated receptor activity" 0
