gene,Fish_kME
isogroup102599,0
isogroup104240,0.389294053548415
isogroup105458,0
isogroup105702,0
isogroup106223,0
isogroup110244,0
isogroup113433,0.291364168857102
isogroup113853,0
isogroup113900,0
isogroup114019,0
isogroup114288,0
isogroup114367,0
isogroup114763,0
isogroup115050,0.538432812473617
isogroup115090,0
isogroup115953,0
isogroup116182,0
isogroup116184,0
isogroup116251,0
isogroup116908,0
isogroup116942,0
isogroup117930,0
isogroup118667,0
isogroup118755,0
isogroup118924,0
isogroup118930,0
isogroup119307,0
isogroup120422,0.312110744559171
isogroup122237,0
isogroup123082,0
isogroup124281,0
isogroup124898,0
isogroup125900,0.61166413635274
isogroup130031,0.445934801594004
isogroup133061,0.585137503246401
isogroup140277,0
isogroup142976,0.484934539594077
isogroup146709,0
isogroup146806,0.506413478446682
isogroup14872,0.510928859842766
isogroup14980,0.45423219878906
isogroup152948,0.708852984862565
isogroup153029,0
isogroup154063,0
isogroup154968,0
isogroup157573,0.394067256185968
isogroup157759,0
isogroup158048,0
isogroup158209,0.441883483871911
isogroup158912,0
isogroup158913,0
isogroup159809,0
isogroup160097,0
isogroup160162,0.615121497998202
isogroup160968,0.516764225510163
isogroup162207,0
isogroup163010,0
isogroup163442,0.466529715704324
isogroup163621,0
isogroup164008,0
isogroup164058,0
isogroup164286,0
isogroup164424,0
isogroup165366,0
isogroup166275,0
isogroup166343,0
isogroup166910,0
isogroup167711,0.138687193807333
isogroup168670,0
isogroup169281,0
isogroup170117,0
isogroup170202,0
isogroup170422,0.76469578088586
isogroup170439,0
isogroup170472,0
isogroup170945,0
isogroup171107,0
isogroup171278,0
isogroup171331,0
isogroup171636,0
isogroup171888,0
isogroup172265,0
isogroup172319,0
isogroup173206,0
isogroup174422,0
isogroup175455,0
isogroup176171,0
isogroup178374,0
isogroup179334,0.519024155781546
isogroup180582,0
isogroup180782,0
isogroup181105,0.282408165567958
isogroup181178,0
isogroup181418,0
isogroup181626,0
isogroup181767,0.551333260668911
isogroup181824,0.538241794562759
isogroup181962,0
isogroup182114,0
isogroup182220,0.285891088036143
isogroup182230,0
isogroup182542,0
isogroup182604,0
isogroup183030,0
isogroup183181,0
isogroup183951,0
isogroup183977,0
isogroup184215,0.584897666813888
isogroup184296,0
isogroup184452,0
isogroup184489,0
isogroup184505,0
isogroup184937,0
isogroup185030,0
isogroup185119,0
isogroup186155,0
isogroup186224,0
isogroup186434,0
isogroup186490,0
isogroup186544,0.508252562561574
isogroup186680,0
isogroup186828,0
isogroup186909,0
isogroup187224,0
isogroup187244,0
isogroup187673,0
isogroup188399,0
isogroup188410,0
isogroup189997,0.249582864164121
isogroup19005,0.593472812811216
isogroup190063,0.699753292513155
isogroup190277,0
isogroup190471,0.443952920596553
isogroup190862,0
isogroup191109,0
isogroup191133,0
isogroup191822,0
isogroup191908,0
isogroup192222,0
isogroup192344,0
isogroup192800,0
isogroup192804,0
isogroup192841,0
isogroup192865,0
isogroup193130,0
isogroup193149,0
isogroup193216,0
isogroup193340,0
isogroup193460,0
isogroup193681,0
isogroup193889,0
isogroup193905,0
isogroup194154,0
isogroup194269,0
isogroup195063,0
isogroup195752,0
isogroup196172,0
isogroup196972,0
isogroup197015,0
isogroup198097,0
isogroup198136,0.487323767548284
isogroup198226,0
isogroup198372,0
isogroup198410,0
isogroup198603,0.388436154393461
isogroup198710,0
isogroup198814,0
isogroup199052,0
isogroup199145,0
isogroup199342,0
isogroup199356,0.572519327407298
isogroup199897,0
isogroup200216,0
isogroup200392,0
isogroup200416,0.510369092913456
isogroup200458,0
isogroup200495,0
isogroup200630,0
isogroup200665,0
isogroup200748,0.601811365029228
isogroup201620,0
isogroup201858,0
isogroup202520,0
isogroup202816,0
isogroup202832,0
isogroup202848,0
isogroup202884,0
isogroup202975,0
isogroup203058,0
isogroup203113,0
isogroup203667,0.354118912622167
isogroup203814,0.41512273328376
isogroup203904,0
isogroup204047,0
isogroup204187,0
isogroup204440,0.570961051546651
isogroup204456,0.55392765629275
isogroup204462,0
isogroup204883,0.476377190382992
isogroup204898,0
isogroup204915,0
isogroup204945,0
isogroup205042,0
isogroup205085,0
isogroup205167,0
isogroup205220,0
isogroup205247,0
isogroup205284,0
isogroup205436,0
isogroup205447,0
isogroup205537,0
isogroup205877,0
isogroup205903,0
isogroup206406,0
isogroup206492,0.210927141763522
isogroup206864,0
isogroup206888,0
isogroup206997,0
isogroup207120,0.707133007612104
isogroup207178,0.580239371181966
isogroup207247,0
isogroup207281,0
isogroup207299,0
isogroup207308,0
isogroup207889,0.705714392322243
isogroup208012,0
isogroup208144,0
isogroup208178,0
isogroup208294,0
isogroup208364,0
isogroup208580,0
isogroup208968,0
isogroup209007,0
isogroup209101,0
isogroup209184,0
isogroup209279,0
isogroup209373,0
isogroup209409,0
isogroup209421,0
isogroup209442,0
isogroup209500,0
isogroup209701,0.136693885282618
isogroup209733,0
isogroup209741,0
isogroup209803,0
isogroup209862,0
isogroup209916,0
isogroup210006,0.529876628081407
isogroup210144,0.557959202029008
isogroup210222,0.244166878538711
isogroup210470,0
isogroup210680,0
isogroup210716,0
isogroup210823,0
isogroup210855,0
isogroup210867,0
isogroup210954,0
isogroup211169,0
isogroup211249,0
isogroup211295,0
isogroup211395,0
isogroup211493,0
isogroup211537,0
isogroup211585,0
isogroup211633,0
isogroup211701,0
isogroup211774,0
isogroup211819,0
isogroup211841,0
isogroup212027,0
isogroup212143,0
isogroup212376,0
isogroup212390,0
isogroup212425,0
isogroup212530,0
isogroup212554,0
isogroup212710,0
isogroup212744,0
isogroup212862,0
isogroup212880,0
isogroup212924,0
isogroup213234,0
isogroup213268,0
isogroup213288,0.485709185514689
isogroup213331,0
isogroup213377,0
isogroup213522,0
isogroup213550,0.475338764223821
isogroup213590,0.558553368699806
isogroup213642,0.489335394311084
isogroup213699,0
isogroup213858,0
isogroup214065,0.405123107053613
isogroup214251,0
isogroup214261,0
isogroup214289,0.424497830061983
isogroup214868,0
isogroup214922,0
isogroup214956,0.429690510858349
isogroup215100,0
isogroup215219,0.354525712740885
isogroup215297,0.369862383216864
isogroup215311,0
isogroup215312,0
isogroup215439,0
isogroup215647,0.424590339018139
isogroup215663,0
isogroup215734,0
isogroup215771,0
isogroup215902,0.424524198500916
isogroup215969,0
isogroup215983,0
isogroup216051,0
isogroup216089,0
isogroup216133,0
isogroup216186,0
isogroup216208,0
isogroup216267,0
isogroup216283,0
isogroup216303,0
isogroup216331,0
isogroup216357,0
isogroup216379,0
isogroup216470,0
isogroup216490,0
isogroup216550,0
isogroup216587,0
isogroup216588,0
isogroup216645,0
isogroup216694,0
isogroup216710,0
isogroup216770,0
isogroup216831,0
isogroup216862,0.64102043571871
isogroup216882,0
isogroup216954,0
isogroup217012,0
isogroup217143,0
isogroup217199,0.540182460775207
isogroup217296,0
isogroup217301,0
isogroup217580,0
isogroup217610,0
isogroup217617,0
isogroup217635,0
isogroup217730,0.725624321702233
isogroup217735,0
isogroup217736,0
isogroup217755,0
isogroup217761,0
isogroup217795,0
isogroup217809,0.413416609841608
isogroup217839,0
isogroup217868,0.467140595330205
isogroup217938,0
isogroup217977,0.611311645902331
isogroup218043,0
isogroup218095,0
isogroup218127,0.444040738865085
isogroup218281,0
isogroup218333,0
isogroup218514,0
isogroup218516,0
isogroup218604,0
isogroup218638,0.443103378477344
isogroup218639,0
isogroup218642,0.0725489476238686
isogroup218745,0
isogroup218892,0
isogroup219049,0
isogroup219097,0
isogroup219121,0
isogroup219146,0
isogroup219173,0
isogroup219487,0
isogroup219615,0
isogroup219640,0
isogroup219757,0
isogroup219882,0
isogroup219897,0
isogroup219905,0
isogroup219928,0.639877015169161
isogroup219940,0
isogroup219986,0
isogroup220063,0
isogroup220093,0
isogroup220121,0
isogroup220150,0
isogroup220164,0
isogroup220194,0
isogroup220357,0
isogroup220478,0
isogroup220480,0
isogroup220640,0
isogroup220758,0
