gene,Fish_kME
isogroup102599,0.187091192171236
isogroup104240,0.389294053548415
isogroup105458,-0.054538551086708
isogroup105702,0.356458082164031
isogroup106223,0.256680284671745
isogroup110244,0.233652460724237
isogroup113433,0.291364168857102
isogroup113853,-0.00740949768450296
isogroup113900,-0.484975804614613
isogroup114019,0.202140092249895
isogroup114288,-0.26691875833688
isogroup114367,-0.235670672628417
isogroup114763,-0.169093513846943
isogroup115050,0.538432812473617
isogroup115090,-0.14479423968651
isogroup115953,0.0705565000494255
isogroup116182,-0.908424866270185
isogroup116184,-0.773117945018107
isogroup116251,-0.558252676203177
isogroup116908,0.396162098121492
isogroup116942,-0.393256263103595
isogroup117930,-0.226160121305702
isogroup118667,-0.195030334853202
isogroup118755,-0.286355620895798
isogroup118924,-0.456684731849174
isogroup118930,-0.259065517335989
isogroup119307,0.169093600696863
isogroup120422,0.312110744559171
isogroup122237,-0.47150604060846
isogroup123082,-0.128900730502163
isogroup124281,0.167638143776148
isogroup124898,-0.439691404600394
isogroup125900,0.61166413635274
isogroup130031,0.445934801594004
isogroup133061,0.585137503246401
isogroup140277,0.146812142558527
isogroup142976,0.484934539594077
isogroup146709,0.35195078197204
isogroup146806,0.506413478446682
isogroup14872,0.510928859842766
isogroup14980,0.45423219878906
isogroup152948,0.708852984862565
isogroup153029,-0.553264627277443
isogroup154063,-0.304494007177808
isogroup154968,-0.577468398232944
isogroup157573,0.394067256185968
isogroup157759,-0.42437897570068
isogroup158048,-0.479133827738879
isogroup158209,0.441883483871911
isogroup158912,-0.0901196101168086
isogroup158913,0.118980706101269
isogroup159809,-0.626745418592905
isogroup160097,-0.583372838368755
isogroup160162,0.615121497998202
isogroup160968,0.516764225510163
isogroup162207,0.230089016424205
isogroup163010,-0.591353807663226
isogroup163442,0.466529715704324
isogroup163621,-0.214792521435526
isogroup164008,-0.19489927687981
isogroup164058,-0.427693196346089
isogroup164286,-0.535129996090263
isogroup164424,0.304976103067721
isogroup165366,-0.00281043201453008
isogroup166275,0.262563590488104
isogroup166343,-0.228605491215652
isogroup166910,-0.770862120577746
isogroup167711,0.138687193807333
isogroup168670,0.176358864610715
isogroup169281,-0.0160802514564147
isogroup170117,-0.797029889832085
isogroup170202,-0.318196041561267
isogroup170422,0.76469578088586
isogroup170439,-0.34441170844712
isogroup170472,-0.147542844862651
isogroup170945,-0.884252970511448
isogroup171107,-0.0832556041963548
isogroup171278,0.0255154956370219
isogroup171331,-0.142489608464844
isogroup171636,-0.900595736455695
isogroup171888,-0.808198763195826
isogroup172265,0.42614714708944
isogroup172319,0.199053002820859
isogroup173206,-0.683112342752327
isogroup174422,-0.0935974562301697
isogroup175455,0.127158431953913
isogroup176171,-0.0714662808182917
isogroup178374,0.23417936386723
isogroup179334,0.519024155781546
isogroup180582,-0.554643417221407
isogroup180782,-0.67783915828599
isogroup181105,0.282408165567958
isogroup181178,-0.35562299229313
isogroup181418,0.0922893572488261
isogroup181626,-0.0693700320967759
isogroup181767,0.551333260668911
isogroup181824,0.538241794562759
isogroup181962,-0.486821368818354
isogroup182114,-0.211905324836411
isogroup182220,0.285891088036143
isogroup182230,-0.105595621119765
isogroup182542,0.181703615853424
isogroup182604,-0.023410696984231
isogroup183030,0.0844464218084497
isogroup183181,-0.167326710405794
isogroup183951,0.412817344100166
isogroup183977,-0.542948987273799
isogroup184215,0.584897666813888
isogroup184296,0.262800751013816
isogroup184452,-0.174701118277652
isogroup184489,0.149742880142083
isogroup184505,0.358049528762374
isogroup184937,-0.537820155066745
isogroup185030,-0.41442717033993
isogroup185119,0.344334274023935
isogroup186155,-0.214743350614494
isogroup186224,0.212517734297919
isogroup186434,-0.218991809546484
isogroup186490,-0.443531808380429
isogroup186544,0.508252562561574
isogroup186680,-0.181630538020781
isogroup186828,0.101543901180369
isogroup186909,-0.217504273987652
isogroup187224,0.322037590339261
isogroup187244,-0.391829936409256
isogroup187673,-0.052788635078316
isogroup188399,-0.539529178762183
isogroup188410,-0.33203955377896
isogroup189997,0.249582864164121
isogroup19005,0.593472812811216
isogroup190063,0.699753292513155
isogroup190277,-0.250442516279545
isogroup190471,0.443952920596553
isogroup190862,-0.129928013267982
isogroup191109,-0.305558004525285
isogroup191133,-0.508154125162235
isogroup191822,-0.231075271123078
isogroup191908,0.437204531612005
isogroup192222,-0.0215798673726497
isogroup192344,-0.105623111174915
isogroup192800,-0.807201867863775
isogroup192804,-0.858492759743438
isogroup192841,-0.816299404876655
isogroup192865,-0.262351634176392
isogroup193130,-0.645431275142638
isogroup193149,0.0801140258473809
isogroup193216,-0.828493879786737
isogroup193340,0.0663610160601303
isogroup193460,-0.0289811898224913
