gene,Fish_kME
isogroup102599,0
isogroup104240,0
isogroup105458,0.347768928706808
isogroup105702,0
isogroup106223,0.531607809322228
isogroup110244,0
isogroup113433,0
isogroup113853,0
isogroup113900,0.408600919535445
isogroup114019,0
isogroup114288,0
isogroup114367,0.280876292200486
isogroup114763,0.656212727229301
isogroup115050,0
isogroup115090,0
isogroup115953,0.617988001383462
isogroup116182,0
isogroup116184,0
isogroup116251,0
isogroup116908,0
isogroup116942,0
isogroup117930,0.441614303776462
isogroup118667,0
isogroup118755,0
isogroup118924,0
isogroup118930,0
isogroup119307,0
isogroup120422,0
isogroup122237,0
isogroup123082,0.40469212978945
isogroup124281,0
isogroup124898,0
isogroup125900,0
isogroup130031,0
isogroup133061,0
isogroup140277,0.56169210731349
isogroup142976,0
isogroup146709,0
isogroup146806,0
isogroup14872,0
isogroup14980,0
isogroup152948,0
isogroup153029,0
isogroup154063,0
isogroup154968,0.377315815954772
isogroup157573,0
isogroup157759,0
isogroup158048,0
isogroup158209,0
isogroup158912,0
isogroup158913,0.466282681477227
isogroup159809,0.393909848766218
isogroup160097,0
isogroup160162,0
isogroup160968,0
isogroup162207,0
isogroup163010,0
isogroup163442,0
isogroup163621,0.119524372870342
isogroup164008,0.371279623057016
isogroup164058,0.493389639091672
isogroup164286,0.33121915634256
isogroup164424,0
isogroup165366,0.436369078006282
isogroup166275,0.407538133636457
isogroup166343,0
isogroup166910,0
isogroup167711,0
isogroup168670,0.587391154118435
isogroup169281,0.15203913116878
isogroup170117,0
isogroup170202,0.496403783758307
isogroup170422,0
isogroup170439,0
isogroup170472,0
isogroup170945,0
isogroup171107,0.555168865929136
isogroup171278,0.0879560027424741
isogroup171331,0
isogroup171636,0
isogroup171888,0
isogroup172265,0.0643794233849166
isogroup172319,0.0914092883261484
isogroup173206,0
isogroup174422,0.22906558745135
isogroup175455,0
isogroup176171,0
isogroup178374,0
isogroup179334,0
isogroup180582,0
isogroup180782,0.717717551061601
isogroup181105,0
isogroup181178,0.435306065053918
isogroup181418,0.452667182640268
isogroup181626,0.117738822633885
isogroup181767,0
isogroup181824,0
isogroup181962,0
isogroup182114,0.612776140569542
isogroup182220,0
isogroup182230,0
isogroup182542,0.231194044322484
isogroup182604,0.531811852649777
isogroup183030,0.07396665258743
isogroup183181,0.430343372092344
isogroup183951,0
isogroup183977,0.41628787629577
isogroup184215,0
isogroup184296,0.143000937920946
isogroup184452,0.144366543089665
isogroup184489,-0.245412278131673
isogroup184505,0.457420793225756
