name	term	lev	seq	value
"aminopeptidase activity"	GO:0004177	2	isogroup236730	0
"aminopeptidase activity"	GO:0004177	2	isogroup222254	0
"aminopeptidase activity"	GO:0004177	2	isogroup251299	0.37289419375241
"aminopeptidase activity"	GO:0004177	2	isogroup260442	0
"aminopeptidase activity"	GO:0004177	2	isogroup260612	0
"aminopeptidase activity"	GO:0004177	2	isogroup259671	0.307334834395044
"aminopeptidase activity"	GO:0004177	2	isogroup256681	0
"aminopeptidase activity"	GO:0004177	2	isogroup249770	0.59789591090754
"aminopeptidase activity"	GO:0004177	2	isogroup239538	0.0897249882663277
"aminopeptidase activity"	GO:0004177	2	isogroup254360	0
"aminopeptidase activity"	GO:0004177	2	isogroup255087	0.342999253820064
"aminopeptidase activity"	GO:0004177	2	isogroup261381	0.606830200974737
"aminopeptidase activity"	GO:0004177	2	isogroup261030	0.51375218644512
"aminopeptidase activity"	GO:0004177	2	isogroup251587	0
"aminopeptidase activity"	GO:0004177	2	isogroup249469	0
"aminopeptidase activity"	GO:0004177	2	isogroup257077	0
"aminopeptidase activity"	GO:0004177	2	isogroup258966	0
"aminopeptidase activity"	GO:0004177	2	isogroup261989	0.284837231300283
"aminopeptidase activity"	GO:0004177	2	isogroup256955	0
"aminopeptidase activity"	GO:0004177	2	isogroup259757	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup260848	0.168189121703877
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup249194	0.204635622138241
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup252508	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup255005	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup241592	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup253803	0.399783127523238
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup256394	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup255545	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup246282	0
"intramolecular oxidoreductase activity"	GO:0016860	3	isogroup237769	0.736511616053945
