name	term	lev	seq	value
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup262987	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup232675	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup251865	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup263331	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup260052	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup256711	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup252783	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup262970	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup244882	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup258324	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup248756	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup261081	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup253677	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup254502	0.437109326650002
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup228919	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup256164	0.651376186901859
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup253436	0
"neuron spine"	GO:0044309;GO:0043197;GO:0098794	2	isogroup244503	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup249006	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup245942	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup246254	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup258522	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup255726	0
"RNA polymerase II, core complex"	GO:0005665	7	isogroup253272	0.0860069237712537
"presynapse"	GO:0098793	2	isogroup238238	0
"presynapse"	GO:0098793	2	isogroup255418	0.316819620300586
"presynapse"	GO:0098793	2	isogroup237792	0
"presynapse"	GO:0098793	2	isogroup256711	0
"presynapse"	GO:0098793	2	isogroup236267	0
"presynapse"	GO:0098793	2	isogroup260750	0
"presynapse"	GO:0098793	2	isogroup213377	0
"presynapse"	GO:0098793	2	isogroup254738	0
"presynapse"	GO:0098793	2	isogroup250447	0
"presynapse"	GO:0098793	2	isogroup248756	0
"presynapse"	GO:0098793	2	isogroup261958	0
"presynapse"	GO:0098793	2	isogroup262030	0
"presynapse"	GO:0098793	2	isogroup247591	0
"presynapse"	GO:0098793	2	isogroup251647	0
"presynapse"	GO:0098793	2	isogroup242070	0
"paranode region of axon"	GO:0033270	2	isogroup235597	0
"paranode region of axon"	GO:0033270	2	isogroup245404	0
"paranode region of axon"	GO:0033270	2	isogroup245830	0
"paranode region of axon"	GO:0033270	2	isogroup261044	0
"paranode region of axon"	GO:0033270	2	isogroup248710	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup263690	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup231641	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup235298	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup262980	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup254274	0
"phagophore assembly site membrane"	GO:0034045	3	isogroup259202	0.125048896585705
"Golgi cisterna membrane"	GO:0032580	5	isogroup246604	0.296314867444001
"Golgi cisterna membrane"	GO:0032580	5	isogroup262708	0.160956465014615
"Golgi cisterna membrane"	GO:0032580	5	isogroup258061	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup260548	0.595663010871896
"Golgi cisterna membrane"	GO:0032580	5	isogroup261157	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup263427	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup240332	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup254444	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup257360	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup246415	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup262244	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup219757	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup257539	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup259417	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup260381	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup263549	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup259444	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup263413	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup251038	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup259984	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup260543	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup243514	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup261649	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup249440	0
"Golgi cisterna membrane"	GO:0032580	5	isogroup244055	0
