name	term	lev	seq	value
"fusome"	GO:0045169	3	isogroup263591	0
"fusome"	GO:0045169	3	isogroup232362	0.474443971710775
"fusome"	GO:0045169	3	isogroup260238	0
"fusome"	GO:0045169	3	isogroup224520	0
"fusome"	GO:0045169	3	isogroup256847	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup260521	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup261224	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup235597	0.265534571881734
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup261982	0.458683981730925
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup261088	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup235573	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup317708	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup242709	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup260556	0
"cell-cell contact zone"	GO:0014704;GO:0044291	4	isogroup255241	0
"proteasome core complex"	GO:0005839	2	isogroup217580	0
"proteasome core complex"	GO:0005839	2	isogroup201620	0
"proteasome core complex"	GO:0005839	2	isogroup250277	0
"proteasome core complex"	GO:0005839	2	isogroup246152	0
"proteasome core complex"	GO:0005839	2	isogroup215969	0
"proteasome core complex"	GO:0005839	2	isogroup258768	0
"proteasome core complex"	GO:0005839	2	isogroup39642	0
"proteasome core complex"	GO:0005839	2	isogroup243954	0.309763421610295
"proteasome core complex"	GO:0005839	2	isogroup239823	0
"proteasome core complex"	GO:0005839	2	isogroup227254	0
"proteasome core complex"	GO:0005839	2	isogroup191133	0
"proteasome core complex"	GO:0005839	2	isogroup238769	0
"proteasome core complex"	GO:0005839	2	isogroup222587	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup263215	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup227892	0.205011077930503
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup231367	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup255924	0.486512976250903
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup253021	0.354990531024154
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup228507	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup257021	0.121338212530956
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup259695	0.332226013811446
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup228319	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup248019	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup228903	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup253427	0.200994208624212
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup256711	0.333737078171554
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup254570	0.335043158889719
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup255481	0.369103842947493
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup251731	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup262397	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup258057	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup257627	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup259444	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup253909	0.341386182574682
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup218516	0.262230049117923
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup248756	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup263311	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup255266	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup212143	0.195300592977439
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup247591	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup254979	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup257348	0.297705287073578
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup251878	0.23718012435406
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup232722	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup262357	0.368459163665934
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup236818	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup257000	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup236843	0
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup257670	0.257664646951986
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup263036	0.453195786435204
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	isogroup252307	0.142617862933439
"recycling endosome membrane"	GO:0055038	6	isogroup248761	0.303556022788232
"recycling endosome membrane"	GO:0055038	6	isogroup244614	0
"recycling endosome membrane"	GO:0055038	6	isogroup244837	0.403310542819225
"recycling endosome membrane"	GO:0055038	6	isogroup241454	0.510559725236285
"recycling endosome membrane"	GO:0055038	6	isogroup260226	0
"recycling endosome membrane"	GO:0055038	6	isogroup259153	0.382611709322899
"recycling endosome membrane"	GO:0055038	6	isogroup212862	0
"recycling endosome membrane"	GO:0055038	6	isogroup244165	0
"recycling endosome membrane"	GO:0055038	6	isogroup236517	0
"recycling endosome membrane"	GO:0055038	6	isogroup252968	-0.0194333051351339
"recycling endosome membrane"	GO:0055038	6	isogroup246663	0
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup260170	0
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup262750	0.414427798752247
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup233859	0.597205155344029
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup251361	0
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup255754	0
"9+2 motile cilium"	GO:0036126;GO:0097729	5	isogroup252642	0.234805137551853
"cortical actin cytoskeleton"	GO:0030864	3	isogroup227434	0.24365690623812
"cortical actin cytoskeleton"	GO:0030864	3	isogroup249377	0.209690515515101
"cortical actin cytoskeleton"	GO:0030864	3	isogroup261081	0.467043369280512
"cortical actin cytoskeleton"	GO:0030864	3	isogroup240209	0
"cortical actin cytoskeleton"	GO:0030864	3	isogroup251491	0
"cortical actin cytoskeleton"	GO:0030864	3	isogroup263089	0.437492970726192
"centriolar satellite"	GO:0034451	3	isogroup258443	0.212172053473897
"centriolar satellite"	GO:0034451	3	isogroup229776	0
"centriolar satellite"	GO:0034451	3	isogroup247594	0
"centriolar satellite"	GO:0034451	3	isogroup263322	0.64427389693486
"centriolar satellite"	GO:0034451	3	isogroup262440	0.233554186527736
"centriolar satellite"	GO:0034451	3	isogroup262308	0.462503514301574
"centriolar satellite"	GO:0034451	3	isogroup261744	0
"centriolar satellite"	GO:0034451	3	isogroup250257	0
"centriolar satellite"	GO:0034451	3	isogroup247511	0
"nuclear body"	GO:0016604	2	isogroup179334	0
"nuclear body"	GO:0016604	2	isogroup261384	0
"nuclear body"	GO:0016604	2	isogroup258735	0.183155263398965
"nuclear body"	GO:0016604	2	isogroup248989	0
"nuclear body"	GO:0016604	2	isogroup248531	0
"nuclear body"	GO:0016604	2	isogroup263207	0.0570523547138703
"nuclear body"	GO:0016604	2	isogroup260319	0
"nuclear body"	GO:0016604	2	isogroup239179	0.0532084730729397
"nuclear body"	GO:0016604	2	isogroup250121	0
"nuclear body"	GO:0016604	2	isogroup261879	0.419351288912798
"nuclear body"	GO:0016604	2	isogroup255996	0
"nuclear body"	GO:0016604	2	isogroup259568	0
"nuclear body"	GO:0016604	2	isogroup258801	0
"nuclear body"	GO:0016604	2	isogroup254489	0
"nuclear body"	GO:0016604	2	isogroup243988	0.352811035918318
"nuclear body"	GO:0016604	2	isogroup262386	0
"nuclear body"	GO:0016604	2	isogroup255557	0.74851729945748
"nuclear body"	GO:0016604	2	isogroup262145	0
"nuclear body"	GO:0016604	2	isogroup250951	0
"nuclear body"	GO:0016604	2	isogroup230953	0
"nuclear body"	GO:0016604	2	isogroup262457	0
"nuclear body"	GO:0016604	2	isogroup258140	0.394303736806172
"nuclear body"	GO:0016604	2	isogroup202975	0.51739143762571
"nuclear body"	GO:0016604	2	isogroup245221	0.221557489797222
"nuclear body"	GO:0016604	2	isogroup257778	0.124929635376182
"nuclear body"	GO:0016604	2	isogroup270123	0
"nuclear body"	GO:0016604	2	isogroup254913	0
"nuclear body"	GO:0016604	2	isogroup240948	0.165118137516743
"nuclear body"	GO:0016604	2	isogroup261998	0.25290056204321
"nuclear body"	GO:0016604	2	isogroup260574	0
"nuclear body"	GO:0016604	2	isogroup252163	0.532577613558004
"nuclear body"	GO:0016604	2	isogroup261302	0
"nuclear body"	GO:0016604	2	isogroup255398	0.354134536410068
"nuclear body"	GO:0016604	2	isogroup254711	0
"nuclear body"	GO:0016604	2	isogroup256513	0
"nuclear body"	GO:0016604	2	isogroup251742	0
"nuclear body"	GO:0016604	2	isogroup171331	0
"nuclear body"	GO:0016604	2	isogroup258496	0
"nuclear body"	GO:0016604	2	isogroup261723	0
"nuclear body"	GO:0016604	2	isogroup252344	0
"nuclear body"	GO:0016604	2	isogroup248022	0.611855138365668
"nuclear body"	GO:0016604	2	isogroup250308	0
"nuclear body"	GO:0016604	2	isogroup263731	0
"nuclear body"	GO:0016604	2	isogroup261269	0
"nuclear body"	GO:0016604	2	isogroup250949	0.201483599199555
"nuclear body"	GO:0016604	2	isogroup238649	0.437349486158492
