name	term	lev	seq	value
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa05082	0.539552456906353
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa05275	0.443686342163322
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa05736	0
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa27934	0.420040597489045
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa08868	0.387096118994722
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa08966	0
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa09056	0
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa11785	0.105394896456241
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa32166	0.0811080363126126
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa06510	0.417137329286677
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa06511	0.204133558716407
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa16043	0.465631978262589
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa16355	0
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa21676	0.360303739125639
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa26257	0.016124145712057
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa20110	-0.164371473232506
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa29940	0
"DNA-binding transcription activator activity, RNA polymerase II-specific"	GO:0001228;GO:0001216	3	Mcavernosa24614	0
