name	term	lev	seq	value
"SAGA complex"	GO:0000124	3	isogroup254134	0
"SAGA complex"	GO:0000124	3	isogroup255235	0
"SAGA complex"	GO:0000124	3	isogroup244655	0
"SAGA complex"	GO:0000124	3	isogroup240818	0
"SAGA complex"	GO:0000124	3	isogroup206492	0
"receptor complex"	GO:0043235	2	isogroup262391	0
"receptor complex"	GO:0043235	2	isogroup255743	0
"receptor complex"	GO:0043235	2	isogroup256899	0
"receptor complex"	GO:0043235	2	isogroup231799	0
"receptor complex"	GO:0043235	2	isogroup263763	0
"receptor complex"	GO:0043235	2	isogroup239236	0.348210646425347
"receptor complex"	GO:0043235	2	isogroup251147	0
"receptor complex"	GO:0043235	2	isogroup237792	0
"receptor complex"	GO:0043235	2	isogroup261100	0.441799326173275
"receptor complex"	GO:0043235	2	isogroup263084	0
"receptor complex"	GO:0043235	2	isogroup263260	0
"receptor complex"	GO:0043235	2	isogroup259550	0
"receptor complex"	GO:0043235	2	isogroup243362	0
"receptor complex"	GO:0043235	2	isogroup261788	0
"receptor complex"	GO:0043235	2	isogroup261518	0
"receptor complex"	GO:0043235	2	isogroup251102	0
"receptor complex"	GO:0043235	2	isogroup257466	0
"receptor complex"	GO:0043235	2	isogroup261864	0
"receptor complex"	GO:0043235	2	isogroup234511	0
"receptor complex"	GO:0043235	2	isogroup243204	0
"receptor complex"	GO:0043235	2	isogroup260294	0
"receptor complex"	GO:0043235	2	isogroup262480	0
"receptor complex"	GO:0043235	2	isogroup263735	0
"receptor complex"	GO:0043235	2	isogroup263044	0
"receptor complex"	GO:0043235	2	isogroup220640	0
"receptor complex"	GO:0043235	2	isogroup263601	0
"receptor complex"	GO:0043235	2	isogroup256448	0
"receptor complex"	GO:0043235	2	isogroup241066	0
"receptor complex"	GO:0043235	2	isogroup249880	0
"receptor complex"	GO:0043235	2	isogroup232464	0.390541064030517
"receptor complex"	GO:0043235	2	isogroup261462	0
"receptor complex"	GO:0043235	2	isogroup255355	0
"receptor complex"	GO:0043235	2	isogroup262559	0
"receptor complex"	GO:0043235	2	isogroup263206	0
"receptor complex"	GO:0043235	2	isogroup259733	0
"receptor complex"	GO:0043235	2	isogroup263515	0
"receptor complex"	GO:0043235	2	isogroup258992	0
"receptor complex"	GO:0043235	2	isogroup263497	0
"receptor complex"	GO:0043235	2	isogroup233289	0
"receptor complex"	GO:0043235	2	isogroup249508	0.345787068335412
"receptor complex"	GO:0043235	2	isogroup242709	0
"receptor complex"	GO:0043235	2	isogroup259465	0
"receptor complex"	GO:0043235	2	isogroup256650	0.208858057750801
"receptor complex"	GO:0043235	2	isogroup258705	0
"receptor complex"	GO:0043235	2	isogroup263726	0
"receptor complex"	GO:0043235	2	isogroup253100	0.625369174365766
"receptor complex"	GO:0043235	2	isogroup263417	0
"receptor complex"	GO:0043235	2	isogroup242958	0
"receptor complex"	GO:0043235	2	isogroup255407	0.376867609710361
"receptor complex"	GO:0043235	2	isogroup223188	0
"receptor complex"	GO:0043235	2	isogroup252717	0
"receptor complex"	GO:0043235	2	isogroup246921	0
"receptor complex"	GO:0043235	2	isogroup246471	0
"receptor complex"	GO:0043235	2	isogroup262542	0
"receptor complex"	GO:0043235	2	isogroup263583	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup243338	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup253709	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup251488	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup115090	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup263160	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup254515	0
"host cell part"	GO:0033646;GO:0033643;GO:0044217;GO:0033648;GO:0033647	2	isogroup261943	0
"microtubule organizing center"	GO:0005815	3	isogroup249386	0
"microtubule organizing center"	GO:0005815	3	isogroup200630	0
"microtubule organizing center"	GO:0005815	3	isogroup247535	0
"microtubule organizing center"	GO:0005815	3	isogroup248761	0
"microtubule organizing center"	GO:0005815	3	isogroup256958	0
"microtubule organizing center"	GO:0005815	3	isogroup252451	0
"microtubule organizing center"	GO:0005815	3	isogroup255532	0.291475344836505
"microtubule organizing center"	GO:0005815	3	isogroup263471	0
"microtubule organizing center"	GO:0005815	3	isogroup263603	0
"microtubule organizing center"	GO:0005815	3	isogroup248653	0
"microtubule organizing center"	GO:0005815	3	isogroup263685	0
"microtubule organizing center"	GO:0005815	3	isogroup263606	0
"microtubule organizing center"	GO:0005815	3	isogroup261828	0
"microtubule organizing center"	GO:0005815	3	isogroup258503	0
"microtubule organizing center"	GO:0005815	3	isogroup214956	0
"microtubule organizing center"	GO:0005815	3	isogroup258801	0
"microtubule organizing center"	GO:0005815	3	isogroup247055	0
"microtubule organizing center"	GO:0005815	3	isogroup238780	0.502225737205317
"microtubule organizing center"	GO:0005815	3	isogroup261395	0
"microtubule organizing center"	GO:0005815	3	isogroup244291	0
"microtubule organizing center"	GO:0005815	3	isogroup244926	0
"microtubule organizing center"	GO:0005815	3	isogroup260542	0
