name	term	lev	seq	value
"nuclear transcription factor complex"	GO:0044798	2	Mcavernosa28665	-0.34883126551642
"nuclear transcription factor complex"	GO:0044798	2	Mcavernosa08425	-0.181900892835396
"nuclear transcription factor complex"	GO:0044798	2	Mcavernosa15655	-0.149533102472838
"nuclear transcription factor complex"	GO:0044798	2	Mcavernosa24666	0.267346810618777
"nuclear transcription factor complex"	GO:0044798	2	Mcavernosa17171	0.393609893387578
"transcription factor complex"	GO:0005667	2	Mcavernosa04750	0.800363917137061
"transcription factor complex"	GO:0005667	2	Mcavernosa06112	0.21023019033174
"transcription factor complex"	GO:0005667	2	Mcavernosa14027	-0.14262794060665
"transcription factor complex"	GO:0005667	2	Mcavernosa27934	-0.28777852761249
"transcription factor complex"	GO:0005667	2	Mcavernosa28665	-0.34883126551642
"transcription factor complex"	GO:0005667	2	Mcavernosa08425	-0.181900892835396
"transcription factor complex"	GO:0005667	2	Mcavernosa14751	-0.123619317319729
"transcription factor complex"	GO:0005667	2	Mcavernosa11384	1.74182836656939
"transcription factor complex"	GO:0005667	2	Mcavernosa19825	1.09858251275218
"transcription factor complex"	GO:0005667	2	Mcavernosa15655	-0.149533102472838
"transcription factor complex"	GO:0005667	2	Mcavernosa21601	-0.310050078103574
"transcription factor complex"	GO:0005667	2	Mcavernosa20110	0.60638146048907
"transcription factor complex"	GO:0005667	2	Mcavernosa20189	0.386173314174017
"transcription factor complex"	GO:0005667	2	Mcavernosa23602	-0.480018399543052
"transcription factor complex"	GO:0005667	2	Mcavernosa01422	-0.837715943514968
"transcription factor complex"	GO:0005667	2	Mcavernosa08185	-0.0945669431220221
"transcription factor complex"	GO:0005667	2	Mcavernosa24666	0.267346810618777
"transcription factor complex"	GO:0005667	2	Mcavernosa17171	0.393609893387578
"oxidoreductase complex"	GO:1990204	2	Mcavernosa07024	0.0626969610878739
"oxidoreductase complex"	GO:1990204	2	Mcavernosa22639	-0.496111250043636
"oxidoreductase complex"	GO:1990204	2	Mcavernosa16115	0.00514781336685019
"oxidoreductase complex"	GO:1990204	2	Mcavernosa09869	0.787329419965521
"oxidoreductase complex"	GO:1990204	2	Mcavernosa21571	-0.829864340877287
"oxidoreductase complex"	GO:1990204	2	Mcavernosa26766	0.207733924738959
"oxidoreductase complex"	GO:1990204	2	Mcavernosa30573	-1.07188469363559
"oxidoreductase complex"	GO:1990204	2	Mcavernosa07902	-0.593341095396684
"ATPase complex"	GO:1904949	2	Mcavernosa18374	0.383472946403686
"ATPase complex"	GO:1904949	2	Mcavernosa06192	-1.37200423060549
"ATPase complex"	GO:1904949	2	Mcavernosa22661	1.10657174492153
"ATPase complex"	GO:1904949	2	Mcavernosa22745	0.951240224855774
"ATPase complex"	GO:1904949	2	Mcavernosa09675	-0.463340045679616
"ATPase complex"	GO:1904949	2	Mcavernosa00562	0.77646277496146
"ATPase complex"	GO:1904949	2	Mcavernosa29901	0.0756091517951236
"ATPase complex"	GO:1904949	2	Mcavernosa16477	0.0861228024737234
"ATPase complex"	GO:1904949	2	Mcavernosa16481	-0.510185448060468
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa04656	-0.280116465588387
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa12536	-0.186436636568721
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa12838	-0.0287782023496003
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa14416	-0.0568182593413786
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa11855	-0.319854767304927
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa12026	-0.31244203675719
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa18576	5.80344925688899
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa21863	0.319187097881905
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa21508	-0.970197057308383
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa20543	-0.599163747756626
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa00590	0.515637692538516
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa01159	0.456147246317325
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa01412	-0.23919121991648
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa01446	0.336114885910516
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa03238	1.01561709816669
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa17171	0.393609893387578
"endosomal part"	GO:0010008;GO:0044440	3	Mcavernosa02584	4.37301239877326
"adherens junction"	GO:0005912;GO:0070161;GO:0030055	3	Mcavernosa13096	0.416739251989667
"adherens junction"	GO:0005912;GO:0070161;GO:0030055	3	Mcavernosa31719	-1.99236311634553
"adherens junction"	GO:0005912;GO:0070161;GO:0030055	3	Mcavernosa26417	-1.10306161121984
"adherens junction"	GO:0005912;GO:0070161;GO:0030055	3	Mcavernosa20680	-0.770245429144605
