gene,fst,log2fold
Mcavernosa00001,0,-0.677919691
Mcavernosa00002,0.062492981,-0.552366349
Mcavernosa00007,0,0.026548244
Mcavernosa00021,0.041176471,0.031039248
Mcavernosa00025,0.138206474,-0.082661012
Mcavernosa00032,0.124969496,-0.483409476
Mcavernosa00036,0.060776064,0.664732992
Mcavernosa00037,0.037974684,-0.645343106
Mcavernosa04545,0.150353696,-1.138415518
Mcavernosa00053,0.039637296,-0.492700324
Mcavernosa00056,0.046610169,-0.015385716
Mcavernosa00060,0,0.228567105
Mcavernosa00063,0.058823529,-0.288297741
Mcavernosa21027,0.151354542,-0.104429339
Mcavernosa00078,0.096363659,0.85151827
Mcavernosa00081,0.042252623,0.389458357
Mcavernosa00086,0.04,-0.188483879
Mcavernosa00101,0.047917903,-0.394104269
Mcavernosa00103,0.038961039,0.09822615
Mcavernosa00110,0.044177238,0.73967559
Mcavernosa00111,0.047337278,0.603128336
Mcavernosa18157,0.152179316,-0.374197438
Mcavernosa00118,0.043736184,-0.225156001
Mcavernosa00120,0.036912752,-0.175554145
Mcavernosa00121,0.058823529,-0.102206751
Mcavernosa00135,0.036521135,0.008869649
Mcavernosa00136,0.039087948,0.015360413
Mcavernosa00137,0.033007497,0.432390385
Mcavernosa00144,0.038461538,0.980747524
Mcavernosa00159,0.042253521,-0.434825178
Mcavernosa00160,0.037148113,1.057759685
Mcavernosa00166,0.096354754,-1.087613573
Mcavernosa00168,0,-0.168995262
Mcavernosa00170,0.050106148,-0.411010059
Mcavernosa00184,0.080438705,-0.109518847
Mcavernosa00202,0,-0.951892393
Mcavernosa00208,0.044444444,0.981062605
Mcavernosa00212,0.100037791,0.498505153
Mcavernosa00215,0.03402761,-0.825673482
Mcavernosa00225,0.058823529,0.791026441
Mcavernosa00226,0.092518957,1.275696446
Mcavernosa00245,0.072109682,-0.495013276
Mcavernosa00254,0.10439201,-0.935914581
Mcavernosa25055,0.152484975,0.192695687
Mcavernosa00267,0.096389993,0.788168144
Mcavernosa00274,0,0.548205708
Mcavernosa00277,0.000631559,0.005130865
Mcavernosa15292,0.152570579,0.700536978
Mcavernosa00313,0.047363204,0.705859232
Mcavernosa18148,0.152583544,0.245448513
Mcavernosa00333,0.044645,0.245409378
Mcavernosa00344,0.035608674,-0.218147054
Mcavernosa00359,0,-0.606397251
Mcavernosa00370,0.039755898,0.209447105
Mcavernosa12730,0.152631662,-1.104528257
Mcavernosa00375,0.038461538,0.432837023
Mcavernosa06553,0.152621675,1.198647075
Mcavernosa01647,0.152632262,-1.105850775
Mcavernosa00397,0.040067128,-0.879799586
Mcavernosa00401,0.032258065,-0.015066907
Mcavernosa00420,0,0.625664772
Mcavernosa26049,0.152911616,-1.468006647
Mcavernosa00423,0,-0.624809037
Mcavernosa00433,0.075372796,-0.172799187
Mcavernosa00436,0,-0.190134992
Mcavernosa00444,0.042328042,-0.357234301
Mcavernosa03521,0.152631662,0.811780425
Mcavernosa00449,0.034482759,0.846942451
Mcavernosa00453,0.110280866,-0.501018109
Mcavernosa00463,0,-0.167194624
Mcavernosa00467,0.09516987,0.44886995
Mcavernosa00472,0,-2.23102177
Mcavernosa00478,0,0.846307939
Mcavernosa00486,0.03030303,-0.529709695
Mcavernosa00496,0.035720553,-0.057975753
Mcavernosa00503,0.033898305,0.456393297
Mcavernosa00504,0.099613433,-0.026251342
Mcavernosa00524,0.043478261,-0.582384093
Mcavernosa00527,0.001376482,-0.075672674
Mcavernosa00529,0,-0.606395392
Mcavernosa00534,0.0418632,0.555220513
Mcavernosa00540,0,-0.183751134
Mcavernosa00542,0.035962425,1.187676674
Mcavernosa00545,0.043478261,-0.565702384
Mcavernosa00548,0.041472225,-0.509681028
Mcavernosa00561,0.106991959,0.221831962
Mcavernosa00562,0.032960909,0.270532779
Mcavernosa00565,0.035714286,0.381401785
Mcavernosa10543,0.152654502,0.282466333
Mcavernosa04376,0.154383038,-1.410757763
Mcavernosa07650,0.153465035,1.154742499
Mcavernosa00594,0,-0.880209096
Mcavernosa28240,0.154402259,-0.84990094
Mcavernosa00598,0.036414115,-0.065413563
Mcavernosa15173,0.15473443,-1.128274987
Mcavernosa00632,0,0.20754198
Mcavernosa14727,0.155444123,-0.813674745
Mcavernosa00625,0.153619359,0.628514668
Mcavernosa00655,0.044160449,0.293169973
Mcavernosa00664,0,-0.01028161
Mcavernosa00115,0.154263771,0.564075864
Mcavernosa00688,0.039412542,1.108624201
Mcavernosa00696,0.104409643,-0.175924357
Mcavernosa00704,0.033004715,1.509187444
Mcavernosa00724,0,-0.143592061
Mcavernosa00727,0,0.049500557
Mcavernosa00734,0.094337155,-0.075467319
Mcavernosa00774,0.036144578,0.14294176
Mcavernosa00777,0.037313433,1.236758182
Mcavernosa00778,0.04,0.03393752
Mcavernosa00781,0.035838028,0.224722746
Mcavernosa00785,0.035425288,0.700564627
Mcavernosa18497,0.155631171,-1.14826518
Mcavernosa00804,0.035747021,-0.075497496
Mcavernosa00815,0.088299806,-0.504137261
Mcavernosa00833,0.034482759,-0.448785183
Mcavernosa00842,0.051948052,0.432062034
Mcavernosa00854,0.034482759,0.362632202
Mcavernosa00856,0.037215132,-0.355276645
Mcavernosa00857,0,0.171938521
Mcavernosa00858,0.061787498,-0.543209378
Mcavernosa00860,0.035087719,0.012019348
Mcavernosa00863,0.039023565,0.293925159
Mcavernosa00421,0.154405776,1.112172055
Mcavernosa00877,0.035613208,-0.433301099
Mcavernosa00880,0.036144578,-0.295375011
Mcavernosa00888,0.04,0.030554835
Mcavernosa00889,0,-0.241051864
Mcavernosa00890,0.032258065,0.846164925
Mcavernosa00913,0.037668259,-0.03404731
