name	term	lev	seq	value
"sodium channel activity"	GO:0005272	2	isogroup251147	0
"sodium channel activity"	GO:0005272	2	isogroup263167	0.440524443395208
"sodium channel activity"	GO:0005272	2	isogroup256630	0
"sodium channel activity"	GO:0005272	2	isogroup260795	0.504782016623392
"sodium channel activity"	GO:0005272	2	isogroup263057	0
"sodium channel activity"	GO:0005272	2	isogroup247790	0.569923568368758
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup262762	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup261566	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup256440	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup257277	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup259311	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup254729	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup254796	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup261808	0.659267475091976
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup263354	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup252704	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup262935	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup259850	0.486789407179573
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup248120	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup260601	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup254713	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup262151	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup262652	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup263025	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup256605	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup262540	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup255779	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup259982	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup233724	0.119710208381419
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup261015	0.478978887145005
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup259391	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup250892	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup242625	0
"DNA helicase activity"	GO:0004003;GO:0003678	2	isogroup247761	0
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup261468	0
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup235770	0
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup251418	0.0515842845664793
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup244371	0
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup251142	0
"aldo-keto reductase (NADP) activity"	GO:0004033	5	isogroup255377	0
"kinase activator activity"	GO:0019209	2	isogroup244744	0.351358521559213
"kinase activator activity"	GO:0019209	2	isogroup261322	0
"kinase activator activity"	GO:0019209	2	isogroup255918	0
"kinase activator activity"	GO:0019209	2	isogroup246367	0.517612181699392
"kinase activator activity"	GO:0019209	2	isogroup262669	0
"kinase activator activity"	GO:0019209	2	isogroup260739	0.693981558036897
"kinase activator activity"	GO:0019209	2	isogroup253436	0
"kinase activator activity"	GO:0019209	2	isogroup259151	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup257403	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup253526	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup259550	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup261518	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup260454	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup246367	0.517612181699392
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup232498	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup257608	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup261793	0.24949828318865
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup254467	0.603687195245023
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup228918	0
"obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity"	GO:0004702	-1	isogroup253292	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup249006	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup262762	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup244926	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup263285	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup254205	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup261993	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup263138	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup257222	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup250813	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup222254	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup146709	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup252659	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup222923	0.57297206805052
"enzyme inhibitor activity"	GO:0004857	2	isogroup248201	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup204945	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup259981	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup240901	0.468634372361379
"enzyme inhibitor activity"	GO:0004857	2	isogroup257916	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup256115	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup249885	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup263601	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup232581	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup255195	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup256507	0.317072277098008
"enzyme inhibitor activity"	GO:0004857	2	isogroup223892	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup199356	0.572519327407298
"enzyme inhibitor activity"	GO:0004857	2	isogroup258148	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup255015	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup237775	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup212744	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup248051	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup259812	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup260035	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup256520	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup239621	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup241648	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup229491	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup202520	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup249287	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup246363	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup251242	0.594879082020575
"enzyme inhibitor activity"	GO:0004857	2	isogroup253685	0.665803040072216
"enzyme inhibitor activity"	GO:0004857	2	isogroup251403	0.323211871582029
"enzyme inhibitor activity"	GO:0004857	2	isogroup259686	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup255250	0.520476009833578
"enzyme inhibitor activity"	GO:0004857	2	isogroup261237	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup261347	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup260783	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup253855	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup260900	0
"enzyme inhibitor activity"	GO:0004857	2	isogroup259757	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup200630	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup253550	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup251948	0.388846647277983
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup251669	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup89516	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup251865	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup249657	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup260246	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup257451	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup254606	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup248022	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup249417	0.338162651114548
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup241986	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup236400	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup227796	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup259072	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup258120	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup240564	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup227032	0.563390889903144
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup253705	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup258955	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup249965	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup248110	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup259675	0
"nuclear hormone receptor binding"	GO:0035257;GO:0051427	3	isogroup255984	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup254025	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup249386	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup256808	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup164058	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup231101	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup246486	0.485168349597427
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup228417	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup262238	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup252451	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup255192	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup256868	0.330269833741744
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup263603	0.510452070865174
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup261417	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup255127	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup242711	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup237078	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup261377	0
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup261588	0.619420351031776
"hydrolase activity, acting on ester bonds"	GO:0016788	3	isogroup263312	0.66756553623923
