name	term	lev	seq	value
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup255478	0
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup257168	0
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup261573	0
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup245526	0.173646188810854
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup257000	0
"macromolecule transmembrane transporter activity"	GO:0022884	2	isogroup253385	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup243632	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup244926	0.286935964070992
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup254205	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup244363	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup261993	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup263138	0.453516149583671
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup222254	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup146709	0.32327903555637
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup222923	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup248201	0.644957622641111
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup204945	0.283234790120603
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup257916	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup249885	0.652971231816809
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup256507	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup223892	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup252634	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup199356	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup258148	0
"peptidase regulator activity"	GO:0061134;GO:0004866;GO:0030414;GO:0061135	2	isogroup255015	0
