name	term	lev	seq	value
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup258682	0.0226292714307549
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup257360	0.507347462729905
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup219757	0.287517211032377
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup257539	0
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup251038	0
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup259950	0
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup243514	0
"acetylgalactosaminyltransferase activity"	GO:0008376	5	isogroup244055	0.217168691468726
"microtubule motor activity"	GO:0003777	3	isogroup259048	0
"microtubule motor activity"	GO:0003777	3	isogroup261000	0
"microtubule motor activity"	GO:0003777	3	isogroup255761	0
"microtubule motor activity"	GO:0003777	3	isogroup258133	0
"microtubule motor activity"	GO:0003777	3	isogroup263122	0
"microtubule motor activity"	GO:0003777	3	isogroup255328	0
"microtubule motor activity"	GO:0003777	3	isogroup242183	0
"microtubule motor activity"	GO:0003777	3	isogroup247889	0
"microtubule motor activity"	GO:0003777	3	isogroup258202	0
"microtubule motor activity"	GO:0003777	3	isogroup260396	0
"microtubule motor activity"	GO:0003777	3	isogroup248861	0
"microtubule motor activity"	GO:0003777	3	isogroup256389	0.313441036055322
"microtubule motor activity"	GO:0003777	3	isogroup257345	0
"microtubule motor activity"	GO:0003777	3	isogroup260336	0
"microtubule motor activity"	GO:0003777	3	isogroup260145	0.342472944362101
"microtubule motor activity"	GO:0003777	3	isogroup256196	0
"microtubule motor activity"	GO:0003777	3	isogroup246717	0
"microtubule motor activity"	GO:0003777	3	isogroup252767	0
"microtubule motor activity"	GO:0003777	3	isogroup259694	0
"microtubule motor activity"	GO:0003777	3	isogroup261575	0
"microtubule motor activity"	GO:0003777	3	isogroup260630	0
"microtubule motor activity"	GO:0003777	3	isogroup212710	0.309931376771361
"microtubule motor activity"	GO:0003777	3	isogroup259665	0.0194095672629886
"microtubule motor activity"	GO:0003777	3	isogroup163442	0
"microtubule motor activity"	GO:0003777	3	isogroup263268	0
"microtubule motor activity"	GO:0003777	3	isogroup257389	0.391384371693184
"microtubule motor activity"	GO:0003777	3	isogroup263466	0
"microtubule motor activity"	GO:0003777	3	isogroup262884	0.103318915717615
"microtubule motor activity"	GO:0003777	3	isogroup255649	0
"microtubule motor activity"	GO:0003777	3	isogroup210006	0
"microtubule motor activity"	GO:0003777	3	isogroup238566	0
"microtubule motor activity"	GO:0003777	3	isogroup261275	0
"microtubule motor activity"	GO:0003777	3	isogroup254930	0
"microtubule motor activity"	GO:0003777	3	isogroup215663	0.39893309671683
"microtubule motor activity"	GO:0003777	3	isogroup234986	0
"microtubule motor activity"	GO:0003777	3	isogroup377822	0
"microtubule motor activity"	GO:0003777	3	isogroup248163	0.380649464174069
"microtubule motor activity"	GO:0003777	3	isogroup259247	0.528675662710847
"microtubule motor activity"	GO:0003777	3	isogroup262446	0
"microtubule motor activity"	GO:0003777	3	isogroup249730	0
"microtubule motor activity"	GO:0003777	3	isogroup251136	0.299475101655086
"microtubule motor activity"	GO:0003777	3	isogroup198603	0
"microtubule motor activity"	GO:0003777	3	isogroup259401	0.133090120735115
"microtubule motor activity"	GO:0003777	3	isogroup256726	0
"microtubule motor activity"	GO:0003777	3	isogroup263462	0
"microtubule motor activity"	GO:0003777	3	isogroup235473	0
"microtubule motor activity"	GO:0003777	3	isogroup258335	0
"microtubule motor activity"	GO:0003777	3	isogroup260477	0
"transmembrane receptor protein serine/threonine kinase binding"	GO:0070696;GO:0033612	2	isogroup171107	0.555168865929136
"transmembrane receptor protein serine/threonine kinase binding"	GO:0070696;GO:0033612	2	isogroup256574	0
"transmembrane receptor protein serine/threonine kinase binding"	GO:0070696;GO:0033612	2	isogroup248312	0.0846333121333
"transmembrane receptor protein serine/threonine kinase binding"	GO:0070696;GO:0033612	2	isogroup232137	0.384432436520908
"transmembrane receptor protein serine/threonine kinase binding"	GO:0070696;GO:0033612	2	isogroup257303	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup250105	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup216550	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup249307	0.172492892008093
"sequence-specific DNA binding"	GO:0043565	2	isogroup227560	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup242691	0.411603863573422
"sequence-specific DNA binding"	GO:0043565	2	isogroup254290	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup258371	0.431706842679761
"sequence-specific DNA binding"	GO:0043565	2	isogroup250121	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup263246	0.427703923659723
"sequence-specific DNA binding"	GO:0043565	2	isogroup255354	0.533379820876718
"sequence-specific DNA binding"	GO:0043565	2	isogroup227619	0.375991937345421
"sequence-specific DNA binding"	GO:0043565	2	isogroup262762	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup223555	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup255557	0.74851729945748
"sequence-specific DNA binding"	GO:0043565	2	isogroup262145	0
"sequence-specific DNA binding"	GO:0043565	2	isogroup251669	0.190515719416392
"sequence-specific DNA binding"	GO:0043565	2	isogroup225665	0
